Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(5-8),	Low,	High,	Catch,	Low,	High
1989,	9536,	6102,	14904,	9660,	7776,	12000,	0.609,	0.423,	0.876,	6628,	4653,	9442
1990,	8083,	5429,	12033,	10647,	8617,	13155,	0.521,	0.364,	0.746,	6966,	5091,	9531
1991,	6327,	4258,	9402,	11304,	9137,	13985,	0.53,	0.377,	0.747,	6658,	4857,	9128
1992,	5045,	3330,	7644,	11634,	9379,	14431,	0.779,	0.565,	1.073,	8759,	6433,	11927
1993,	4942,	3369,	7251,	9986,	8028,	12421,	0.781,	0.572,	1.067,	8987,	6453,	12517
1994,	3540,	2436,	5144,	7725,	6270,	9517,	0.654,	0.473,	0.904,	5420,	4001,	7342
1995,	2678,	1805,	3974,	7021,	5697,	8651,	0.52,	0.369,	0.734,	4150,	3052,	5644
1996,	2551,	1697,	3834,	7259,	5828,	9042,	0.434,	0.305,	0.617,	3226,	2353,	4424
1997,	2574,	1676,	3951,	6880,	5501,	8605,	0.354,	0.244,	0.515,	2326,	1705,	3173
1998,	3134,	2113,	4648,	7490,	5977,	9386,	0.377,	0.261,	0.543,	2670,	1995,	3575
1999,	4216,	2663,	6676,	7600,	6121,	9436,	0.498,	0.354,	0.701,	3369,	2512,	4518
2000,	2534,	1723,	3726,	7693,	6211,	9527,	0.444,	0.318,	0.62,	2750,	2064,	3664
2001,	1985,	1315,	2994,	9070,	7355,	11183,	0.496,	0.349,	0.705,	3605,	2692,	4827
2002,	2212,	1451,	3374,	10655,	8581,	13230,	0.385,	0.264,	0.561,	3339,	2471,	4511
2003,	2749,	1641,	4606,	10885,	8758,	13530,	0.555,	0.394,	0.784,	4763,	3484,	6511
2004,	2557,	1566,	4177,	9606,	7613,	12120,	0.432,	0.304,	0.612,	3554,	2638,	4788
2005,	3018,	1878,	4849,	8322,	6444,	10748,	0.37,	0.253,	0.542,	2608,	1926,	3533
2006,	3497,	2125,	5755,	7547,	5838,	9756,	0.292,	0.193,	0.441,	1910,	1407,	2594
2007,	3316,	2068,	5318,	8103,	6300,	10423,	0.248,	0.162,	0.381,	1690,	1242,	2301
2008,	3808,	2219,	6536,	8484,	6714,	10721,	0.252,	0.164,	0.386,	1759,	1304,	2372
2009,	3505,	2019,	6085,	8216,	6562,	10287,	0.306,	0.204,	0.459,	1946,	1443,	2625
2010,	2863,	1707,	4800,	10006,	7982,	12543,	0.292,	0.195,	0.438,	2265,	1672,	3069
2011,	2485,	1549,	3986,	11300,	8952,	14265,	0.373,	0.257,	0.541,	3000,	2228,	4039
2012,	2118,	1350,	3322,	10146,	8053,	12782,	0.419,	0.283,	0.62,	2974,	2174,	4069
2013,	2071,	1317,	3256,	8522,	6774,	10721,	0.454,	0.299,	0.691,	2587,	1871,	3577
2014,	2234,	1387,	3598,	7100,	5496,	9173,	0.433,	0.276,	0.68,	1987,	1453,	2718
2015,	3247,	1846,	5712,	6264,	4685,	8375,	0.452,	0.254,	0.805,	1880,	1351,	2616
2016,	3565,	1779,	7144,	6696,	4675,	9592,	0.347,	0.172,	0.7,	1665,	1178,	2353
