Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1955,254572,186604,151968,217559,211739,115303,35992,24517,12911,87011,9155,7765,8081,2627
1956,329313,208426,152779,119537,150237,134622,71734,21773,14805,7960,51449,5414,4663,4778
1957,431465,269619,170645,118869,81567,95840,85086,43938,13152,9020,4620,29475,3164,2730
1958,230091,353254,220745,128819,78506,50789,59791,51561,35115,7757,5128,2623,17278,1917
1959,287645,188383,289220,161207,82269,47529,31092,35410,51350,19304,4088,2689,1457,10199
1960,192076,235503,154235,216234,104531,50785,30106,18878,20597,37460,10591,2279,1594,946
1961,264592,157259,192814,114184,140224,63733,31059,17579,10383,10984,19025,5384,1266,993
1962,304322,216630,128753,143720,74642,88575,40165,18215,23607,5593,5678,10020,3102,825
1963,322718,249158,177361,94286,91812,46108,55712,23253,9759,12115,2740,2852,5611,1996
1964,341841,264219,203993,127552,58167,54145,27715,31094,11636,4443,5197,1200,1469,3447
1965,477822,279876,216324,147281,78115,32830,30915,14691,14391,4545,1618,1846,534,814
1966,256474,391208,229143,156978,90778,43545,17967,15803,6590,5601,1594,550,786,285
1967,369256,209983,320294,170760,99751,52844,24347,9004,6946,2473,1836,477,206,378
1968,269303,302321,171920,242881,111191,60309,30859,12288,4007,2689,842,595,190,106
1969,281456,220487,247519,130352,155379,64675,32920,41220,4681,1165,664,177,166,75
1970,207772,230437,180519,191640,84594,92138,37159,32898,18366,1868,413,228,71,87
1971,407496,170109,188666,137989,119823,46925,49274,17533,14060,7035,628,131,84,35
1972,267069,333629,139274,141406,82953,60799,22561,21699,23290,5178,2216,183,45,39
1973,389159,218657,273152,104463,85617,42043,28623,9649,8567,8647,1627,631,61,20
1974,548598,318617,179021,198613,62075,43015,19579,12022,3717,3157,2733,472,212,28
1975,213827,449154,260861,130871,117555,30864,19821,7968,4287,1213,902,692,140,88
1976,339556,175067,367736,191676,78629,58265,13865,7887,2697,1267,323,213,192,54
1977,362970,278005,143333,281763,121228,41980,27490,5670,2759,859,381,93,69,84
1978,209174,297174,227611,113832,189782,71401,22408,12248,2262,1096,338,157,41,38
1979,209118,171257,243306,181345,78325,117298,41029,10859,5498,1075,521,172,83,26
1980,196990,171212,140214,193658,125179,48745,71861,20333,5050,2748,541,282,96,54
1981,345635,161281,140176,111613,133120,75475,27134,47131,8963,2374,1310,279,151,60
1982,208091,282982,132046,112187,76639,76586,37934,11629,17037,3147,864,512,117,75
1983,210371,170370,231686,105166,75790,42287,35916,15453,3887,5377,1090,339,219,59
1984,493802,172238,139487,185286,72030,42561,19890,14540,5255,1283,1896,435,145,110
1985,390327,404291,141016,109884,124153,40411,20496,8304,5332,2038,525,866,208,80
1986,262834,319573,331006,109833,71493,66590,18557,8219,2964,2044,837,241,415,114
1987,133331,215190,261644,254845,69230,34892,26652,6664,2598,1020,784,360,110,218
1988,195858,109162,176183,202638,158948,32509,12607,8814,1896,795,362,312,153,54
1989,160549,160355,89375,137610,128108,76888,11986,4103,2395,532,258,127,118,66
1990,261378,131446,131288,70267,88478,100048,32645,4434,1376,892,216,114,58,61
1991,202944,213998,107619,102238,44797,45165,42139,12144,1544,539,374,98,54,31
1992,117617,166156,175207,80876,61911,20807,16373,14256,3873,552,209,156,43,27
1993,227008,96296,136037,129505,48084,27808,7118,5322,4298,1321,208,85,67,21
1994,247839,185858,78841,96962,77519,22577,10166,2399,1563,1288,438,73,32,29
1995,133343,202913,152168,59105,62370,43198,10851,4235,918,633,538,195,34,17
1996,242130,109172,166131,117186,39826,37125,23172,5034,1862,434,299,270,101,19
1997,106741,198239,89382,131202,81783,24607,20145,10873,2218,864,200,147,137,56
1998,256531,87392,162305,71346,93003,50898,13240,9229,4587,954,370,91,70,73
1999,242611,210030,71551,129129,50151,54865,24866,5616,3510,1712,360,147,39,33
2000,237031,198633,171958,56019,88763,27874,23687,9768,1978,1201,612,137,60,18
2001,266183,194065,162627,132601,38336,49483,12401,9358,3420,665,416,224,54,26
2002,119728,217932,158887,123556,89803,21462,22814,5122,3352,1114,218,141,83,22
2003,228757,98025,178428,124132,85917,52528,10823,10295,2060,1232,400,81,57,37
2004,199487,187290,80256,140769,87418,50581,26308,4989,4304,812,469,157,34,26
2005,146450,163326,153340,63605,100034,51697,24639,12028,2067,1682,309,183,66,16
2006,198331,119903,133720,121583,45868,61182,26265,11621,5138,839,665,124,79,31
2007,180177,162380,98168,106196,88210,28747,31572,12558,5002,2104,341,277,56,39
2008,195976,147517,132945,78227,77970,57268,15965,15784,5578,2074,867,143,126,27
2009,256543,160451,120777,106355,58496,63725,34723,8674,7851,2719,1011,440,76,73
2010,274394,210040,131366,96012,79168,39767,38393,18890,4333,3892,1376,538,246,46
2011,186372,224655,171966,104662,71865,55035,25233,22033,10146,2378,2171,809,327,161
2012,273220,152589,183932,137121,78393,50140,35443,14898,12323,5872,1397,1348,518,225
2013,241399,223694,124929,146360,102390,54567,32226,21016,8422,7232,3492,875,869,359
2014,169714,197641,183145,98390,108412,70654,34775,19055,11814,4908,4247,2142,553,595
2015,284837,138950,161815,145252,73217,75770,45891,20905,10913,6995,2913,2615,1358,380
2016,280523,233205,113762,128011,107747,51361,49838,28008,12220,6620,4235,1830,1701,966
2017,174951,229673,190932,90370,95135,75793,33416,29982,16091,7253,3935,2616,1172,1207
