Year,SSB
1955,947569
1956,801431
1957,781071
1958,880754
1959,859254
1960,711838
1961,468893
1962,570804
1963,509293
1964,452463
1965,318269
1966,277840
1967,256987
1968,221930
1969,313863
1970,331270
1971,242637
1972,221872
1973,245649
1974,187466
1975,168857
1976,139174
1977,199545
1978,213191
1979,304915
1980,357963
1981,265292
1982,168661
1983,131592
1984,142651
1985,163327
1986,195839
1987,150055
1988,168477
1989,172157
1990,210378
1991,166021
1992,153853
1993,122552
1994,159021
1995,179555
1996,161580
1997,190715
1998,202525
1999,184373
2000,174563
2001,172779
2002,201473
2003,193944
2004,199556
2005,231336
2006,225363
2007,210909
2008,267640
2009,254019
2010,294766
2011,364649
2012,409972
2013,445218
2014,417899
2015,537283
2016,480458
2017,633123
2018,651600
