"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1980,0.48472,0.38514911840142,0.610032496959062,40238,9.45660796941172,171213256.300475,44261,38970.8749431533,50269.2362914007,14467.42
1981,0.48855,0.395278014725732,0.603830958485287,32279,10.0634336890702,103536613.167296,26604,23129.7850699792,30600.0602192641,13004.21
1982,0.7176,0.588889857020851,0.874441551099371,26880,10.073818243576,71723986.1321455,19268,16657.4446897524,22287.6816291274,14835.21
1983,0.70974,0.590895201806354,0.852487659503928,19948,10.9906005064144,36205729.0470855,24573,21641.5850653224,27901.4835178388,11622.46
1984,0.73154,0.612816316530648,0.873264560953046,15951,11.8295345214407,21508403.4404603,12371,10476.8765613516,14607.563628702,9095.546
1985,0.85293,0.712688591886888,1.02076782648355,10539,10.2375740592789,10849300.8555411,24814,21816.5903120671,28223.2276993086,6423.849
1986,0.74636,0.6106936155771,0.912164848937531,7022.5,9.73088292672772,5067937.4750821,24160,21077.0192361552,27693.9349658475,4507.967
1987,0.81218,0.658306638309622,1.00201990077723,6400.3,14.9846471086955,2733720.70712489,43024,38391.0082172786,48216.0969965591,4142.971
1988,0.79818,0.63728917853035,0.999689519080167,5947.2,27.0520516750369,1307449.36705255,65182,58971.8163623672,72046.1635078837,3785.379
1989,1.0313,0.825775945554735,1.28797610989445,5425.7,60.3035924052188,488166.945215893,28807,25158.4054682018,32984.7314866141,3715.038
1990,0.88392,0.712363790575515,1.09679152244499,5389.8,224.907151004713,129164.163568064,32918,29043.8236407258,37308.9555082053,4098.89
1991,0.82411,0.671705045989162,1.01109452155427,8551.4,2154.73189677598,33937.6059125571,22520,19467.4781834919,26051.1605673741,6137.233
1992,0.80679,0.66099180470432,0.984747616335682,10613,6501.63425959044,17324.2241108615,29452,25843.3176077139,33564.5878430518,7493.349
1993,0.7232,0.586979986157956,0.891032492305889,10079,7905.29192997015,12850.4098140729,54727,49392.1401811481,60638.0796218898,6557.062
1994,0.74406,0.598172842784573,0.925527279076732,9538.4,8181.1253563699,11120.8508116993,42614,38214.1357602127,47520.4517876527,5921.953
1995,0.77738,0.620353740073385,0.974153334400002,8755.7,7628.79288984035,10049.0711436268,23609,20697.7502877835,26929.7326158673,5854.421
1996,0.59939,0.476234597046962,0.754393683969525,9459.6,8286.93973433429,10798.1999421634,23810,20939.1662385807,27074.4352253839,5037.196
1997,0.48602,0.389286126119185,0.606791315053647,11580,10246.2212019676,13087.4004529836,18391,15975.6761534659,21171.4908183477,4860.084
1998,0.4048,0.325355861604615,0.503642501450097,12581,11090.0890172264,14272.3435992388,26405,23365.5450134443,29839.8357324353,4068.389
1999,0.34848,0.279803001380147,0.434013608864085,11390,9975.45285315709,13005.1338931387,29698,26395.9040871952,33413.184147303,3654.834
2000,0.35006,0.280673596340074,0.43659968446595,12216,10641.585168339,14023.3483676843,15207,13102.4104702822,17649.641607894,4241.96
2001,0.44799,0.358672901352537,0.559548935375907,12593,10952.37590582,14479.3833195343,13048,11141.0980228622,15281.2858885755,4508.815
2002,0.4357,0.342043331714999,0.555001289012632,11079,9521.49439037422,12891.2790332669,21321,18614.4788177347,24421.0458670968,3909.769
2003,0.39462,0.303036770815669,0.513881348394926,10261,8707.86373288173,12091.1539534573,18159,15694.6667126964,21010.2761043818,3113.389
2004,0.31438,0.236938429456659,0.417132774225968,8954.5,7416.20285328533,10811.8766215354,26738,23474.2121046288,30455.5757106338,2284.662
2005,0.22529,0.169351569490221,0.299705424949904,8871.2,7247.81799511371,10858.1906296566,31485,27797.5153379635,35661.6486382924,1738.809
2006,0.17042,0.128722580172909,0.225624566886303,10047,8270.30635951585,12205.377239001,28057,24718.6426995146,31846.2165811175,1468.323
2007,0.12263,0.0939907568291381,0.159995699655203,12205,10190.4634454151,14617.7870906373,14174,12142.4344604651,16545.4692511722,1292.507
2008,0.13176,0.102227616818224,0.16982394914742,14080,12085.9470236996,16403.050552121,20970,18373.5641173891,23933.3477811102,1426.445
2009,0.17005,0.131545023363957,0.219825895047301,14750,12742.7008756035,17073.4997332106,14066,12120.5964552636,16323.6484879487,1931.684
2010,0.15416,0.119732462573519,0.198486735252835,14234,12277.2687858814,16502.5918657897,11537,9826.64227323243,13545.0508219443,1916.404
2011,0.1385,0.107801970899078,0.177939696649498,14180,12221.4707015148,16452.3898073149,15719,13521.1545309734,18274.1022916341,1666.443
2012,0.17656,0.136260180558453,0.228778748657442,13215,11321.5367828781,15425.1342683538,12304,10351.5455411435,14624.716222161,1891.705
2013,0.1519,0.117687957868991,0.1960575271914,12873,10923.8979749084,15169.8715404186,15220,12673.8453936369,18277.6728613324,1509.89
2014,0.14666,0.113512563124016,0.189487004856904,13181,11202.227638121,15509.304632301,34209,28808.3576180965,40622.0894822857,1375.437
2015,0.1455,0.112884261263803,0.187539429881431,13824,11761.3926151446,16248.3289397146,10455,7386.62033382176,14797.9752661046,1333.443
2016,0.11312,0.0879088547714441,0.145561382107285,15827,13555.1253183094,18479.646858126,13576,7377.21704254292,24983.3744808014,1109.633
