"log.L.","X.par","AIC","M"
-985.977795081832,17,2005.95559016366,0.405
-992.705228455196,17,2019.41045691039,0.081
-990.940590215858,17,2015.88118043172,0.162
-989.226181881753,17,2012.45236376351,0.243
-987.569425102276,17,2009.13885020455,0.324
-984.45883170513,17,2002.91766341026,0.486
-983.020127672171,17,2000.04025534434,0.567
-981.669290357835,17,1997.33858071567,0.648
-980.413875819786,17,1994.82775163957,0.729
-979.261297393532,17,1992.52259478706,0.81
