"","x"
"Neff.stage2.mult.catch1",0.4024483
"Neff.stage2.mult.catch2",0.6741695
"Neff.stage2.mult.discard1",1
"Neff.stage2.mult.discard2",1
"Neff.stage2.mult.index1",0.6261933
"Neff.stage2.mult.index2",0.3731489
