"Full.F","YPR","SPR","SSBPR","Freport_5-5"
0,0,1,0.159472275376805,0
0.01,0.00152577759491579,0.963566965695562,0.153662216497395,0.01
0.02,0.00294937994476418,0.929288439771205,0.148195741971675,0.02
0.03,0.00427960589701535,0.896988280534784,0.14304476208321,0.03
0.04,0.00552432259365941,0.866508599044221,0.138184097923149,0.04
0.05,0.00669058292527358,0.837707476574773,0.133591117389541,0.05
0.06,0.00778472580134795,0.810457015147481,0.129245424300662,0.06
0.07,0.00881246209207785,0.784641665819924,0.12512859180375,0.07
0.08,0.00977894856763915,0.760156789687697,0.121223932894624,0.08
0.09,0.0106888517395925,0.736907414704506,0.117516302164966,0.09
0.1,0.0115464031716463,0.714807157962659,0.113991923935932,0.1
0.11,0.0123554475553628,0.693777288336092,0.110638242775706,0.11
0.12,0.0131194846265768,0.673745908644781,0.107443793077396,0.12
0.13,0.013841705819551,0.654647239960902,0.10439808492571,0.13
0.14,0.0145250264098657,0.636420993505029,0.101491503931814,0.14
0.15,0.015172113777212,0.619011817901316,0.0987152230858552,0.15
0.16,0.0157854123205068,0.602368811473119,0.0960611249816398,0.16
0.17,0.0163671654760336,0.58644509084313,0.0935217330203111,0.17
0.18,0.016919435221435,0.571197408416774,0.0910901504095571,0.18
0.19,0.0174441193917841,0.556585812423918,0.0887600059496897,0.19
0.2,0.0179429670865953,0.542573344111409,0.0865254057442486,0.2
0.21,0.0184175924068659,0.529125767449366,0.0843808900956486,0.21
0.22,0.0188694867277287,0.516211327363313,0.0823213949499083,0.22
0.23,0.0193000296839721,0.503800533052967,0.0803422173420039,0.23
0.24,0.0197104990216753,0.491865963423714,0.078438984367584,0.24
0.25,0.0201020794487832,0.480382092052462,0.0766076252698759,0.25
0.26,0.0204758706000348,0.469325129446995,0.0748443462844258,0.26
0.27,0.0208328942167693,0.458672880646505,0.0731456079303318,0.27
0.28,0.0211741006293656,0.448404616458464,0.0715081044760947,0.28
0.29,0.0215003746190954,0.438500956839696,0.0699287453421324,0.29
0.3,0.0218125407267155,0.428943765112903,0.0684046382312483,0.3
0.31,0.022111368066951,0.419716051868274,0.0669330738036027,0.31
0.32,0.0223975747009499,0.41080188753701,0.0655115117346133,0.32
0.33,0.02267183161265,0.402186322742627,0.0641375680131967,0.33
0.34,0.0229347663296604,0.393855315639499,0.0628090033542806,0.34
0.35,0.0231869662246064,0.38579566553834,0.0615237126139078,0.35
0.36,0.0234289815288245,0.377994952197199,0.0602797151078339,0.36
0.37,0.0236613280867374,0.370441480225552,0.0590751457455204,0.37
0.38,0.0238844898761223,0.363124228109579,0.0579082469010805,0.38
0.39,0.0240989213167465,0.356032801419917,0.0567773609512122,0.39
0.4,0.0243050493874367,0.349157389809937,0.0556809234176168,0.4
0.41,0.0245032755695233,0.342488727453908,0.0546174566579811,0.41
0.42,0.0246939776327245,0.336018056610807,0.0535855640554174,0.42
0.43,0.0248775112778784,0.329737094031838,0.0525839246613927,0.43
0.44,0.0250542116494599,0.323637999958256,0.0516112882517414,0.44
0.45,0.0252243947295166,0.317713349481483,0.0506664707593982,0.45
0.46,0.0253883586234973,0.311956106060049,0.0497483500510838,0.46
0.47,0.025546384747417,0.306359597007963,0.0488558620183809,0.47
0.48,0.0256987389248827,0.300917490787039,0.0479879969564879,0.48
0.49,0.0258456724016836,0.295623775951652,0.0471437962064927,0.49
0.5,0.0259874227849161,0.29047274160873,0.046322349039283,0.5
0.51,0.0261242149129579,0.285458959268572,0.0455227897612539,0.51
