"Full.F","Exp.Spawn","SPR","Freport_5-5"
0,1.12366761332963,1,0
0.01,1.0904778434258,0.963566965695562,0.01
0.02,1.05904592820259,0.929288439771205,0.02
0.03,1.02923434430064,0.896988280534784,0.03
0.04,1.00091960165664,0.866508599044221,0.04
0.05,0.973990497065366,0.837707476574773,0.05
0.06,0.948346622231915,0.810457015147481,0.06
0.07,0.923897084075243,0.784641665819924,0.07
0.08,0.900559402870425,0.760156789687697,0.08
0.09,0.878258560049206,0.736907414704506,0.09
0.1,0.856926172468813,0.714807157962659,0.1
0.11,0.836499773976775,0.693777288336092,0.11
0.12,0.81692218835074,0.673745908644781,0.12
0.13,0.798140980336139,0.654647239960902,0.13
0.14,0.780107973664534,0.636420993505029,0.14
0.15,0.762778826708037,0.619011817901316,0.15
0.16,0.746112657885972,0.602368811473119,0.16
0.17,0.730071714148809,0.58644509084313,0.17
0.18,0.714621076868606,0.571197408416774,0.18
0.19,0.699728400302602,0.556585812423918,0.19
0.2,0.685363678497414,0.542573344111409,0.2
0.21,0.671499037089809,0.529125767449366,0.21
0.22,0.658108546955909,0.516211327363313,0.22
0.23,0.645168057079866,0.503800533052967,0.23
0.24,0.632655044368439,0.491865963423714,0.24
0.25,0.620548478440201,0.480382092052462,0.25
0.26,0.608828699675853,0.469325129446995,0.26
0.27,0.597477309036632,0.458672880646505,0.27
0.28,0.586477068346855,0.448404616458464,0.28
0.29,0.575811809899172,0.438500956839696,0.29
0.3,0.565466354381258,0.428943765112903,0.3
0.31,0.555426436243652,0.419716051868274,0.31
0.32,0.54567863573335,0.41080188753701,0.32
0.33,0.536210316908717,0.402186322742627,0.33
0.34,0.527009571030427,0.393855315639499,0.34
0.35,0.518065164792182,0.38579566553834,0.35
0.36,0.5093664929152,0.377994952197199,0.36
0.37,0.50090353468324,0.370441480225552,0.37
0.38,0.492666814041206,0.363124228109579,0.38
0.39,0.484647362921015,0.356032801419917,0.39
0.4,0.476836687494225,0.349157389809937,0.4
0.41,0.469226737082456,0.342488727453908,0.41
0.42,0.461809875484538,0.336018056610807,0.42
0.43,0.454578854503978,0.329737094031838,0.43
0.44,0.447526789482208,0.323637999958256,0.44
0.45,0.440647136662491,0.317713349481483,0.45
0.46,0.433933672226619,0.311956106060049,0.46
0.47,0.427380472861898,0.306359597007963,0.47
0.48,0.420981897729641,0.300917490787039,0.48
0.49,0.414732571718609,0.295623775951652,0.49
0.5,0.408627369877798,0.29047274160873,0.5
0.51,0.40266140293278,0.285458959268572,0.51
0.52,0.396830003798577,0.280577265973528,0.52
0.53,0.391128715009971,0.275822748601933,0.53
0.54,0.385553276997217,0.271190729253891,0.54
0.55,0.380099617141544,0.266676751633873,0.55
0.56,0.374763839550579,0.26227656835258,0.56
0.57,0.369542215499003,0.257986129077302,0.57
0.58,0.364431174484485,0.253801569466136,0.58
0.59,0.359427295853149,0.249719200826916,0.59
0.6,0.354527300952682,0.245735500446758,0.6
0.61,0.349728045774694,0.241847102542641,0.61
0.62,0.345026514051079,0.238050789787537,0.62
0.63,0.340419810772004,0.234343485370384,0.63
0.64,0.335905156095777,0.230722245551556,0.64
0.65,0.331479879623206,0.227184252678582,0.65
0.66,0.327141415011233,0.223726808629681,0.66
0.67,0.322887294902601,0.220347328655253,0.67
0.68,0.318715146150118,0.217043335589786,0.68
0.69,0.314622685315714,0.213812454408792,0.69
0.7,0.310607714426017,0.210652407107328,0.7
0.71,0.306668116967528,0.207561007878451,0.71
0.72,0.302801854105751,0.204536158571584,0.72
0.73,0.299006961113789,0.20157584441228,0.73
0.74,0.295281543996973,0.198678129966227,0.74
0.75,0.291623776301078,0.195841155331615,0.75
0.76,0.288031896092562,0.193063132545138,0.76
0.77,0.284504203100094,0.190342342187972,0.77
0.78,0.281039056007414,0.187677130179031,0.78
0.79,0.277634869888215,0.18506590474375,0.79
0.8,0.27429011377446,0.182507133547407,0.8
0.81,0.271003308350057,0.179999340982834,0.81
0.82,0.267773023762429,0.17754110560302,0.82
0.83,0.264597877544995,0.175131057689781,0.83
0.84,0.261476532644035,0.172767876950281,0.84
0.85,0.258407695543877,0.17045029033374,0.85
0.86,0.255390114484725,0.168177069961165,0.86
0.87,0.252422577767809,0.165947031161438,0.87
0.88,0.249503912142919,0.163759030607537,0.88
0.89,0.246632981273657,0.161611964547051,0.89
0.9,0.243808684276081,0.159504767121551,0.9
0.91,0.241029954326664,0.157436408769735,0.91
0.92,0.23829575733575,0.15540589470957,0.92
0.93,0.235605090682947,0.153412263494975,0.93
0.94,0.232956982011079,0.151454585642868,0.94
0.95,0.230350488075574,0.149531962326659,0.95
0.96,0.227784693646317,0.147643524132519,0.96
0.97,0.2252587104592,0.145788429874979,0.97
0.98,0.22277167621474,0.143965865468624,0.98
0.99,0.220322753621346,0.142175042852857,0.99
1,0.217911129480885,0.140415198966867,1
1.01,0.215536013814403,0.138685594772136,1.01
1.02,0.213196639025943,0.136985514319953,1.02
1.03,0.210892259102529,0.135314263861579,1.03
1.04,0.208622148848507,0.133671170998822,1.04
1.05,0.206385603152516,0.132055583872926,1.05
1.06,0.204181936285494,0.130466870389807,1.06
1.07,0.202010481228164,0.128904417479751,1.07
1.08,0.199870589026588,0.127367630389849,1.08
1.09,0.19776162817441,0.125855932007488,1.09
1.1,0.195682984020508,0.12436876221335,1.1
1.11,0.193634058200844,0.12290557726244,1.11
1.12,0.191614268093351,0.121465849191762,1.12
1.13,0.189623046294789,0.120049065253312,1.13
1.14,0.187659840118516,0.118654727371168,1.14
1.15,0.185724111112228,0.117282351621488,1.15
1.16,0.183815334594716,0.115931467734317,1.16
1.17,0.181932999210795,0.114601618616152,1.17
1.18,0.180076606503554,0.113292359892269,1.18
1.19,0.178245670503151,0.112003259467886,1.19
1.2,0.176439717331411,0.110733897107255,1.2
1.21,0.17465828482151,0.10948386402986,1.21
1.22,0.172900922152089,0.108252762522912,1.22
1.23,0.171167189495143,0.107040205569387,1.23
1.24,0.169456657677098,0.105845816490901,1.24
1.25,0.167768907852484,0.104669228604724,1.25
1.26,0.166103531189678,0.103510084894311,1.26
1.27,0.164460128568174,0.102368037692725,1.27
1.28,0.162838310286906,0.101242748378365,1.28
1.29,0.161237695783148,0.100133887082478,1.29
1.3,0.159657913361533,0.0990411324078914,1.3
1.31,0.158098599932786,0.0979641711585068,1.31
1.32,0.156559400761751,0.0969026980790542,1.32
1.33,0.155039969224325,0.0958564156046757,1.33
1.34,0.153539966572941,0.0948250336199044,1.34
1.35,0.152059061710249,0.0938082692266331,1.35
1.36,0.150596930970644,0.0928058465206882,1.36
1.37,0.149153257909349,0.0918174963766406,1.37
1.38,0.147727733098727,0.0908429562405035,1.38
1.39,0.146320053931542,0.0898819699299832,1.39
1.4,0.144929924430893,0.0889342874419687,1.4
1.41,0.14355705506655,0.0879996647669534,1.41
1.42,0.14220116257745,0.0870778637101044,1.42
1.43,0.140861969800105,0.0861686517187032,1.43
1.44,0.13953920550269,0.0852718017156966,1.44
1.45,0.138232604224595,0.0843870919391073,1.45
1.46,0.136941906121237,0.0835143057870671,1.46
1.47,0.135666856813915,0.0826532316682448,1.47
1.48,0.134407207244534,0.081803662857452,1.48
1.49,0.133162713534991,0.0809653973562195,1.49
1.5,0.131933136851081,0.0801382377581477,1.5
1.51,0.130718243270717,0.07932199111884,1.51
1.52,0.129517803656328,0.0785164688302411,1.52
1.53,0.128331593531275,0.0777214864992066,1.53
1.54,0.127159392960129,0.0769368638301382,1.54
1.55,0.126000986432682,0.0761624245115299,1.55
1.56,0.124856162751543,0.0753979961062707,1.56
1.57,0.123724714923198,0.074643409945563,1.57
1.58,0.122606440052407,0.0738985010263171,1.58
1.59,0.121501139239812,0.0731631079118898,1.59
1.6,0.120408617482654,0.0724370726360422,1.6
1.61,0.119328683578475,0.0717202406099939,1.61
1.62,0.118261150031709,0.0710124605324604,1.62
1.63,0.117205832963058,0.0703135843025594,1.63
1.64,0.116162552021556,0.0696234669354836,1.64
1.65,0.115131130299226,0.0689419664808352,1.65
1.66,0.114111394248237,0.0682689439435265,1.66
1.67,0.11310317360049,0.0676042632071518,1.67
1.68,0.112106301289528,0.0669477909597424,1.68
1.69,0.111120613374712,0.0662993966218171,1.69
1.7,0.110145948967568,0.0656589522766476,1.7
1.71,0.109182150160243,0.0650263326026576,1.71
1.72,0.108229061956002,0.064401414807882,1.72
1.73,0.107286532201684,0.0637840785664116,1.73
1.74,0.106354411522065,0.0631742059567542,1.74
1.75,0.105432553256061,0.0625716814020449,1.75
1.76,0.104520813394704,0.0619763916120407,1.76
1.77,0.103619050520848,0.0613882255268384,1.77
1.78,0.102727125750533,0.0608070742622557,1.78
1.79,0.101844902675958,0.0602328310568176,1.79
1.8,0.100972247310021,0.0596653912202954,1.8
1.81,0.100109028032358,0.0591046520837429,1.81
1.82,0.0992551155368513,0.0585505129509808,1.82
1.83,0.0984103827805444,0.0580028750514803,1.83
1.84,0.0975747049339313,0.0574616414945976,1.84
1.85,0.0967479593325703,0.0569267172251164,1.85
1.86,0.0959300254299815,0.0563980089800529,1.86
1.87,0.0951207847517906,0.0558754252466827,1.87
1.88,0.0943201208510775,0.055358876221749,1.88
1.89,0.0935279192648938,0.0548482737718134,1.89
1.9,0.0927440674719133,0.0543435313947118,1.9
1.91,0.0919684548511797,0.0538445641820801,1.91
1.92,0.0912009726419201,0.0533512887829146,1.92
1.93,0.0904415139043892,0.0528636233681338,1.93
1.94,0.089689973481716,0.05238148759611,1.94
1.95,0.0889462479627205,0.0519048025791388,1.95
1.96,0.0882102356456723,0.0514334908508183,1.96
1.97,0.0874818365029639,0.0509674763343077,1.97
1.98,0.0867609521466696,0.0505066843114382,1.98
1.99,0.0860474857949652,0.0500510413926499,1.99
2,0.085341342239384,0.0496004754877283,2
