"","Z.pred","low.80%","high.80%"
"1956",NA,NA,NA
"1957",NA,NA,NA
"1958",NA,NA,NA
"1959",0.940413178397493,NA,NA
"1960",0.909014208926391,0.823292142638091,0.994736275214692
"1961",1.05822807588155,0.876830194954647,1.23962595680846
"1962",1.26322250537738,1.14894665288245,1.37749835787232
"1963",1.4825927533175,1.4139744733935,1.5512110332415
"1964",1.55206280956345,1.49307226204672,1.61105335708019
"1965",1.47880250466991,1.30039983335798,1.65720517598184
"1966",1.3935404365611,1.20726852550871,1.57981234761349
"1967",1.23000462205321,1.06173033772454,1.39827890638187
"1968",1.05005723616457,0.93660187137502,1.16351260095412
"1969",0.904136347119094,0.712171947871839,1.09610074636635
"1970",0.872972501248622,0.676487249686482,1.06945775281076
"1971",0.916743358697556,0.769620994415259,1.06386572297985
"1972",1.06437631281529,0.965707172035071,1.1630454535955
"1973",1.19988220617365,1.0756370490143,1.32412736333301
"1974",1.32682107352993,1.10306354874014,1.55057859831972
"1975",1.35244613908751,1.18213294986261,1.5227593283124
"1976",1.53163396108606,1.4000904142288,1.66317750794333
"1977",1.82230213887242,1.76306712922879,1.88153714851606
"1978",1.79065862893647,1.51307892522648,2.06823833264646
"1979",1.62020721525024,1.24162633510568,1.99878809539479
"1980",1.2965720075192,0.950523488132055,1.64262052690634
"1981",0.99355372314512,0.826539269756691,1.16056817653355
"1982",0.943053331277393,0.848121288337949,1.03798537421684
"1983",1.0850718241419,0.955373358876754,1.21477028940704
"1984",1.18665307817282,1.11526100275393,1.25804515359171
"1985",1.2414652477641,1.1529694861967,1.3299610093315
"1986",1.22021023481469,1.02155462086886,1.41886584876052
"1987",1.14452548041103,0.916856756779317,1.37219420404275
"1988",1.1266647657986,0.964676466654799,1.2886530649424
"1989",1.25816977006382,1.14305302022266,1.37328651990498
"1990",1.37810978174659,1.27329047572755,1.48292908776564
"1991",1.32022733809149,1.07962077594104,1.56083390024195
"1992",1.18660487004599,0.911190236111834,1.46201950398015
"1993",1.14206279840327,0.942770568138622,1.34135502866791
"1994",1.02501887392039,0.906050239588854,1.14398750825193
"1995",1.13094652369766,0.98416154647034,1.27773150092498
"1996",1.30090343414487,1.11042472615209,1.49138214213766
"1997",1.23518476497793,1.05391475451462,1.41645477544125
"1998",1.18375585277732,1.03313831303973,1.3343733925149
"1999",1.23989256980303,1.02674918580655,1.45303595379952
"2000",1.04981124974677,0.846874576305822,1.25274792318772
"2001",1.09850939804649,0.936282036686752,1.26073675940623
"2002",1.3947333981076,1.20188652507415,1.58758027114106
"2003",1.50618334734495,1.35984533862239,1.65252135606751
"2004",1.64066841687448,1.47889829833984,1.80243853540912
"2005",1.89673829108727,1.67456082196455,2.11891576020998
"2006",1.55664198135599,1.23660751873321,1.87667644397877
"2007",1.38232763942551,1.03723901324477,1.72741626560626
"2008",1.40896877093271,0.806902469342759,2.01103507252266
"2009",1.26708618741919,0.299392226151675,2.2347801486867
"2010",1.78828339174981,NA,NA
"2011",2.02479114986147,NA,NA
"2012",NA,NA,NA
"2013",NA,NA,NA
"2014",NA,NA,NA
"2015",NA,NA,NA
"2016",NA,NA,NA
"2017",NA,NA,NA
"2018",NA,NA,NA
"2019",NA,NA,NA
"2020",NA,NA,NA
"2021",NA,NA,NA
