year,	fleet,	age,	logObs,	pred,	predSd
2014,	2,	1,	2.26176310659879,	3.34263219604077,	0.821926865369004
2014,	2,	2,	3.54095934899384,	3.66026052454064,	0.773660015744683
2014,	2,	3,	4.96703182109879,	4.9889912408869,	0.759652939902271
2014,	2,	4,	6.00141486692155,	4.49066202569488,	0.755673649832495
2014,	2,	5,	5.32739055541305,	3.28665055145387,	0.756858138227468
2014,	2,	6,	4.01277298315758,	2.95627806725247,	0.751576430526358
2014,	2,	7,	4.00369018795032,	1.59976486326679,	0.754425390983338
2014,	3,	1,	6.42271055160595,	4.28247909524213,	0.915464236134617
2014,	3,	2,	6.30750247459405,	3.97534038889528,	0.875325570695994
2014,	3,	3,	6.27150598622151,	4.75551111222037,	0.869156675092047
2014,	3,	4,	5.6429213092968,	3.6124698244702,	0.873309719874059
2014,	3,	5,	3.24254287955868,	1.82475112111534,	0.875629433074507
2014,	4,	1,	5.31197263523911,	5.34511291759733,	0.723738327125444
2014,	4,	2,	3.89206594548786,	3.88725701632492,	0.669432248816339
2014,	4,	3,	4.72141957572165,	4.24393323466291,	0.654189061365039
2014,	4,	4,	3.24673655843985,	2.9006053657206,	0.650406322456349
2014,	4,	5,	2.37979155836303,	1.34267414769402,	0.646067019488858
2014,	4,	6,	1.90235301253139,	0.513783126130717,	0.644868866970863
2015,	2,	1,	3.89995038882546,	3.130728326711,	1.03942116087892
2015,	2,	2,	7.18500837978572,	4.55021302222651,	0.987820499768458
2015,	2,	3,	7.48818148757512,	3.96466714443498,	0.956914448023482
2015,	2,	4,	7.93465678862511,	4.59719926341747,	0.952859916959043
2015,	2,	5,	6.03715470718798,	2.97658475150582,	0.960012948094087
2015,	2,	6,	4.80811079279292,	1.72131364523798,	0.957711123612616
2015,	2,	7,	3.73528580859874,	1.15794271041572,	0.951489982927946
2015,	3,	1,	1.85629771224059,	4.07576824186656,	0.766886067602473
2015,	3,	2,	5.2796440006711,	4.91025293119885,	0.699545912831463
2015,	3,	3,	4.55492901056081,	3.94109896032059,	0.664080796465972
2015,	3,	4,	5.3181200830599,	4.27789050595381,	0.672000530359469
2015,	3,	5,	4.48074005438228,	2.26308027020785,	0.696191080769567
2015,	4,	1,	4.25703019152469,	5.13420345557794,	0.912833464817543
2015,	4,	2,	4.06560208066348,	4.78581888425673,	0.854473005381494
2015,	4,	3,	4.03246897836215,	3.25980504248693,	0.819782017501344
2015,	4,	4,	4.02356452434709,	3.11416283735488,	0.817147501817617
2015,	4,	5,	1.52605619914722,	1.17591801883884,	0.822953355669438
2016,	2,	1,	4.563272500161,	2.57170366819876,	1.34009957323451
2016,	2,	2,	5.33606115599971,	4.26534967313248,	1.2866597513393
2016,	2,	3,	7.58940332950102,	5.06018233327856,	1.25717594485489
2016,	2,	4,	5.76233225961989,	4.02318042826295,	1.25002016478659
2016,	2,	5,	5.8653008165965,	4.06407966224139,	1.26693413655536
2016,	2,	6,	2.07940792951495,	2.48772326461821,	1.2765734101815
2016,	2,	7,	2.24067614047916,	0.867267886706995,	1.27638223625675
2016,	3,	2,	4.5507550425388,	4.6259198643861,	1.06125157701948
2016,	3,	3,	7.38260091474,	5.03733394967485,	1.04036853559881
2016,	3,	4,	5.7611488887052,	3.70181034585162,	1.06134592893024
2016,	3,	5,	5.88141143773982,	3.3409864040499,	1.11168109521398
2016,	4,	2,	2.59525461591209,	4.50105707857827,	0.965548994825992
2016,	4,	3,	3.92986299487278,	4.35545806547085,	0.928913923849972
2016,	4,	4,	1.87180214397851,	2.53974928040187,	0.924898814455735
2016,	4,	5,	2.11625582203142,	2.26157678080757,	0.949445593709177
