Year,SSB
1963,145016
1964,156610
1965,191632
1966,212893
1967,241337
1968,254072
1969,250569
1970,261239
1971,264919
1972,235866
1973,210206
1974,225745
1975,204016
1976,172409
1977,146131
1978,144837
1979,143438
1980,156049
1981,164850
1982,163662
1983,134944
1984,117444
1985,116664
1986,109218
1987,111058
1988,110518
1989,102521
1990,89916
1991,88679
1992,85356
1993,87538
1994,94324
1995,108795
1996,109556
1997,94290
1998,94704
1999,80941
2000,60530
2001,58733
2002,53225
2003,55002
2004,44228
2005,47151
2006,43808
2007,75783
2008,83490
2009,89598
2010,88837
2011,95767
2012,93437
2013,99704
2014,105637
2015,118237
2016,116859
2017,106745
2018,101582
2019,81224
