Year,1,2,3,4,5,6+
1963,0.091,0.475,0.519,0.475,0.476,0.523
1964,0.100,0.506,0.565,0.514,0.511,0.557
1965,0.118,0.557,0.626,0.555,0.541,0.580
1966,0.124,0.572,0.636,0.551,0.538,0.581
1967,0.134,0.604,0.673,0.583,0.578,0.620
1968,0.147,0.641,0.710,0.616,0.608,0.642
1969,0.139,0.618,0.675,0.587,0.586,0.620
1970,0.163,0.673,0.716,0.607,0.596,0.618
1971,0.208,0.772,0.799,0.669,0.647,0.660
1972,0.245,0.844,0.853,0.712,0.688,0.699
1973,0.256,0.853,0.836,0.693,0.664,0.667
1974,0.256,0.836,0.795,0.658,0.640,0.646
1975,0.291,0.899,0.848,0.699,0.679,0.675
1976,0.333,0.970,0.904,0.726,0.703,0.690
1977,0.317,0.935,0.867,0.686,0.682,0.675
1978,0.350,0.998,0.960,0.764,0.759,0.736
1979,0.328,0.942,0.919,0.720,0.700,0.676
1980,0.360,1.001,1.001,0.787,0.745,0.714
1981,0.358,1.006,1.027,0.810,0.749,0.717
1982,0.393,1.085,1.143,0.915,0.834,0.791
1983,0.384,1.077,1.139,0.923,0.833,0.784
1984,0.350,1.015,1.066,0.882,0.798,0.753
1985,0.326,0.976,1.023,0.865,0.780,0.735
1986,0.334,1.001,1.071,0.932,0.834,0.781
1987,0.313,0.973,1.051,0.928,0.826,0.774
1988,0.314,0.983,1.079,0.952,0.838,0.777
1989,0.319,0.993,1.092,0.972,0.857,0.792
1990,0.291,0.939,1.021,0.906,0.792,0.729
1991,0.275,0.910,1.006,0.911,0.808,0.739
1992,0.263,0.890,1.002,0.916,0.808,0.724
1993,0.256,0.883,1.020,0.930,0.815,0.717
1994,0.252,0.880,1.049,0.945,0.825,0.714
1995,0.253,0.898,1.101,0.978,0.851,0.720
1996,0.233,0.865,1.107,1.000,0.899,0.755
1997,0.213,0.822,1.093,1.009,0.919,0.756
1998,0.211,0.820,1.128,1.056,0.959,0.769
1999,0.211,0.823,1.182,1.127,1.030,0.807
2000,0.203,0.806,1.175,1.139,1.038,0.789
2001,0.182,0.752,1.096,1.079,0.979,0.727
2002,0.168,0.708,1.037,1.028,0.931,0.680
2003,0.163,0.692,1.024,0.998,0.891,0.636
2004,0.156,0.665,0.984,0.928,0.834,0.586
2005,0.143,0.626,0.921,0.849,0.786,0.548
2006,0.131,0.588,0.850,0.768,0.732,0.506
2007,0.118,0.544,0.801,0.721,0.690,0.465
2008,0.108,0.512,0.769,0.692,0.678,0.455
2009,0.103,0.496,0.761,0.693,0.681,0.444
2010,0.086,0.439,0.676,0.619,0.608,0.390
2011,0.067,0.367,0.564,0.524,0.521,0.336
2012,0.059,0.339,0.522,0.490,0.481,0.303
2013,0.057,0.329,0.514,0.483,0.466,0.286
2014,0.056,0.328,0.520,0.486,0.463,0.278
2015,0.054,0.317,0.504,0.479,0.463,0.278
2016,0.052,0.310,0.492,0.467,0.443,0.259
2017,0.055,0.323,0.517,0.491,0.458,0.263
