Year,1,2,3,4,5,6,7,8,9,10,11+
1963,19347,62280,7028,3519,2774,1207,81,489,13,6,0
1964,13052,28541,20118,4285,1908,1809,596,117,93,11,4
1965,113655,58227,17646,9135,2375,946,655,297,51,75,8
1966,126508,84327,29766,6153,3362,1272,475,368,125,56,83
1967,60962,95275,32689,11205,3255,1964,884,353,137,40,17
1968,36915,106373,42569,12330,6046,1407,866,307,150,111,24
1969,5434,32840,31532,13641,4542,2881,585,420,147,46,77
1970,107177,42403,18547,13272,6266,1754,956,208,185,97,40
1971,303519,191789,17179,6720,7065,2686,888,455,227,77,93
1972,42062,246086,48062,5653,2713,3184,1671,609,388,112,17
1973,111751,48983,54901,14002,2195,1103,1055,487,79,57,161
1974,139635,74502,11418,15745,4601,956,436,393,330,80,188
1975,169862,63121,18849,4640,7525,2057,447,195,228,95,63
1976,232476,182989,18672,6707,1732,3056,920,130,67,63,43
1977,547729,98935,25989,4597,2286,833,1140,370,262,26,96
1978,58501,253025,17178,9396,2989,1103,408,403,152,36,44
1979,615698,96413,44384,4011,3375,708,396,139,157,42,17
1980,1248084,122048,34938,12274,1958,1269,494,197,73,55,25
1981,175863,221933,34646,8953,4088,779,599,133,64,36,21
1982,248166,73132,60005,9487,3447,2048,425,234,77,27,16
1983,80437,139526,21480,11787,2803,1246,589,179,89,28,23
1984,601879,78543,31092,4238,3415,1013,434,243,59,44,19
1985,72096,153957,19003,7779,1369,1257,371,172,78,16,31
1986,663347,38069,34277,5791,2981,602,554,170,69,44,23
1987,49451,189722,9761,8689,1528,1071,234,215,55,48,12
1988,36738,72109,43929,3117,2543,652,293,66,63,23,18
1989,198992,44768,18544,9791,994,1028,249,139,27,31,10
1990,45504,102027,11873,4299,2445,307,307,54,60,12,9
1991,60761,31528,17002,3267,1372,1039,222,137,27,4,9
1992,129572,41353,8525,4916,1041,482,323,51,39,17,9
1993,38121,82709,11145,3126,1546,426,200,106,17,10,13
1994,336092,41773,21045,3045,859,513,140,57,32,7,16
1995,60242,106084,12783,5223,790,282,148,41,14,13,5
1996,19124,59360,23809,3125,1834,393,159,87,42,4,8
1997,109552,42494,18430,6409,1221,690,151,47,14,15,10
1998,16701,171206,18293,5909,2379,504,233,41,16,4,12
1999,36793,15180,39904,3959,1419,614,219,89,14,10,2
2000,45118,27965,6310,6529,996,375,135,39,18,5,1
2001,7624,53403,6797,1114,1053,140,82,27,13,6,1
2002,30692,21265,17012,2805,395,384,58,38,18,4,1
2003,6135,14975,4328,3127,397,68,61,15,5,2,0
2004,21807,12452,7460,1650,944,155,29,19,6,2,0
2005,11222,16478,4831,1863,546,351,52,13,11,1,1
2006,28177,39743,6375,1020,524,187,121,23,4,1,0
2007,16947,29381,4921,2043,451,161,40,41,6,1,1
2008,11185,12599,11721,1369,720,224,70,26,13,1,1
2009,10127,13887,5494,3539,646,254,53,19,17,10,3
2010,10987,14188,5831,1646,1344,199,65,16,6,4,2
2011,5035,12391,4970,1489,616,455,49,28,5,2,2
2012,11815,7420,6789,2077,638,249,139,15,4,4,1
2013,6871,8743,3919,2989,949,229,100,38,5,2,1
2014,9995,10711,5810,1768,1345,337,64,38,6,2,0
2015,4666,15319,6869,2113,800,648,159,27,9,1,2
2016,3234,6977,8754,3408,1044,279,188,44,9,5,2
2017,10118,5054,4504,3987,1756,395,95,79,24,9,2
