Year,SSB
1946,990934
1947,1021533
1948,837191
1949,624679
1950,561960
1951,511174
1952,499388
1953,396109
1954,409613
1955,331349
1956,284131
1957,206845
1958,204290
1959,443045
1960,403077
1961,406118
1962,320257
1963,214454
1964,192056
1965,106520
1966,121926
1967,133552
1968,228959
1969,151324
1970,230581
1971,319255
1972,365225
1973,324190
1974,159560
1975,130571
1976,167868
1977,352496
1978,234828
1979,165061
1980,102562
1981,151682
1982,310647
1983,281459
1984,227821
1985,187561
1986,162029
1987,110512
1988,179777
1989,234911
1990,332002
1991,707466
1992,909866
1993,776726
1994,592309
1995,524227
1996,547314
1997,544511
1998,378861
1999,283778
2000,239618
2001,364366
2002,506600
2003,596195
2004,710679
2005,617366
2006,604725
2007,656899
2008,694325
2009,1106913
2010,1406781
2011,2023705
2012,2350356
2013,2662341
2014,2522612
2015,2085035
2016,1713359
2017,1809027
