Cohort,3,4,5,6,7,8,9,10,11,12,13,14,gp
1946,0.35,0.56,1.26,1.66,2.36,3.46,5.06,6.34,7.79,8.78,9.94,10.82,13.83
1947,0.32,0.53,1.11,1.7,2.54,3.71,5.06,6.75,7.2,8.35,10.61,11,13
1948,0.34,0.67,1.29,1.88,2.64,3.72,5.4,7.04,8,9.25,11.63,11.95,13.42
1949,0.37,0.64,1.39,1.92,2.81,4.33,4.9,7.28,8.24,9.58,11.62,11.72,13.42
1950,0.39,0.83,1.33,1.93,3.03,3.94,5.55,7.51,8.67,8.63,11.42,13.18,14.44
1951,0.4,0.8,1.28,1.97,2.75,4.25,5.49,7.35,7.17,8.3,11.95,13.48,14.29
1952,0.44,0.76,1.26,1.73,2.89,4.28,5.61,6.44,7.79,9.6,12.72,13.19,14
1953,0.4,0.77,1.13,1.83,2.89,4.21,5.45,8.49,8.68,10.56,12.74,13.25,14.12
1954,0.44,0.57,1.07,1.82,2.94,4.32,6.12,8.15,9.27,11.31,12.89,13.46,15
1955,0.32,0.58,1.02,1.92,3.59,4.87,6.15,7.7,9.62,10.16,13.72,14,16.76
1956,0.33,0.59,0.95,2.68,3.38,5.11,6.55,7.91,9.34,11.17,14.15,14.15,17
1957,0.33,0.52,1.47,2.13,3.23,5.03,6.44,8.07,8.47,10.66,13.83,16.3,17
1958,0.34,0.72,1.09,2.2,3.03,4.96,6.41,7.54,8.63,10.59,14.85,15,16
1959,0.35,0.51,1.05,1.7,3.04,4.97,5.73,7.27,9.03,9.66,14.21,14.61,15.97
1960,0.34,0.55,0.93,1.73,3.25,3.52,5.36,7.11,9.01,10.71,14.07,14.25,16
1961,0.31,0.55,0.96,1.86,2.41,3.82,4.89,6.65,8.33,10.99,12.95,13.85,15.84
1962,0.32,0.61,0.95,1.49,2.46,3.48,5.27,6.43,8.97,10.83,13.67,14,14.29
1963,0.32,0.55,1.03,1.78,2.81,4.21,5.02,7.6,8.62,12.09,13.9,13.7,14.29
1964,0.33,0.68,1.18,2.04,3.14,3.81,5.59,7.13,9.52,11.62,13.24,14,14.28
1965,0.38,0.74,1.35,2.12,2.9,4.15,5.81,7.62,10.54,11.41,13.11,14.31,14.91
1966,0.44,0.81,1.48,2.03,3,4.22,5.83,8.37,9.82,11.81,13.54,14.26,15
1967,0.29,0.7,1.23,2,3.07,4.38,6.57,7.86,9.92,11.86,13.67,14,15.31
1968,0.33,0.79,1.34,2.16,3.23,4.61,5.52,8.77,10.28,10.9,13.18,14.5,15.5
1969,0.44,0.91,1.38,2.12,3.29,4.39,5.74,9.3,9.93,10.85,14.34,15,16
1970,0.37,0.88,1.43,2.26,3.21,4.37,5.88,8.63,10.15,10.89,14.45,15,16
1971,0.45,0.77,1.54,2.22,2.95,4.22,6.46,7.98,9.22,9.28,13.93,15,15.55
1972,0.38,0.91,1.17,1.9,2.76,4.56,6.54,8.61,8.84,10.77,14.04,14.18,15.55
1973,0.38,0.66,1.11,2.01,3.3,4.46,6.58,7.26,10.82,10.78,12.8,14.18,15.55
1974,0.32,0.64,1.19,2.05,3.04,4.29,5.84,9.16,12.24,11.42,12.8,14.18,15.55
1975,0.41,0.73,1.43,2.15,3.15,4.2,6.57,8.51,11.55,11.42,12.8,14.18,15.55
1976,0.35,0.9,1.45,2.14,3.02,4.85,6.46,9.29,8.13,11.42,12.8,14.18,15.55
1977,0.49,0.81,1.24,1.72,2.98,4.24,7.77,7.4,11.8,11.42,12.8,14.18,15.55
1978,0.49,0.7,1.02,2.09,2.93,5.58,6.02,9.81,9.81,11.42,12.8,14.18,15.55
1979,0.35,0.56,1.44,1.99,3.99,4.91,7.66,7.69,12.17,11.42,12.8,14.18,15.55
1980,0.27,0.98,1.35,2.86,3.91,6.04,6.83,9.6,11.36,11.42,12.8,14.18,15.55
1981,0.49,0.66,2.09,3.14,4.63,5.84,8.6,9.51,11.08,11.42,12.8,14.18,15.55
1982,0.37,1.37,2.49,3.22,4.49,5.92,8.06,9.12,13.25,11.42,12.8,14.18,15.55
1983,0.84,1.93,2.02,2.79,3.44,5.35,7.52,9.84,11.8,11.42,12.8,14.18,15.55
1984,1.42,1.37,1.88,2.33,3.52,4.64,7.3,8.82,10.12,11.42,12.8,14.18,15.55
1985,0.94,1.27,1.55,2.24,2.93,4.68,6.08,7.77,7.98,11.42,12.8,14.18,15.55
1986,0.64,0.88,1.32,1.92,3.24,4.71,6.14,7.19,8.01,11.42,12.8,14.18,15.55
1987,0.49,0.85,1.31,2.22,3.75,5.19,6.47,7.57,8.74,11.42,12.8,14.18,15.55
1988,0.54,0.96,1.64,2.89,4.27,5.53,6.8,8.05,9.28,11.42,12.8,14.18,15.55
1989,0.74,1.22,2.15,3.1,4.07,5.2,6.23,8.04,8.61,11.42,12.8,14.18,15.55
1990,0.81,1.45,2.21,2.79,3.21,4.99,6.74,7.73,10.3,11.42,12.8,14.18,15.55
1991,1.05,1.57,2.16,2.89,3.81,5.72,7.19,9.3,10.08,11.42,12.8,14.18,15.55
1992,1.16,1.52,2.06,2.59,3.82,5.2,6.87,6.73,8.02,11.42,12.8,14.18,15.55
1993,0.81,1.3,1.78,2.46,3.42,4.86,6,7.52,9,11.42,12.8,14.18,15.55
1994,0.82,1.2,1.61,2.22,3.3,4.29,5.72,7.54,9.14,11.42,12.8,14.18,15.55
1995,0.77,1.11,1.53,2.3,3.21,4.48,6.04,7.66,10.71,11.42,12.8,14.18,15.55
1996,0.79,1.04,1.62,2.34,3.34,4.78,6.2,8.2,9.19,11.42,12.8,14.18,15.55
1997,0.67,1.05,1.54,2.34,3.51,4.78,6.36,7.98,9.72,11.42,12.8,14.18,15.55
1998,0.68,1.01,1.61,2.51,3.52,5.04,6.71,8.19,7.7,11.42,12.8,14.18,15.55
1999,0.63,1.04,1.62,2.31,3.58,4.72,6.23,6.78,8.94,11.42,12.8,14.18,15.55
2000,0.57,1.05,1.56,2.5,3.27,4.44,5.47,8.08,8.4,11.42,12.8,14.18,15.55
2001,0.66,1.13,1.83,2.43,3.26,4.54,6.58,7.75,8.67,11.42,12.8,14.18,15.55
2002,0.72,1.12,1.61,2.21,3.32,5.04,6.22,8.01,8.53,11.42,12.8,14.18,15.55
2003,0.67,1.13,1.57,2.39,3.82,5.12,6.43,7.32,8.57,11.42,12.8,14.18,15.55
2004,0.72,1.08,1.6,2.51,3.79,5.35,6.25,7.47,10.35,11.42,12.8,14.18,15.55
2005,0.69,1.16,1.83,2.82,3.86,5.04,6.18,8.24,9.08,11.42,12.8,14.18,15.55
2006,0.72,1.21,1.87,2.42,3.4,4.62,6.28,7.31,8.67,11.42,12.8,14.18,0
2007,0.74,1.27,1.74,2.44,3.2,4.4,5.58,6.98,7.34,11.42,12.8,0,0
2008,0.77,1.17,1.74,2.37,3.12,4.22,5.49,6.62,8.54,11.42,0,0,0
2009,0.75,1.2,1.72,2.34,3.19,4.21,5.61,7.31,8.14,0,0,0,0
2010,0.78,1.31,1.73,2.36,3.28,4.46,5.98,7.15,0,0,0,0,0
2011,0.78,1.14,1.67,2.34,3.14,4.5,6.13,0,0,0,0,0,0
2012,0.67,1.17,1.73,2.18,3.25,4.67,0,0,0,0,0,0,0
2013,0.71,1.2,1.55,2.26,3.32,0,0,0,0,0,0,0,0
2014,0.79,1.09,1.66,2.32,0,0,0,0,0,0,0,0,0
2015,0.78,1.14,1.66,0,0,0,0,0,0,0,0,0,0
2016,0.78,1.15,0,0,0,0,0,0,0,0,0,0,0
2017,0.71,0,0,0,0,0,0,0,0,0,0,0,0
