Year,SSB
1976,7491
1977,17605
1978,32425
1979,49521
1980,38972
1981,25823
1982,27684
1983,20119
1984,18362
1985,12861
1986,11068
1987,8480
1988,9646
1989,13803
1990,11483
1991,6373
1992,3855
1993,2176
1994,1794
1995,1613
1996,1376
1997,1100
1998,907
1999,967
2000,1102
2001,1192
2002,1765
2003,3259
2004,3106
2005,3248
2006,3934
2007,10758
2008,13584
2009,15838
2010,16339
2011,15911
2012,23876
2013,30279
2014,40568
2015,47229
2016,45565
2017,40253
2018,32233
2019,26526
2020,24840
2021,24281
