Year,3,4,5,6,7,8,9,10+
1976,2508,924,556,287,38,31,11,7
1977,467,5437,1100,883,179,7,142,46
1978,97,1262,9904,132,68,7,3,0
1979,323,2297,2380,8281,170,96,4,14
1980,4343,4334,1646,806,6492,106,29,37
1981,87,15793,5225,725,499,2906,61,17
1982,3013,1587,6309,1545,798,152,610,154
1983,229,16877,1381,4352,368,139,65,75
1984,520,4451,9269,346,634,18,42,12
1985,5,2400,1028,2229,196,363,14,78
1986,286,178,896,460,721,16,102,38
1987,5503,1334,228,710,340,1084,46,265
1988,419,15588,150,51,39,90,161,12
1989,15,5962,23956,271,46,2,93,176
1990,212,2997,15403,6732,33,11,7,16
1991,124,6022,4910,5695,330,0,0,0
1992,8,2408,2344,452,139,46,13,5
1993,28,661,575,206,34,41,10,7
1994,22,1468,342,62,45,8,11,1
1995,1,834,773,37,5,0,0,0
1996,2,165,362,130,25,3,1,0
1997,1,397,311,179,31,0,0,0
1998,NA,NA,NA,NA,NA,NA,NA,NA
1999,87,465,105,1,0,0,0,0
2000,4,228,336,7,0,0,0,0
2001,NA,NA,NA,NA,NA,NA,NA,NA
2002,532,2243,657,29,9,1,0,0
2003,152,581,1547,258,51,16,15,11
2004,530,1669,1095,228,37,3,0,0
2005,1392,2408,944,186,36,10,4,0
2006,4256,3363,680,22,0,0,0,0
2007,1944,7910,1010,116,38,13,8,4
2008,1176,5012,2793,319,36,6,2,0
2009,487,3540,2372,194,13,3,0,4
2010,301,1091,2475,1524,141,32,21,27
2011,129,2929,2567,1480,255,90,12,7
2012,735,1725,2681,850,182,21,13,13
2013,143,3806,2477,1083,361,115,67,9
2014,40,1389,4024,2292,328,168,103,52
2015,20,2006,5680,3008,1337,133,9,8
2016,32,2146,9701,5732,1179,239,57,7
2017,44,1384,6351,5241,3370,498,168,48
