Year,F4_8
1976,0.6
1977,0.6
1978,0.54
1979,0.58
1980,0.66
1981,0.75
1982,0.81
1983,0.84
1984,0.78
1985,0.77
1986,0.77
1987,0.87
1988,0.86
1989,0.92
1990,1.07
1991,1.25
1992,1.33
1993,1.31
1994,1.15
1995,0.96
1996,0.83
1997,0.82
1998,0.87
1999,0.74
2000,0.67
2001,0.63
2002,0.63
2003,0.74
2004,0.8
2005,0.85
2006,0.84
2007,0.84
2008,0.8
2009,0.72
2010,0.73
2011,0.72
2012,0.65
2013,0.64
2014,0.64
2015,0.62
2016,0.63
2017,0.68
2018,0.72
2019,0.75
2020,0.76
2021,0.76
