Year,1,2,3,4,5,6,7,8,9,10+
1976,14541,12379,63236,3828,1977,404,65,291,66,30
1977,20562,11741,10135,49513,2369,974,145,19,178,54
1978,46657,16518,9480,7885,31534,1103,375,41,11,116
1979,14390,41383,13270,7731,4775,15179,517,143,21,64
1980,46041,10726,36705,10397,4532,2077,6742,212,69,44
1981,16387,41167,7995,29777,5389,1952,864,2270,100,51
1982,7435,13287,36808,6008,15070,1845,794,270,841,64
1983,2276,6184,10773,30557,2758,5692,538,234,107,266
1984,6857,1701,5143,8567,14611,944,1840,126,101,123
1985,43850,5447,1270,3936,3676,5626,309,590,56,95
1986,26331,39474,4327,995,1528,1407,2062,97,276,60
1987,11810,21812,35536,3215,436,483,468,798,47,123
1988,16956,9556,18878,29277,1191,155,95,164,364,46
1989,7785,14532,7949,15906,13523,406,43,25,78,127
1990,3412,6855,11986,6728,7931,3858,89,13,12,54
1991,10583,2582,5821,9447,3016,1938,428,28,6,21
1992,4105,8213,2148,4488,3316,507,239,85,12,9
1993,1869,3340,6161,1766,1367,322,69,66,25,7
1994,2474,1466,2771,4567,643,101,51,19,25,9
1995,1511,2015,1161,2260,1618,85,21,14,8,14
1996,2231,1161,1515,952,984,244,27,7,6,9
1997,2724,1841,872,1177,451,215,92,10,3,7
1998,2901,2123,1523,702,524,71,99,38,5,5
1999,4639,2336,1658,1240,311,43,38,43,20,5
2000,6213,3825,1881,1260,591,42,26,17,24,12
2001,7110,5119,3307,1656,625,103,24,12,10,18
2002,8178,5820,4217,2790,912,130,55,12,7,14
2003,8574,6251,4524,3161,1319,235,61,27,8,10
2004,20789,7316,4807,3393,1370,291,94,24,16,7
2005,32520,17012,6163,3462,1272,253,108,38,14,10
2006,24397,26396,14005,4704,1141,207,90,43,22,11
2007,13013,20420,21042,10121,1577,204,83,34,25,15
2008,20211,10312,16948,15745,3760,297,74,35,18,20
2009,18640,16986,8655,13039,6893,709,96,32,21,20
2010,37494,14827,14072,6945,6584,1542,230,47,19,21
2011,30791,31942,11545,10902,4074,1760,414,100,24,16
2012,23194,25050,26549,9622,6532,1346,473,165,45,16
2013,16654,20382,20299,20961,6584,2596,405,188,81,22
2014,16700,14063,17331,16561,13394,3111,889,140,77,35
2015,10313,14233,12096,15592,12289,6430,1241,321,46,30
2016,4151,9115,12444,10752,11945,6406,2500,445,122,24
2017,2429,3238,7968,10620,8060,6096,2584,846,175,51
