Year,Landings
1976,5174
1977,13999
1978,19679
1979,35590
1980,38571
1981,39703
1982,26664
1983,28742
1984,19958
1985,8441
1986,5302
1987,14604
1988,18791
1989,38529
1990,28799
1991,18312
1992,5727
1993,1926
1994,2117
1995,1701
1996,944
1997,1186
1998,322
1999,613
2000,764
2001,1680
2002,3622
2003,5215
2004,4948
2005,6043
2006,7388
2007,11050
2008,10005
2009,7534
2010,9268
2011,11007
2012,10672
2013,13202
2014,18331
2015,25272
2016,34204
2017,31220
2018,22288
2019,19753
2020,17926
2021,13580
