Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(2-4),	Low,	High,	Catch,	Low,	High
1963,	479465,	344109,	668062,	159498,	119122,	213559,	0.464,	0.395,	0.545,	117948,	104041,	133714
1964,	783233,	563101,	1089420,	169998,	129929,	222424,	0.507,	0.437,	0.588,	143932,	129655,	159780
1965,	1054213,	761051,	1460303,	205256,	162240,	259678,	0.562,	0.486,	0.651,	198750,	176339,	224009
1966,	1275599,	922153,	1764514,	227701,	181484,	285687,	0.566,	0.491,	0.652,	240637,	213914,	270699
1967,	1085312,	784458,	1501549,	256854,	205390,	321214,	0.606,	0.529,	0.695,	287876,	255439,	324431
1968,	532966,	384431,	738891,	266640,	220486,	322456,	0.644,	0.561,	0.739,	295188,	265941,	327652
1969,	463940,	332508,	647324,	265177,	217113,	323880,	0.601,	0.525,	0.687,	223983,	205451,	244187
1970,	1570473,	1133549,	2175810,	277327,	228763,	336201,	0.641,	0.565,	0.728,	250922,	219405,	286966
1971,	2074847,	1492173,	2885049,	278730,	230829,	336570,	0.741,	0.657,	0.835,	354630,	302596,	415611
1972,	511122,	367230,	711394,	245238,	203612,	295375,	0.809,	0.717,	0.913,	368310,	320041,	423861
1973,	739976,	532290,	1028696,	216394,	185766,	252071,	0.783,	0.694,	0.884,	259787,	234704,	287551
1974,	721361,	518116,	1004335,	233219,	200146,	271758,	0.741,	0.656,	0.837,	234125,	208109,	263393
1975,	1264361,	900949,	1774363,	209807,	178506,	246597,	0.805,	0.716,	0.905,	245621,	213076,	283138
1976,	869492,	614968,	1229357,	178486,	150124,	212207,	0.871,	0.774,	0.98,	249629,	215201,	289565
1977,	2135584,	1520443,	2999599,	151388,	127644,	179548,	0.818,	0.727,	0.921,	260621,	213538,	318085
1978,	1282175,	908657,	1809232,	149791,	130791,	171551,	0.916,	0.817,	1.027,	357359,	293047,	435784
1979,	1629723,	1159850,	2289948,	148542,	130950,	168497,	0.838,	0.747,	0.941,	332481,	283546,	389861
1980,	2630374,	1863911,	3712017,	161766,	143551,	182293,	0.924,	0.828,	1.033,	390392,	321973,	473351
1981,	1039205,	738081,	1463182,	169322,	151719,	188966,	0.933,	0.837,	1.039,	392205,	332803,	462210
1982,	1723161,	1239606,	2395345,	167621,	149621,	187788,	1.057,	0.952,	1.174,	386576,	325669,	458873
1983,	942220,	689747,	1287109,	137308,	122211,	154270,	1.047,	0.944,	1.162,	324572,	275296,	382667
1984,	1732111,	1270679,	2361106,	119888,	106411,	135073,	0.976,	0.879,	1.084,	278418,	235128,	329678
1985,	412664,	296846,	573671,	118995,	105660,	134014,	0.937,	0.843,	1.042,	241848,	208277,	280829
1986,	1895440,	1392797,	2579481,	109333,	97921,	122075,	1.001,	0.904,	1.11,	230925,	191901,	277886
1987,	713475,	525915,	967925,	112903,	101054,	126141,	0.979,	0.882,	1.085,	259765,	218034,	309484
1988,	484714,	356603,	658850,	111202,	100977,	122462,	0.998,	0.901,	1.106,	205985,	181519,	233748
1989,	858797,	628662,	1173177,	102981,	93162,	113835,	1.024,	0.924,	1.135,	181637,	155247,	212513
1990,	328336,	242585,	444401,	92510,	83454,	102549,	0.942,	0.846,	1.049,	139211,	120967,	160206
1991,	380072,	282671,	511034,	90146,	80822,	100546,	0.936,	0.842,	1.04,	118720,	104782,	134512
1992,	893680,	669464,	1192989,	86511,	78231,	95666,	0.923,	0.833,	1.023,	142041,	119286,	169136
1993,	420999,	320154,	553608,	90445,	82636,	98993,	0.991,	0.895,	1.098,	156183,	134257,	181691
1994,	1020533,	766138,	1359398,	90770,	83155,	99082,	0.969,	0.875,	1.073,	148877,	127584,	173722
1995,	603952,	458441,	795648,	99393,	91315,	108186,	0.902,	0.812,	1.002,	167634,	143141,	196320
1996,	409008,	311035,	537842,	109296,	100691,	118637,	0.926,	0.836,	1.026,	153031,	135300,	173086
1997,	1368567,	1019412,	1837311,	109139,	100826,	118138,	0.969,	0.877,	1.07,	175438,	146398,	210238
1998,	130219,	96827,	175126,	109602,	100465,	119570,	1.14,	1.038,	1.252,	177065,	151392,	207092
1999,	251769,	191436,	331117,	88873,	81722,	96650,	1.167,	1.065,	1.279,	107965,	98062,	118868
2000,	451610,	343480,	593780,	64359,	58916,	70304,	1.189,	1.08,	1.309,	90345,	77577,	105216
2001,	152126,	115592,	200205,	54376,	49360,	59901,	0.907,	0.815,	1.009,	60752,	52991,	69650
2002,	231596,	175186,	306170,	56541,	51746,	61780,	1.09,	0.979,	1.213,	62248,	55660,	69616
2003,	111520,	84423,	147316,	47587,	43086,	52557,	0.777,	0.689,	0.877,	39036,	34616,	44021
2004,	201492,	153752,	264055,	44255,	40045,	48909,	0.823,	0.736,	0.92,	35207,	31816,	38959
2005,	155116,	116389,	206730,	49932,	44698,	55778,	0.844,	0.755,	0.943,	40826,	35943,	46374
2006,	362635,	276916,	474889,	43930,	38947,	49550,	0.751,	0.667,	0.847,	32235,	28398,	36589
2007,	169311,	129821,	220814,	76458,	68281,	85613,	0.69,	0.611,	0.779,	53347,	46474,	61235
2008,	196164,	150251,	256108,	82722,	74186,	92240,	0.661,	0.582,	0.751,	52574,	47432,	58274
2009,	192102,	147087,	250895,	90525,	80689,	101558,	0.66,	0.578,	0.753,	55439,	49784,	61736
2010,	298143,	227157,	391312,	91504,	80060,	104583,	0.567,	0.492,	0.655,	49149,	44320,	54504
2011,	143299,	109415,	187676,	102329,	87504,	119666,	0.455,	0.39,	0.53,	44605,	40068,	49657
2012,	201081,	154153,	262296,	101412,	85888,	119742,	0.417,	0.357,	0.486,	40190,	36886,	43789
2013,	266281,	203882,	347778,	109703,	92968,	129450,	0.406,	0.35,	0.471,	41462,	37863,	45403
2014,	383084,	292145,	502329,	117743,	100090,	138509,	0.403,	0.349,	0.466,	45593,	41208,	50444
2015,	186083,	139809,	247672,	136766,	115817,	161504,	0.378,	0.326,	0.439,	51374,	46360,	56930
2016,	135717,	94146,	195645,	144243,	121802,	170819,	0.338,	0.285,	0.4,	50190,	46121,	54619
2017,	702424,	289710,	1703082,	173564,	140209,	214854,	0.337,	0.251,	0.452,	NA,	NA,	NA
