year,	fleet,	age,	logObs,	pred,	predSd
2014,	2,	1,	7.46463017123533,	3.77152196059816,	0.734612241372226
2014,	2,	2,	8.44807459774087,	6.67814497630666,	0.639564215142433
2014,	2,	3,	8.5085983614565,	7.47476600254459,	0.600152772197895
2014,	2,	4,	8.72162190757381,	8.07036510487416,	0.590986359433979
2014,	2,	5,	8.11339669040862,	7.56518486842104,	0.589002946274298
2014,	2,	6,	7.28097263954018,	6.931659551933,	0.589053013694408
2014,	2,	7,	7.67276720325346,	7.02730922870575,	0.586254106526507
2014,	2,	8,	6.80567825564737,	6.2227119214198,	0.586773396077835
2014,	3,	2,	8.12614269185408,	6.67561726035419,	0.53199513677621
2014,	3,	3,	8.35762285172825,	7.74820534257719,	0.483781379434682
2014,	3,	4,	8.06835909795871,	8.38576034031188,	0.472364078938688
2014,	3,	5,	7.46694240362601,	8.06653664564355,	0.469875454081041
2014,	3,	6,	6.92308714297912,	7.55718412165161,	0.469940604870297
2014,	3,	7,	7.44917800072551,	7.6419937993276,	0.468326913212032
2014,	3,	8,	6.26794031279896,	6.83739649204166,	0.468899421065638
2014,	4,	1,	4.31708803351497,	4.82491698972827,	0.898397068514697
2014,	4,	2,	6.12885411240328,	6.78128804742669,	0.822952646140305
2014,	4,	3,	6.76734312526539,	7.36094676689978,	0.792622834308201
2014,	4,	4,	6.88392354572879,	7.13285111304089,	0.780531808638974
2014,	4,	5,	6.07048365415802,	6.64695533842444,	0.77798895755103
2014,	5,	2,	6.22110693516202,	7.010063803767,	0.739785145472047
2014,	5,	3,	7.2021696386473,	7.44506895578824,	0.705945823005489
2014,	5,	4,	6.71418266575816,	7.60042576082866,	0.698146554883532
2014,	5,	5,	5.5307773844996,	6.21641980471576,	0.691826164041758
2014,	5,	6,	4.72233080576167,	5.75185138180636,	0.690917639296488
2015,	2,	1,	4.84268990324681,	3.29760704150343,	0.860697335003713
2015,	2,	2,	8.76509179239597,	6.38581904116539,	0.737428860212401
2015,	2,	3,	8.71858671648321,	7.13959194838956,	0.65316680100965
2015,	2,	4,	8.14987899365711,	7.58457312492828,	0.619559976497974
2015,	2,	5,	7.57084008052704,	7.68548810896672,	0.612221664751883
2015,	2,	6,	6.72713227882376,	7.07021345136983,	0.610304420281792
2015,	2,	7,	6.18918772107528,	6.3494774172479,	0.606879110465537
2015,	2,	8,	6.6052979209482,	6.79203830780504,	0.606972387470169
2015,	3,	2,	9.69151264903144,	6.38329132521292,	0.64633140176065
2015,	3,	3,	8.90097967364275,	7.41303128842216,	0.548230423872299
2015,	3,	4,	8.68884300720328,	7.899968360366,	0.507670926312696
2015,	3,	5,	7.94051262485422,	8.18683988618924,	0.49869357103824
2015,	3,	6,	6.78701036128056,	7.69573802108844,	0.496320956931775
2015,	3,	7,	6.45873005612159,	6.96416198786975,	0.49391288139136
2015,	3,	8,	7.29185373734841,	7.40672287842689,	0.493994089079727
2015,	4,	1,	5.53382417684564,	4.35100207063354,	1.0041846585913
2015,	4,	2,	7.86720128117022,	6.48896211228542,	0.901153096372828
2015,	4,	3,	8.00753688373365,	7.02577271274474,	0.833547969632381
2015,	4,	4,	7.01783762921225,	6.64705913309502,	0.802425263025523
2015,	4,	5,	6.17230584218829,	6.76725857897012,	0.795795945422228
2015,	5,	2,	7.85650158427579,	6.71773786862573,	0.825882018554524
2015,	5,	3,	6.64640350177639,	7.10989490163321,	0.751618678958474
2015,	5,	4,	5.51572449601031,	7.11463378088279,	0.722532821020313
2015,	5,	5,	4.52818114445996,	6.33672304526144,	0.711669980858552
2015,	5,	6,	2.90526037038992,	5.8904052812432,	0.709171306194697
2016,	2,	1,	7.04920275656612,	4.30821300957339,	1.02142634616111
2016,	2,	2,	7.41611386210434,	5.48144105273321,	0.870305587531079
2016,	2,	3,	9.45543326435472,	6.98050957597695,	0.753153185778019
2016,	2,	4,	8.64923146990042,	7.19972394352592,	0.680063872805323
2016,	2,	5,	7.89753064591867,	7.29891303610533,	0.652303634434569
2016,	2,	6,	7.0471432383909,	7.18654600039993,	0.646065789555965
2016,	2,	7,	6.09836637433463,	6.42647440028554,	0.641214218022232
2016,	2,	8,	6.50472221106526,	6.01863378980037,	0.639802436125393
2016,	3,	2,	7.6670365820305,	5.47891333678073,	0.794646860117204
2016,	3,	3,	9.67722664731933,	7.25394891600956,	0.66430437474735
2016,	3,	4,	8.8459241126549,	7.51511917896364,	0.579982721516668
2016,	3,	5,	8.45391467613778,	7.80026481332785,	0.547167604959095
2016,	3,	6,	8.06535319999812,	7.81207057011854,	0.539696913241247
2016,	3,	7,	6.96832342861581,	7.04115897090739,	0.535554388955458
2016,	3,	8,	6.31160775934014,	6.63331836042222,	0.533832626768588
2016,	4,	1,	5.04064706816423,	5.3616080387035,	1.14527204315524
2016,	4,	2,	6.95501093305962,	5.58458412385324,	1.0127455181729
2016,	4,	3,	7.94263583208477,	6.86669034033214,	0.914080473673974
2016,	4,	4,	6.83692500622113,	6.26220995169266,	0.850053486904861
2016,	4,	5,	5.86745906713686,	6.38068350610874,	0.826948308336546
2016,	5,	2,	7.09488193941916,	5.81335988019355,	0.94640901990048
2016,	5,	3,	8.23499737523426,	6.9508125292206,	0.840050909275556
2016,	5,	4,	6.77786297113498,	6.72978459948043,	0.775088166451082
2016,	5,	5,	5.89175470295897,	5.95014797240005,	0.746527243484599
2016,	5,	6,	5.27397344315852,	6.00673783027329,	0.740208654287788
