"","R","Low","High","SSB","Low","High","Catch","Low","High","Fbar","Low","High"
"1980",46615.7355835912,40619.5217419735,53864.0450508484,33538.8557920199,29544.7705745321,38076.1569121993,12643.7234999015,10790.7727215526,14536.7010214377,0.353572960155081,0.28990628939896,0.428253454170533
"1981",25647.4020383962,22207.9102651593,29364.7722695167,29395.8700938824,26032.7028637442,33276.5176549633,14233.5344999851,12882.8759837879,15539.2486199905,0.475670244371577,0.41828738688851,0.54661369105319
"1982",20653.9474684617,18041.0507119173,23650.1488522962,25803.3558386118,22628.7152736961,29527.9705759296,14561.3423448873,13108.4298600214,16387.7917123819,0.616865533607929,0.533328548884224,0.710871713900623
"1983",23726.3421374769,20923.5710287517,27158.713687696,20986.4299871917,18574.2002919603,24001.2158591621,13993.7722323949,12502.2392867442,15464.9572889276,0.720172322108625,0.636373839964341,0.813291423413849
"1984",14806.0864206899,13017.114996083,16875.2628431553,16260.4737933749,14511.4069935263,18368.5398601915,11271.0892735126,9758.56268059999,13229.1241501621,0.761120465976493,0.658920607628176,0.893668563984219
"1985",18177.6857541439,15676.9604963141,20906.730304488,10746.3238279541,9547.11307862632,12103.4281517057,6474.51629399843,5863.07528969148,7212.74830562786,0.723277853481278,0.619638748758164,0.857487771252927
"1986",25208.4997919934,22108.3644700458,29373.6652735437,8037.5919445283,7016.4005818447,9383.99540619868,4947.31165655919,4481.40232563104,5479.10432786034,0.643970174680916,0.529913811971457,0.793717824778474
"1987",41643.0733376774,35835.0580563598,47912.8938134054,8090.06050645473,7041.03289928693,9305.5899004145,4244.22847630568,3894.5765444721,4632.30813250865,0.56231663445683,0.468935342882445,0.680595625570762
"1988",49604.334439001,43545.7995579082,57028.1215901267,7828.82853115693,6821.97562203169,9059.70162522609,4142.03383777403,3756.5534094994,4663.87724839554,0.495169455817633,0.410027888033966,0.594414048927932
"1989",25601.0192472425,22427.5426026549,29471.1530258881,7074.86704079612,6259.78928085292,8086.46936882598,3237.61697454309,2877.73633102749,3654.91599086501,0.437248446294717,0.363871834595281,0.517041177841471
"1990",24445.7684628864,21706.9772953303,28254.7913754625,6983.86186194638,6261.8717504448,7812.05384652418,3823.35477253025,3332.95902061608,4344.50013910579,0.397593956501739,0.336043877820175,0.477523426136729
"1991",23922.8153037505,20999.3050504088,27476.3249092215,9681.72170993157,8755.46239406435,10640.7907686489,5421.73258336577,4762.70183480316,6054.50451273917,0.400890280365157,0.33888829162165,0.481438605358932
"1992",29410.6275454123,26054.2426790955,33154.5428088926,11388.6333668618,10294.4598046163,12490.3681029143,6578.80015737482,5848.53556647634,7397.16536790885,0.449629726171622,0.384728247046467,0.523993947220612
"1993",43215.2675216177,38202.950577533,49254.3037408125,10640.3305388206,9580.46256376362,11737.0530456268,6419.76402597773,5794.8579860341,7094.12523193528,0.551873907101268,0.470102394971857,0.638545242625565
"1994",39908.5444574454,34569.1019762891,44867.1196240616,9693.06166937985,8763.94586109226,10901.6544014411,5741.49703776332,5261.19782662783,6351.69331658268,0.681259354247088,0.577947453831892,0.80123206424797
"1995",26682.4921128963,23141.7753159268,30176.0683431581,9151.73274423137,8172.69374171339,10275.5438616755,5416.40900342132,4856.76762696724,5934.07368659226,0.712331794418469,0.58576328842628,0.879201316969959
"1996",27536.8174734595,23913.4798947375,31099.9132624793,9653.53531847549,8457.87120857245,10943.6833450808,5156.36671152398,4673.8130398035,5729.8987354479,0.586278048344606,0.466486668180678,0.744655817078576
"1997",24540.1254792624,21267.1731347519,28110.2927890744,11131.0674007767,9603.43911506343,12801.5244880815,4755.33877905168,4254.65503527881,5355.93046211147,0.469099026176658,0.356089678675379,0.628232424602866
"1998",27370.1167232313,23543.1980734228,31632.1743692171,12413.3588628778,10485.3971618567,14620.1847575436,3851.23650829881,3509.4452498772,4293.05542068473,0.437825845647183,0.321474049515256,0.58677578770156
"1999",29722.7160745164,25456.534662599,34491.2442902252,11655.0496023312,9794.28861315545,13748.0553944626,3820.50284594341,3424.9643157744,4281.74874076934,0.436304620541587,0.319615135473318,0.608562405446874
"2000",20097.4812321856,17076.6010458892,23347.8492348649,13099.0512839746,10954.6458190073,15666.8552558884,4818.51233274207,4404.0452295465,5269.35864357569,0.415295902719368,0.308051187763189,0.56497534850999
"2001",17642.2110899395,15223.3240991478,20570.9093546155,14280.5913320071,11917.0555033636,17124.5671503938,4363.25345378765,3887.33725266332,4838.29734056185,0.382548825709908,0.286380270523818,0.514130457582675
"2002",23813.8621635496,20063.675245421,27325.7424874546,13574.2404114791,11205.9332752084,16518.188197457,3702.98985012053,3379.68384821175,4023.29696534544,0.329532827678437,0.251349540932056,0.442824681322094
"2003",22925.8003053377,19562.4196756639,26849.1524593703,13927.8588036112,11337.3128424541,16928.3389065357,2846.99452792054,2522.3560647191,3186.45928860168,0.25480349241397,0.191901699940424,0.338033805018448
"2004",34761.70675458,29322.1684192445,39925.5034143525,13912.4008275374,11371.5080785523,16703.3694899759,2089.1315477241,1896.37735410047,2294.1764183779,0.155517266761175,0.1230531966634,0.20002927022713
"2005",44277.5492040881,37572.6429895954,51288.4986893437,15029.089669317,12281.075309682,18084.8708097168,1667.10397757505,1503.76754090865,1866.5059816717,0.0932680243334415,0.0764062990376992,0.116737026730579
"2006",39627.9803266092,34185.8579831372,47079.0060730472,17199.659752173,14451.2983103803,20435.9147091477,1384.86734362162,1243.98691002315,1538.38636947684,0.0680084588235817,0.0565308567051585,0.0837195745558987
"2007",23619.2583957335,20155.8767156528,27357.3697968186,20799.2211454221,17772.9995970576,24279.4798257172,1328.78221576215,1189.40995628511,1491.76053974747,0.0608979595176562,0.0500271009464816,0.0746918119048929
"2008",29928.0526478935,25767.3322594468,35253.8296490885,22828.9858502805,20022.6692037453,26209.7028520235,1317.46200872469,1181.02480102069,1474.40497363979,0.0676014782207084,0.0562598199759506,0.0827800574893141
"2009",16387.5982463364,14006.9767761782,19102.6617450737,24539.433819541,21503.2084429495,27869.6188246881,1595.17384239848,1437.44204089305,1764.3036467577,0.0839289238984917,0.0698595016590262,0.101674190602189
"2010",15114.2146536525,12801.7619131791,17965.2165257018,24650.9892830873,21644.6633625673,27826.1971980511,1885.95437779827,1697.37654554732,2101.0062022908,0.0929176330502179,0.0757067070944478,0.112390393480535
"2011",18946.8330533997,15609.7016491496,22786.2996335734,25141.9781735579,22294.0981245989,28467.0620190668,1775.45275555069,1614.22517625265,1950.59850504865,0.0842592201487333,0.0700542608517146,0.103632672254558
"2012",17795.7127453889,14539.9878372575,21789.394430461,24211.9859658713,21336.5616649267,27523.5774149998,1532.84877427824,1370.7481155248,1709.01892986914,0.0736800762745399,0.0604484173849018,0.0895496028598084
"2013",20992.0454273297,16642.3111104411,27253.2359592389,24686.4695224725,21769.6119876413,28051.766930611,1482.70729175759,1351.53061843017,1651.73603775097,0.0686301425181071,0.0582554655423302,0.082227679452948
"2014",34140.7460444096,25936.5126884547,44329.225094161,24828.9257173585,21816.6285275877,28154.8736859013,1441.30604182045,1273.87458018671,1686.54844365445,0.0661495687005896,0.0555008086536564,0.0811422145024235
"2015",16400.3706568885,11769.7810139573,22763.4060973387,25939.7527032871,22983.0510747847,29322.7223203122,1292.08743851643,1166.07066946403,1502.14785791162,0.0603480066875508,0.0510337772761634,0.0717331772419202
"2016",24826.3688681643,17331.8733945769,35495.9358634188,28811.6257208139,25669.9137111178,32443.5366683043,1143.16660547246,948.039851309619,1400.39119176537,0.0529960953392349,0.0430621043962937,0.0663224021034238
