"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",6018.6,4125.2,-0.0729,0.2029,-0.1206
"m2",183.9,-1709.5,-0.1426,0.7225,-0.334
"m3",5651.1,3757.7,0.0051,0.089,-0.0615
"m4",0,-1893.4,-0.1342,0.2822,-0.1517
