Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Bmanagement
Norway,cod.27.1-2coast,1984,79507,NA,0.714,NA,63818,2,4-7,2020,60000
Norway,cod.27.1-2coast,1985,87853,NA,0.508,NA,62954,2,4-7,2020,60000
Norway,cod.27.1-2coast,1986,42837,NA,0.546,NA,56107,2,4-7,2020,60000
Norway,cod.27.1-2coast,1987,32962,NA,0.44,NA,48274,2,4-7,2020,60000
Norway,cod.27.1-2coast,1988,47702,NA,0.555,NA,55065,2,4-7,2020,60000
Norway,cod.27.1-2coast,1989,56812,NA,0.399,NA,41242,2,4-7,2020,60000
Norway,cod.27.1-2coast,1990,53470,NA,0.214,NA,20920,2,4-7,2020,60000
Norway,cod.27.1-2coast,1991,64187,NA,0.192,NA,24837,2,4-7,2020,60000
Norway,cod.27.1-2coast,1992,49926,NA,0.239,NA,38195,2,4-7,2020,60000
Norway,cod.27.1-2coast,1993,25560,NA,0.249,NA,50420,2,4-7,2020,60000
Norway,cod.27.1-2coast,1994,22541,NA,0.277,NA,51664,2,4-7,2020,60000
Norway,cod.27.1-2coast,1995,31325,74992,0.386,NA,64964,2,4-7,2020,60000
Norway,cod.27.1-2coast,1996,46955,56237,0.303,NA,41672,2,4-7,2020,60000
Norway,cod.27.1-2coast,1997,43020,73660,0.44,NA,51123,2,4-7,2020,60000
Norway,cod.27.1-2coast,1998,42077,32691,0.356,NA,30472,2,4-7,2020,60000
Norway,cod.27.1-2coast,1999,41295,23771,0.377,NA,35805,2,4-7,2020,60000
Norway,cod.27.1-2coast,2000,39318,28579,0.304,NA,34815,2,4-7,2020,60000
Norway,cod.27.1-2coast,2001,39004,23230,0.26,NA,27253,2,4-7,2020,60000
Norway,cod.27.1-2coast,2002,35326,26885,0.278,NA,36405,2,4-7,2020,60000
Norway,cod.27.1-2coast,2003,34517,15521,0.247,NA,35381,2,4-7,2020,60000
Norway,cod.27.1-2coast,2004,32693,13959,0.266,NA,33650,2,4-7,2020,60000
Norway,cod.27.1-2coast,2005,31751,12709,0.233,NA,29255,2,4-7,2020,60000
Norway,cod.27.1-2coast,2006,30008,21546,0.28,NA,39343,2,4-7,2020,60000
Norway,cod.27.1-2coast,2007,41115,24689,0.222,NA,29227,2,4-7,2020,60000
Norway,cod.27.1-2coast,2008,38660,15493,0.252,NA,35552,2,4-7,2020,60000
Norway,cod.27.1-2coast,2009,34312,13508,0.236,NA,29987,2,4-7,2020,60000
Norway,cod.27.1-2coast,2010,34960,12901,0.271,NA,40397,2,4-7,2020,60000
Norway,cod.27.1-2coast,2011,38841,16725,0.255,NA,36714,2,4-7,2020,60000
Norway,cod.27.1-2coast,2012,29454,14143,0.186,NA,35540,2,4-7,2020,60000
Norway,cod.27.1-2coast,2013,35154,22856,0.175,NA,30144,2,4-7,2020,60000
Norway,cod.27.1-2coast,2014,36413,37659,0.188,NA,33660,2,4-7,2020,60000
Norway,cod.27.1-2coast,2015,39835,16763,0.192,NA,35843,2,4-7,2020,60000
Norway,cod.27.1-2coast,2016,45555,20597,0.274,NA,54767,2,4-7,2020,60000
Norway,cod.27.1-2coast,2017,42589,14078,0.284,NA,51053,2,4-7,2020,60000
Norway,cod.27.1-2coast,2018,50960,18423,0.208,NA,36375,2,4-7,2020,60000
Norway,cod.27.1-2coast,2019,22606,34311,0.2,NA,40107,2,4-7,2020,60000
