Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa,MSYBtrigger,FMSY
Greenland,cod.21.1,1976,14554,7491,0.595,5174,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1977,21442,17605,0.603,13999,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1978,39305,32425,0.543,19679,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1979,17135,49521,0.584,35590,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1980,36164,38972,0.656,38571,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1981,15837,25823,0.752,39703,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1982,8185,27684,0.81,26664,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1983,3044,20119,0.836,28742,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1984,8117,18362,0.779,19958,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1985,35014,12861,0.769,8441,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1986,24564,11068,0.768,5302,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1987,12732,8480,0.874,14604,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1988,16954,9646,0.856,18791,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1989,8581,13803,0.916,38529,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1990,4462,11483,1.072,28799,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1991,12937,6373,1.25,18312,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1992,4620,3855,1.333,5727,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1993,2209,2176,1.313,1926,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1994,2782,1794,1.147,2117,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1995,1859,1613,0.963,1701,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1996,2488,1376,0.828,944,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1997,3304,1100,0.815,1186,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1998,3101,907,0.872,322,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,1999,4477,967,0.736,613,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2000,6382,1102,0.668,764,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2001,7812,1192,0.632,1680,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2002,9932,1765,0.631,3622,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2003,10254,3259,0.741,5215,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2004,24124,3106,0.804,4948,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2005,37563,3248,0.854,6043,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2006,27236,3934,0.836,7388,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2007,15189,10758,0.836,11050,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2008,22106,13584,0.798,10005,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2009,21517,15838,0.716,7534,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2010,39687,16339,0.729,9268,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2011,34967,15911,0.718,11007,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2012,24730,23876,0.654,10672,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2013,18950,30279,0.643,13202,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2014,19494,40568,0.644,18331,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2015,15474,47229,0.623,25272,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2016,10375,45565,0.633,34204,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2017,11606,40253,0.677,31220,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2018,13572,32233,0.723,22288,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2019,9732,26526,0.754,19753,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2020,15978,24840,0.764,17926,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2021,9146,24281,0.755,13580,NA,1,4-8,2022,4346,5983,5983,0.27
Greenland,cod.21.1,2022,12732,22418,NA,NA,NA,1,4-8,2022,4346,5983,5983,0.27
