Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa,MSYBtrigger,FMSY,Fpa,Flim
S Celtic,cod.27.7e-k,1980,17604,10233,0.911,3737,7243,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1981,8089,13040,0.892,5278,10597,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1982,3859,13171,0.845,5569,8766,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1983,8506,10530,0.848,6414,9641,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1984,9577,8521,0.776,2458,6631,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1985,8171,9876,0.778,3493,8317,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1986,9009,10863,0.816,5500,10475,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1987,28569,10461,0.832,4679,10228,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1988,14447,16248,0.801,3074,17191,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1989,4847,21857,0.838,12606,19809,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1990,6483,17287,0.901,10171,12749,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1991,16803,10991,0.957,5960,9336,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1992,19154,10495,0.959,3316,9747,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1993,10496,13569,0.947,5122,10425,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1994,21155,13527,0.969,7487,10620,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1995,16925,14153,0.95,4238,11709,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1996,12348,15901,0.96,7444,12681,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1997,12865,14433,0.941,6909,12035,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1998,7965,12881,0.961,5960,11431,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,1999,4381,10622,0.97,5458,8594,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2000,16714,7481,0.959,3760,6535,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2001,15061,8822,0.976,2394,8309,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2002,5492,11536,0.993,4770,9235,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2003,3392,9182,0.971,5370,6221,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2004,4634,5434,0.95,4569,4027,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2005,7958,4197,0.973,4904,3478,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2006,8455,5533,0.914,6020,3902,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2007,6255,6756,0.901,6089,4842,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2008,2202,6797,0.878,4883,4577,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2009,5374,5420,0.878,5416,4187,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2010,24734,5401,0.86,6871,3831,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2011,9310,9158,0.858,10125,6376,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2012,1776,14082,0.908,11783,9443,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2013,2335,10276,0.952,7835,7273,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2014,12097,6352,0.909,6081,4512,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2015,1102,6542,0.932,5511,5028,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2016,2322,5842,0.978,4448,3924,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2017,661,3205,1.107,2605,2471,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2018,1502,1669,1.151,1812,1496,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2019,3497,1090,1.146,1351,1050,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2020,1108,1320,1.062,1153,922,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2021,432,1174,1.127,1360,627,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2022,998,839,1.093,648,573,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
S Celtic,cod.27.7e-k,2023,1108,645,NA,NA,NA,1,2-5,2023,4200,5800,5800,0.29,0.77,1.13
