Mean Weight in Catch (kilograms)
1 3
1981 2016 
1 7 
1
0.129 0.274 0.477 0.798 1.063 1.242 1.196
0.092 0.263 0.44 0.697 1.052 1.257 1.84
0.197 0.237 0.354 0.517 0.768 1.047 1.552
0.148 0.261 0.37 0.546 0.695 0.915 1.284
0.111 0.282 0.364 0.482 0.522 0.467 0.613
0.129 0.292 0.398 0.48 0.685 0.879 0.961
0.046 0.287 0.384 0.551 0.475 0.564 0.853
0.039 0.279 0.351 0.508 0.634 0.517 0.827
0.118 0.258 0.378 0.508 0.66 0.716 1.073
0.082 0.295 0.394 0.525 0.672 0.808 0.99
0.093 0.317 0.42 0.534 0.603 0.823 1.168
0.079 0.287 0.427 0.599 0.802 0.945 1.395
0.169 0.334 0.46 0.592 0.689 0.878 1.167
0.311 0.43 0.473 0.564 0.75 0.985 1.281
0.267 0.42 0.47 0.559 0.789 1.089 1.741
0.136 0.38 0.464 0.607 0.824 0.851 1.085
0.245 0.443 0.515 0.644 0.771 0.957 1.477
0.196 0.362 0.465 0.568 0.665 1.09 1.116
0.136 0.359 0.439 0.524 0.684 0.903 1.147
0.106 0.407 0.492 0.622 0.729 0.975 1.079
0.089 0.436 0.519 0.64 0.783 1.051 1.234
0.135 0.372 0.499 0.617 0.747 0.927 1.143
0.167 0.426 0.517 0.672 0.854 1 1.135
0.094 0.384 0.549 0.619 0.786 0.945 1.251
0.129 0.342 0.488 0.675 0.834 1.013 1.318
0.118 0.379 0.468 0.652 0.872 1.065 1.289
0.065 0.388 0.472 0.631 0.856 1.107 1.641
0.11 0.355 0.479 0.598 0.755 0.937 1.275
0.126 0.326 0.434 0.594 0.757 1.006 0.941
0.127 0.329 0.505 0.615 0.766 0.899 1.075
0.099 0.306 0.456 0.604 0.781 1.033 1.259
0.093 0.312 0.496 0.65 0.801 0.942 1.211
0.119 0.379 0.537 0.691 0.846 0.949 1.184
0.119 0.42 0.556 0.706 0.792 0.879 1.038
0.131 0.43 0.644 0.787 0.939 0.973 1.06
0.115 0.377 0.471 0.759 0.881 0.882 1.067
