Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(5-7),	Low,	High,	Catch,	Low,	High
1931,	67578,	33338,	136984,	87084,	68146,	111284,	1.023,	0.723,	1.447,	58595,	43789,	78407
1932,	29714,	15177,	58175,	90764,	66252,	124346,	0.799,	0.571,	1.117,	44671,	33165,	60169
1933,	35575,	18423,	68693,	77162,	57363,	103793,	0.821,	0.589,	1.144,	40621,	30088,	54841
1934,	50636,	26560,	96536,	63615,	48104,	84129,	0.587,	0.413,	0.834,	27831,	20976,	36927
1935,	75516,	39802,	143277,	66446,	51309,	86047,	0.604,	0.424,	0.86,	38261,	28907,	50642
1936,	61134,	32285,	115761,	73025,	56199,	94891,	0.596,	0.419,	0.848,	42538,	31807,	56889
1937,	101373,	53493,	192108,	72676,	56180,	94015,	0.7,	0.498,	0.985,	48117,	36214,	63932
1938,	82929,	43681,	157442,	78723,	60298,	102777,	0.625,	0.438,	0.892,	49490,	36646,	66836
1939,	57338,	30095,	109242,	93728,	70099,	125322,	0.614,	0.43,	0.876,	52442,	38181,	72028
1940,	166958,	87010,	320365,	94238,	71310,	124538,	0.607,	0.428,	0.86,	50142,	37056,	67848
1941,	118799,	61669,	228852,	103614,	79167,	135611,	0.783,	0.563,	1.09,	60585,	45368,	80906
1942,	62418,	32177,	121082,	110034,	81690,	148213,	0.779,	0.56,	1.085,	57467,	42343,	77993
1943,	11098,	5685,	21665,	109526,	79970,	150006,	0.765,	0.547,	1.07,	47057,	34489,	64205
1944,	49400,	25567,	95450,	97221,	71854,	131544,	0.707,	0.502,	0.995,	45988,	33492,	63146
1945,	55892,	29209,	106948,	85500,	65376,	111818,	0.667,	0.473,	0.942,	43128,	32229,	57713
1946,	91093,	47819,	173526,	85946,	66851,	110495,	0.628,	0.442,	0.892,	46573,	35016,	61946
1947,	46986,	24745,	89219,	80737,	63158,	103209,	0.74,	0.526,	1.04,	52461,	39832,	69092
1948,	30986,	16349,	58729,	75318,	57460,	98725,	0.667,	0.473,	0.942,	47940,	35042,	65585
1949,	118765,	62459,	225830,	63295,	48637,	82369,	0.677,	0.479,	0.957,	40203,	29804,	54230
1950,	41689,	21833,	79604,	63674,	48572,	83472,	0.627,	0.441,	0.892,	38612,	28290,	52699
1951,	142529,	73734,	275511,	70992,	52301,	96361,	0.712,	0.499,	1.017,	44915,	31828,	63382
1952,	27084,	12062,	60815,	76691,	56998,	103188,	0.537,	0.371,	0.777,	41298,	30036,	56783
1953,	250626,	127738,	491738,	79678,	58600,	108340,	0.534,	0.369,	0.772,	35514,	25420,	49618
1954,	49875,	25564,	97302,	96311,	69952,	132604,	0.5,	0.341,	0.733,	43305,	30961,	60569
1955,	76712,	39314,	149686,	114957,	81184,	162780,	0.479,	0.324,	0.707,	43975,	31086,	62207
1956,	47586,	24361,	92951,	114267,	84005,	155430,	0.577,	0.389,	0.856,	49397,	36987,	65970
1957,	38928,	19847,	76353,	107618,	78990,	146620,	0.565,	0.367,	0.869,	47340,	35560,	63022
1958,	68064,	34714,	133453,	101258,	74284,	138026,	0.431,	0.271,	0.683,	38146,	28990,	50193
1959,	92850,	47224,	182559,	107063,	78901,	145276,	0.372,	0.232,	0.595,	36290,	27815,	47347
1960,	117941,	60300,	230681,	127183,	94421,	171314,	0.305,	0.192,	0.485,	40764,	31249,	53177
1961,	33760,	17343,	65717,	160779,	118871,	217462,	0.305,	0.196,	0.476,	47484,	35843,	62905
1962,	25258,	13152,	48507,	170617,	126291,	230502,	0.358,	0.234,	0.548,	54541,	40936,	72668
1963,	195938,	105158,	365084,	154190,	116669,	203778,	0.39,	0.261,	0.584,	57281,	43438,	75534
1964,	486717,	275731,	859149,	156066,	123176,	197739,	0.483,	0.33,	0.709,	73727,	57040,	95297
1965,	56635,	31527,	101736,	218903,	168687,	284069,	0.661,	0.459,	0.953,	179944,	127311,	254335
1966,	2651,	1489,	4720,	208570,	151510,	287119,	0.633,	0.438,	0.914,	133322,	90757,	195849
1967,	21998,	12195,	39681,	120803,	87531,	166722,	0.543,	0.369,	0.8,	57426,	40082,	82273
1968,	238,	132,	429,	79434,	57475,	109782,	0.551,	0.367,	0.827,	42031,	29482,	59921
1969,	448,	248,	810,	53089,	37271,	75621,	0.436,	0.282,	0.674,	21713,	15332,	30750
1970,	3736,	2094,	6664,	34330,	22715,	51884,	0.371,	0.237,	0.58,	13366,	9412,	18980
1971,	53,	29,	98,	24379,	15294,	38859,	0.517,	0.323,	0.827,	11549,	8206,	16252
1972,	10162,	5659,	18246,	16101,	9577,	27068,	0.427,	0.26,	0.703,	6037,	4112,	8862
