Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(5-8),	Low,	High,	Catch,	Low,	High
1989,	9448,	6177,	14453,	11195,	8645,	14497,	0.638,	0.459,	0.889,	6302,	4189,	9480
1990,	8077,	5604,	11641,	12227,	9586,	15595,	0.638,	0.477,	0.854,	7038,	5076,	9758
1991,	6419,	4535,	9086,	12547,	9823,	16027,	0.639,	0.479,	0.852,	7106,	5192,	9725
1992,	5213,	3674,	7395,	12581,	9774,	16195,	0.754,	0.572,	0.992,	8260,	5935,	11496
1993,	4652,	3293,	6572,	11013,	8585,	14128,	0.812,	0.605,	1.091,	7974,	5631,	11292
1994,	3663,	2596,	5169,	9095,	7145,	11578,	0.667,	0.499,	0.891,	5551,	4085,	7543
1995,	3045,	2134,	4345,	8116,	6383,	10319,	0.54,	0.396,	0.737,	4000,	2961,	5404
1996,	3000,	2087,	4313,	8378,	6490,	10814,	0.425,	0.302,	0.599,	3320,	2432,	4534
1997,	3142,	2160,	4570,	8150,	6249,	10630,	0.347,	0.237,	0.508,	2713,	1970,	3737
1998,	3481,	2405,	5038,	8868,	6740,	11667,	0.351,	0.247,	0.499,	3044,	2260,	4099
1999,	3943,	2675,	5810,	8897,	6724,	11772,	0.398,	0.284,	0.557,	3205,	2340,	4389
2000,	2826,	1994,	4004,	8976,	6775,	11892,	0.337,	0.24,	0.474,	2840,	2111,	3819
2001,	2336,	1624,	3360,	10413,	7883,	13756,	0.335,	0.237,	0.474,	3411,	2516,	4624
2002,	2363,	1597,	3495,	12091,	9194,	15901,	0.316,	0.22,	0.452,	3714,	2737,	5038
2003,	2512,	1617,	3903,	12657,	9452,	16949,	0.357,	0.246,	0.517,	4233,	3023,	5927
2004,	2483,	1612,	3823,	12113,	8719,	16827,	0.3,	0.205,	0.437,	3487,	2582,	4709
2005,	2862,	1897,	4316,	10791,	7495,	15538,	0.248,	0.164,	0.375,	2463,	1833,	3309
2006,	3114,	2023,	4793,	10596,	7318,	15342,	0.205,	0.131,	0.321,	2005,	1474,	2728
2007,	3060,	2017,	4642,	11320,	7850,	16324,	0.179,	0.111,	0.287,	1895,	1372,	2618
2008,	3146,	2017,	4907,	11362,	8033,	16070,	0.184,	0.117,	0.289,	1912,	1400,	2610
2009,	2753,	1769,	4285,	10471,	7477,	14665,	0.185,	0.118,	0.292,	1820,	1340,	2472
2010,	2239,	1484,	3377,	12831,	9070,	18150,	0.171,	0.107,	0.273,	2145,	1584,	2905
2011,	1869,	1258,	2776,	14625,	10196,	20978,	0.163,	0.102,	0.262,	2268,	1678,	3066
2012,	1559,	1030,	2358,	14504,	9995,	21048,	0.145,	0.089,	0.238,	1995,	1466,	2716
2013,	1448,	937,	2237,	13660,	9365,	19925,	0.135,	0.082,	0.223,	1719,	1250,	2363
2014,	1469,	927,	2329,	12280,	8251,	18275,	0.134,	0.082,	0.22,	1459,	1060,	2008
2015,	1751,	1053,	2912,	10721,	7098,	16193,	0.142,	0.086,	0.233,	1404,	1009,	1954
2016,	1812,	983,	3341,	11355,	7221,	17855,	0.141,	0.083,	0.24,	1495,	1032,	2165
