"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1963,0.47734,0.37061720798638,0.614794647118419,158200,107468.882710879,232878.944757713,454380,356023.1857369,579909.378577872,129288.7
1964,0.43193,0.338631809862514,0.550933253954333,173170,131902.231112963,227349.064886688,496790,386860.749518231,637956.433697002,132522.3
1965,0.5679,0.448172659115584,0.71961196971818,248020,196672.035373318,312774.107835086,1045500,852712.914681805,1281873.68946779,205568
1966,0.61959,0.495266488098181,0.775121631132647,257100,200204.351889401,330164.701097585,1333900,1105160.71368365,1609982.32019069,250449.2
1967,0.58046,0.468752816902767,0.718787811935197,254020,197678.346640612,326419.972124268,1130100,927219.727480591,1377371.48180633,271716.6
1968,0.64914,0.530507845492043,0.794300674684971,263230,214015.922954476,323761.110591472,517850,400251.881154712,669999.655532769,298315.1
1969,0.5134,0.407787057142427,0.646365683715019,272960,224295.532204953,332182.994763882,304810,220768.239150434,420844.66704783,205789.9
1970,0.56555,0.4432333077973,0.721621766399994,331910,265882.795247771,414333.872176047,1328900,1070578.88560615,1649551.68997203,240884
1971,0.88991,0.717934287387241,1.10308119003772,326170,250510.89811864,424679.603558069,2101300,1727736.39702137,2555633.89045475,392465.1
1972,1.0299,0.852551977885081,1.24413999089094,210530,159589.791879528,277730.050136657,419910,307762.916320527,572922.853110616,372488.4
1973,1.0366,0.841376759165312,1.27712056257175,162210,128389.975746726,204938.773038681,764360,603257.016559075,968486.388989704,259083.1
1974,1.0827,0.854070071535474,1.37253292097276,151500,115981.899693909,197895.103120176,867740,683371.67476058,1101849.4552965,243390.9
1975,1.1188,0.877250156976969,1.42686032033718,108520,77719.5630287456,151526.719156209,1450700,1162295.94932076,1810666.63032756,236239
1976,1.5164,1.17086939194268,1.96389877113858,92407,65549.4849923763,130268.813706059,1136800,876853.422574631,1473808.74240701,292056.8
1977,1.5077,1.1974480183237,1.89833650832057,68623,46994.4409631767,100205.812272347,2969200,2477934.00546497,3557862.56637844,329948
1978,1.2144,0.966699297543578,1.5255699096373,69344,50866.6686750051,94533.2269884395,634090,459299.540629234,875398.49822007,323049.8
1979,1.5759,1.20459254725398,2.06166044747775,94720,70342.1559311792,127546.252758841,2214300,1761893.89139219,2782871.60989343,396411.9
1980,1.9247,1.56492958619959,2.36718004609796,84108,57210.4434568251,123651.474041425,3659400,3046968.77153794,4394927.99699449,521513.3
1981,1.3238,1.08628126537807,1.61325293536207,66067,50010.3373012973,87278.9252090642,1120000,882608.071536222,1421242.38430842,379431.4
1982,1.3262,1.09148434562808,1.61138952385791,80292,62937.2241419535,102432.310161303,1850300,1555416.27434362,2201089.28167461,350501.3
1983,1.1131,0.899468268795431,1.37747117156146,86090,67082.6806423098,110482.885135713,771880,616218.313172802,966863.077035694,283339.2
1984,1.4763,1.21440026371357,1.79468150256763,95805,73549.1274383828,124795.471335667,2144100,1830709.1554922,2511138.80990234,340122.7
1985,1.1094,0.892417024611796,1.3791403862285,80140,61111.2987237693,105093.816268415,453140,344623.362708609,595826.870198637,242869.2
1986,1.6808,1.38734536029529,2.03632687350372,81592,62381.9889801902,106717.573017976,2313800,2004409.32621391,2670946.6823887,306096.6
1987,1.1384,0.948171579357479,1.36679329797904,70974,55944.0951357096,90041.8295046235,649630,533869.09555628,790491.789865201,242736.9
1988,1.0684,0.88195248561831,1.29426310216672,87138,72247.3848306472,105097.659407307,395670,317020.729873864,493831.267634423,186483.9
1989,1.2876,1.06481217738495,1.55700112678242,91283,73434.8240934179,113469.136637407,1009900,861591.648483969,1183737.1123485,192367.6
1990,1.272,1.05373879534504,1.53546970762351,75300,59821.3390405576,94783.7358865504,323500,262046.748698392,399364.809980724,156124.4
1991,1.1808,0.948654623008381,1.46975369769287,67818,54482.3803627349,84417.7712753871,392280,324353.911517383,474431.147384985,121155.8
1992,1.1601,0.93984544511612,1.43197162575355,66972,51869.9646056151,86471.0207169575,950940,828682.450465257,1091234.50495699,146624.6
1993,1.0849,0.877442101965929,1.34140817652001,71408,57213.160576299,89124.6421738908,384120,314750.777629602,468777.791467871,151761.8
1994,1.482,1.22422066960072,1.7940589099156,86303,69199.7621851122,107633.430720119,1177400,1026175.083912,1350910.56266464,196281.5
1995,1.1419,0.946004174644567,1.37836136980042,75574,60596.4241916054,94253.5727511,610910,522870.908571483,713772.791681291,179214.6
1996,0.9649,0.785320798226156,1.18554355379734,93100,77640.7079611652,111637.441589732,350170,289156.463960327,424057.713324451,147945
1997,0.85086,0.693527758800266,1.04388430082796,107420,87764.8692320053,131476.939474457,1403000,1232765.0653876,1596743.00908349,157064
1998,1.2184,1.03602289553628,1.43288200134957,116390,96818.5219035049,139917.774343853,133060,102940.916058856,171991.510060754,194801.7
1999,1.3106,1.10153677000452,1.55934182750245,90217,76152.8489191773,106878.563369812,257700,217063.532163172,305944.021725761,115204.9
2000,1.0672,0.881817427957408,1.29155514950313,68026,56306.5392924845,82184.7112990242,449420,391149.284374202,516371.483903247,86484.22
2001,0.87427,0.720936878413495,1.06021491726437,63021,52759.2269697265,75278.707993181,147650,121997.077251493,178697.08841515,64750.35
2002,1.1602,0.974422413225836,1.38139683748021,59925,50524.5074097406,71074.530145893,235400,203742.199545049,271976.841929341,65576.14
2003,0.69264,0.560341523373293,0.856174582086782,49829,42687.057612899,58165.8558787551,109100,90440.2765197005,131609.615295761,37556.32
2004,0.82746,0.669112805505502,1.02328044832848,48959,41400.2124486015,57897.8594367327,208270,179497.307453925,241654.838812189,38341.97
2005,0.71415,0.574585241959645,0.887614552647734,54946,46784.4675662649,64531.3086383603,170970,143962.075008158,203044.731734685,40797.81
2006,0.78123,0.626518765072979,0.974145304057905,51134,42584.1771431743,61400.4104672268,341920,299059.489213365,390923.179557063,37875.96
