Year,R(age 3),Low,High,SSB,Low,High,Fbar(6-11),Low,High,Catch,Low,High
1987,147117,90905,238087,261588,215851,317017,0.413,0.325,0.524,74760,60959,91685
1988,123808,79318,193254,257800,212369,312951,0.587,0.47,0.735,94752,76907,116738
1989,322573,214528,485035,262815,214089,322631,0.511,0.407,0.641,86163,68856,107821
1990,226326,149654,342280,265012,218836,320932,0.538,0.43,0.673,93299,74581,116715
1991,800678,536006,1196041,250409,211326,296721,0.585,0.469,0.73,97873,79922,119855
1992,976579,653557,1459255,289369,241666,346489,0.539,0.428,0.678,103130,84569,125763
1993,703972,468120,1058652,385998,313745,474891,0.365,0.288,0.462,92467,74730,114415
1994,910836,572306,1449613,420929,343484,515835,0.48,0.383,0.6,129875,105523,159847
1995,228873,151849,344968,403973,335411,486550,0.469,0.375,0.588,122457,100219,149629
1996,227378,151254,341812,308447,257643,369270,0.453,0.357,0.573,95654,78277,116888
1997,672341,446120,1013274,248580,209124,295481,0.372,0.292,0.475,69257,57085,84025
1998,475713,315091,718215,294976,242206,359244,0.355,0.28,0.45,74209,60564,90928
1999,782258,521147,1174192,319570,262789,388619,0.41,0.324,0.519,90674,73959,111167
2000,660298,436484,998878,373318,306091,455309,0.378,0.3,0.477,95641,78118,117095
2001,535641,356144,805604,323078,268934,388123,0.411,0.326,0.52,91349,75286,110839
2002,1414848,940418,2128622,326056,272778,389740,0.454,0.352,0.585,104439,85871,127022
2003,1701695,1110302,2608089,439202,346436,556808,0.379,0.295,0.489,110382,87923,138579
2004,819893,540474,1243768,586791,463285,743222,0.305,0.237,0.394,115356,91603,145269
2005,803689,532897,1212084,600659,481712,748978,0.253,0.194,0.33,103600,83040,129251
2006,1041396,660845,1641090,659531,536573,810665,0.216,0.166,0.281,101281,82183,124817
2007,782486,514044,1191115,582979,483856,702407,0.404,0.312,0.523,161324,131798,197465
2008,483045,318792,731927,527584,436438,637765,0.421,0.32,0.553,151990,124462,185606
2009,539990,351859,828709,447974,364342,550803,0.139,0.105,0.184,47671,39032,58221
2010,420523,277990,636137,415584,341998,505005,0.133,0.102,0.173,43623,36096,52719
2011,508018,335189,769961,401046,334634,480639,0.155,0.12,0.201,50530,41972,60833
2012,378174,249448,573330,404570,340113,481243,0.373,0.289,0.481,111392,92438,134233
2013,479310,311960,736434,342500,284003,413046,0.293,0.225,0.381,76933,64014,92460
2014,134379,85788,210492,371483,303233,455094,0.318,0.24,0.42,85450,70669,103324
2015,158193,100749,248389,313709,249514,394421,0.28,0.206,0.383,65455,53942,79427
2016,185276,106331,322832,280106,212804,368694,0.28,0.194,0.405,59893,49133,73009
