"log.L.","X.par","AIC","M"
-1696.29977114711,23,3438.59954229423,0.2
-1706.18507512446,23,3458.37015024891,0.04
-1703.45705651086,23,3452.91411302172,0.08
-1700.88486522727,23,3447.76973045454,0.12
-1698.4919182753,23,3442.98383655061,0.16
-1694.32573428169,23,3434.65146856337,0.24
-1692.58039284054,23,3431.16078568108,0.28
-1691.06581569656,23,3428.13163139311,0.32
-1689.77526791029,23,3425.55053582059,0.36
-1688.69512514605,23,3423.3902502921,0.4
