year,fleet,age,logObs,pred,predSd
2014,2,3,11.4105493803534,11.9693704658948,0.545812760997026
2014,2,4,12.707102446506,13.090348733501,0.495398347620608
2014,2,5,12.4719652933103,12.4359872490199,0.481043154326628
2014,2,6,12.4648883134778,12.5643819838658,0.475259954065782
2014,2,7,12.1436917949464,11.6966372842775,0.472830061383129
2014,2,8,11.6258522838254,11.4799593724076,0.473234092659807
2014,2,9,11.4255030944434,11.3941431875798,0.471266625498238
2014,2,10,10.5415183505374,11.177594470353,0.476511564318642
2015,2,3,12.0089683606365,12.0494193375024,0.608269603686201
2015,2,4,12.0697201344332,12.1324126754889,0.547055197741521
2015,2,5,12.6518796329217,12.6920260924124,0.517675543794923
2015,2,6,12.3275643511162,12.2091555467305,0.504406483271379
2015,2,7,12.2793556346218,12.2304837495713,0.498626169066311
2015,2,8,11.4483122743783,11.3969766202532,0.498011873897016
2015,2,9,11.0469616646162,11.1106057692349,0.494900583354254
2015,2,10,11.2297532079963,10.9829333062675,0.499061373413222
2016,2,3,11.8293188933037,12.3916904102582,0.70569932874329
2016,2,4,11.9312212402262,12.0487119029014,0.624571498654774
2016,2,5,12.4779606456832,11.8915647045706,0.584250230036713
2016,2,6,11.8262825940854,12.3814517349546,0.560001754496236
2016,2,7,12.3941360198282,11.8522688465711,0.545298760721127
2016,2,8,11.0222292124994,11.9743775139969,0.539336450748303
2016,2,9,10.9307649435996,11.0463870118164,0.532022016911721
2016,2,10,11.0477899671214,10.8513636142786,0.531027419934709
