Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(4-6),	Low,	High,	Catch,	Low,	High
1982,	21609,	12426,	37577,	14808,	10922,	20076,	0.504,	0.322,	0.788,	7002,	4391,	11165
1983,	14920,	9122,	24404,	13395,	9959,	18018,	0.639,	0.455,	0.898,	8160,	5509,	12087
1984,	16669,	10356,	26829,	9324,	6905,	12591,	0.828,	0.587,	1.168,	7116,	4830,	10485
1985,	20949,	12810,	34259,	7858,	5927,	10418,	0.824,	0.587,	1.158,	5987,	4210,	8513
1986,	21302,	13270,	34194,	7795,	5879,	10335,	0.736,	0.53,	1.023,	4837,	3331,	7023
1987,	18664,	11722,	29716,	8101,	6080,	10794,	0.8,	0.59,	1.087,	5484,	3788,	7937
1988,	18353,	11591,	29061,	7045,	5267,	9424,	0.876,	0.643,	1.195,	5376,	3684,	7846
1989,	9874,	6227,	15658,	5748,	4320,	7647,	0.801,	0.584,	1.099,	4479,	3139,	6391
1990,	9143,	5732,	14583,	6469,	4664,	8973,	0.737,	0.528,	1.028,	4351,	2942,	6436
1991,	8176,	5108,	13087,	4671,	3487,	6257,	0.741,	0.533,	1.029,	3218,	2240,	4623
1992,	9548,	5956,	15305,	3707,	2798,	4912,	0.79,	0.576,	1.082,	2598,	1814,	3721
1993,	15347,	9108,	25860,	3538,	2666,	4696,	0.768,	0.555,	1.063,	2509,	1750,	3597
1994,	14122,	8831,	22583,	3337,	2476,	4498,	0.633,	0.447,	0.896,	2270,	1580,	3262
1995,	26914,	15640,	46312,	4666,	3407,	6392,	0.572,	0.394,	0.831,	2524,	1695,	3759
1996,	13118,	8160,	21087,	6672,	4935,	9020,	0.494,	0.323,	0.753,	3334,	2255,	4927
1997,	6665,	3495,	12713,	8973,	6528,	12334,	0.34,	0.214,	0.539,	2623,	1712,	4019
1998,	8728,	4473,	17029,	8488,	6222,	11581,	0.234,	0.136,	0.403,	1769,	1111,	2819
1999,	16493,	10106,	26918,	9729,	7219,	13111,	0.255,	0.162,	0.403,	2322,	1593,	3384
2000,	9184,	5674,	14865,	11132,	8353,	14836,	0.31,	0.208,	0.46,	2914,	2039,	4164
2001,	7893,	4879,	12768,	12262,	8965,	16772,	0.332,	0.222,	0.497,	3454,	2395,	4983
2002,	4310,	2560,	7254,	11911,	8201,	17298,	0.33,	0.197,	0.552,	3698,	2499,	5470
2003,	4211,	2478,	7157,	10949,	7456,	16078,	0.377,	0.198,	0.72,	3723,	2378,	5831
2004,	6597,	3989,	10910,	7305,	4892,	10910,	0.342,	0.181,	0.647,	2452,	1604,	3748
2005,	5738,	3489,	9438,	6421,	4361,	9452,	0.313,	0.168,	0.584,	1787,	1207,	2644
2006,	8491,	5248,	13738,	6310,	4460,	8926,	0.237,	0.135,	0.414,	1309,	898,	1909
2007,	16364,	9904,	27038,	6143,	4390,	8597,	0.217,	0.127,	0.37,	1233,	847,	1796
2008,	22182,	13339,	36888,	6070,	4304,	8560,	0.228,	0.131,	0.396,	1340,	932,	1926
2009,	10394,	6465,	16712,	7573,	5388,	10644,	0.244,	0.141,	0.423,	1916,	1304,	2815
2010,	5501,	3320,	9114,	9335,	6730,	12948,	0.24,	0.139,	0.411,	2257,	1507,	3381
2011,	7520,	4704,	12020,	8733,	6255,	12192,	0.239,	0.143,	0.399,	2207,	1485,	3278
2012,	5975,	3711,	9621,	8099,	5652,	11605,	0.23,	0.136,	0.39,	1808,	1239,	2639
2013,	5144,	3026,	8743,	8100,	5547,	11827,	0.232,	0.132,	0.406,	1705,	1164,	2497
2014,	3154,	1809,	5499,	6807,	4664,	9936,	0.215,	0.119,	0.389,	1242,	831,	1856
2015,	2443,	1225,	4875,	6496,	4414,	9562,	0.193,	0.103,	0.358,	1182,	781,	1790
2016,	2536,	1153,	5575,	5294,	3436,	8157,	0.155,	0.075,	0.317,	724,	442,	1187
