catch,celtic,faroe_plateau,georges_bank,greenland,gulf_of_maine,iceland,nafo_2j3kl,nafo_3m,nafo_3no,nafo_3ps,ne_arctic,north_sea,norway,w_baltic
2008,3639,7315,5160,10005,7375,147663,3385,401,923,11773,464171,26679,38577,21205
2009,3263,9979,4643,7534,8355,183315,3116,1172,1083,9762,523431,33315,37521,16364
2010,3229,12762,3950,9268,7670,170018,2962,5245,946,8299,609983,36746,35625,15491
2011,4737,9692,4472,11007,6830,172197,3770,9977,867,6876,719829,31950,41294,17112
2012,7693,7205,NA,10672,NA,196192,3871,9068,734,5087,727663,32074,44607,17977
2013,6290,4473,NA,13202,NA,223593,4506,13521,1113,4366,966209,30386,35164,15218
2014,3845,5711,NA,18331,NA,222016,4870,14356,734,6745,986449,34673,35869,15673
2015,4157,7281,NA,25272,NA,230231,4436,12828,586,6008,864384,37205,52155,14780
2016,3299,5933,NA,34204,NA,251132,NA,12107,666,4751,849422,38230,57310,11078
2017,2237,5366,NA,31220,NA,243990,NA,13920,649,NA,868276,37994,65586,6272
