"Year","SSB","SSB_5","SSB_95","Recr","Recr_5","Recr_95","Freport","Freport_5","Freport_95"
1973,20575.23,15712.274,25438.186,35846.43,18450.842,53242.018,0.5431706,0.3398794,0.7464618
1974,8553.006,6444.634,10661.378,14705.82,7513.012,21898.628,1.339866,0.99618,1.683552
1975,2732.54,1859.0464,3606.0336,39330.1,28763.544,49896.656,1.025149,0.6631958,1.3871022
1976,3413.072,2461.8056,4364.3384,19542.99,11183.198,27902.782,0.4536244,0.250294,0.6569548
1977,3798.188,2608.37,4988.006,66100.96,48810.624,83391.296,0.6759544,0.3854236,0.9664852
1978,5277.677,3927.2958,6628.0582,55868.81,39860.118,71877.502,1.035182,0.6108812,1.4594828
1979,6577.023,5009.9442,8144.1018,48044.31,32559.526,63529.094,0.9622986,0.5860178,1.3385794
1980,7048.015,5251.8318,8844.1982,68332.34,46125.54,90539.14,0.7309396,0.4270024,1.0348768
1981,8937.559,6537.343,11337.775,175973,132623.68,219322.32,0.5163166,0.2823122,0.750321
1982,16608.81,12992.61,20225.01,75436.1,49417.1,101455.1,0.6769811,0.3970539,0.9569083
1983,15546.8,12183.832,18909.768,17747.33,8824.822,26669.838,1.016448,0.6731932,1.3597028
1984,5108.118,3781.9036,6434.3324,22508.8,14624.504,30393.096,1.423626,1.0059304,1.8413216
1985,2172.797,1525.8206,2819.7734,29661.44,21342.612,37980.268,1.401615,0.8705726,1.9326574
1986,2317.457,1767.8926,2867.0214,7065.191,3578.351,10552.031,0.9192324,0.5634728,1.274992
1987,1446.944,940.774,1953.114,14344.1,8315.924,20372.276,0.9555292,0.5495936,1.3614648
1988,1887.336,1199.6308,2575.0412,148531.3,118696.18,178366.42,0.3313848,0.1254476,0.537322
1989,8612.089,6829.7042,10394.4738,41483.2,27034.668,55931.732,0.9776934,0.5011194,1.4542674
1990,9245.89,7374.3644,11117.4156,10116.31,5976.594,14256.026,1.634678,1.068336,2.20102
1991,3747.737,2979.613,4515.861,3002.889,1647.9998,4357.7782,1.420065,1.0094842,1.8306458
1992,1498.416,1173.154,1823.678,2630.332,1605.8008,3654.8632,1.153407,0.835691,1.471123
1993,851.6641,638.9453,1064.3829,3629.681,2480.7682,4778.5938,0.644091,0.3996006,0.8885814
1994,537.6734,402.8254,672.5214,7980.738,5991.534,9969.942,1.031681,0.654577,1.408785
1995,796.0659,618.4801,973.6517,6583.312,4642.6768,8523.9472,0.4781647,0.2586055,0.6977239
1996,1458.932,1135.6104,1782.2536,5449.693,3615.2114,7284.1746,0.5572528,0.3051184,0.8093872
1997,1350.497,1016.1406,1684.8534,12539.37,9422.382,15656.358,0.8620473,0.5136573,1.2104373
1998,1547.842,1202.1764,1893.5076,7297.247,5094.207,9500.287,0.8888348,0.5044788,1.2731908
1999,1815.495,1407.6778,2223.3122,10878.44,8016.252,13740.628,1.013376,0.5830188,1.4437332
2000,1830.077,1402.6402,2257.5138,5461.005,3954.1766,6967.8334,0.9189192,0.5353864,1.302452
2001,1546.58,1222.5332,1870.6268,4485.854,3314.0092,5657.6988,1.247798,0.7972136,1.6983824
2002,1180.826,934.552,1427.1,1828.867,1196.277,2461.457,0.753317,0.4875214,1.0191126
2003,950.3996,743.306,1157.4932,1921.284,1291.5948,2550.9732,0.5875686,0.3768098,0.7983274
2004,641.5179,494.74526,788.29054,2722.105,1902.5114,3541.6986,0.682793,0.4513562,0.9142298
2005,597.6023,454.60854,740.59606,8466.164,6723.234,10209.094,0.5047738,0.291957,0.7175906
2006,936.2205,753.80918,1118.63182,6526.106,5022.2764,8029.9356,0.5138243,0.2808979,0.7467507
2007,1515.856,1238.9864,1792.7256,2964.222,1998.8632,3929.5808,0.3878167,0.21645978,0.55917362
2008,1667.818,1354.0612,1981.5748,4893.464,3642.004,6144.924,0.3233774,0.19225732,0.45449748
2009,1683.514,1372.9324,1994.0956,4644.173,3356.649,5931.697,0.225051,0.13214504,0.31795696
2010,1946.067,1605.7718,2286.3622,3771.116,2579.3968,4962.8352,0.1359258,0.07557936,0.19627224
2011,2120.255,1740.1718,2500.3382,7914.43,6132.692,9696.168,0.1915093,0.0976155,0.2854031
2012,2038.921,1655.8782,2421.9638,2024.445,1348.0294,2700.8606,0.352637,0.18200332,0.52327068
2013,1685.726,1349.782,2021.67,1491.771,993.539,1990.003,0.5077081,0.2872865,0.7281297
2014,1002.572,787.2464,1217.8976,411.132,171.032,651.232,0.6450603,0.4295387,0.8605819
2015,520.0421,364.8101,675.2741,334.1736,54.8736,613.4736,0.5309957,0.3028125,0.7591789
2016,271.7178,133.63188,409.80372,1452.449,29.4302000000002,2875.4678,0.3912958,0.1321054,0.6504862
