"","Z.pred","low.80%","high.80%"
"1966",NA,NA,NA
"1967",NA,NA,NA
"1968",NA,NA,NA
"1969",0.364692824427811,NA,NA
"1970",1.17650641119896,-0.232541333455028,2.58555415585295
"1971",1.51763918511659,0.99208109131379,2.04319727891938
"1972",1.56431048088487,1.07506990236318,2.05355105940656
"1973",1.0405293203833,0.586332975870951,1.49472566489564
"1974",0.974957985802817,0.608886169070686,1.34102980253495
"1975",1.39249911865989,1.09864110094747,1.6863571363723
"1976",1.24086310710968,0.902468092867463,1.5792581213519
"1977",0.959607495859149,0.759571557679259,1.15964343403904
"1978",0.701690104156847,0.546643793280447,0.856736415033247
"1979",1.18602255142583,0.600910592809662,1.77113451004199
"1980",1.80059210000285,1.05339470119941,2.54778949880629
"1981",1.6453526322166,0.974454293759081,2.31625097067411
"1982",1.54681006600443,1.17750901491862,1.91611111709024
"1983",1.47894835012432,1.13148732164583,1.82640937860281
"1984",1.18876153584469,0.536232933003472,1.8412901386859
"1985",1.06237075792222,0.458086076387343,1.6666554394571
"1986",1.07914089352091,0.185819290672038,1.97246249636978
"1987",1.85688232597957,0.390699047886971,3.32306560407217
"1988",1.25104044908686,0.661071727811545,1.84100917036218
"1989",0.821633241029622,0.640867489184889,1.00239899287435
"1990",0.845102369086593,0.180701960107927,1.50950277806526
"1991",1.23702121818117,0.683922174762132,1.79012026160022
"1992",0.625459678911603,0.129204709603543,1.12171464821966
"1993",0.95966206805972,-0.219267767500261,2.1385919036197
"1994",1.25989514396811,0.618642600634041,1.90114768730217
"1995",1.40436161355795,0.482853249326038,2.32586997778986
"1996",1.37041013565095,0.957062369604017,1.78375790169788
"1997",1.66641344450168,0.225513671155823,3.10731321784753
"1998",1.60246677429233,1.58678758033869,1.61814596824596
"1999",0.945621878799341,0.649496708575874,1.24174704902281
"2000",0.947401986735895,-0.10943181400418,2.00423578747597
"2001",0.900005301574239,0.618325040639468,1.18168556250901
"2002",0.808140557066101,-0.0336552505053099,1.64993636463751
"2003",0.787811383488718,0.372815957122714,1.20280680985472
"2004",0.710124489470746,0.062667598035265,1.35758138090623
"2005",0.744554334313553,0.176435463089188,1.31267320553792
"2006",0.31655525078916,0.0741764983090975,0.558934003269222
"2007",0.0742168779160633,NA,NA
"2008",0.567761512792343,NA,NA
"2009",0.923982978461606,NA,NA
"2010",0.806836034591693,-0.274447874404123,1.88811994358751
"2011",0.977753403787631,0.36192931279711,1.59357749477815
"2012",0.589465261692774,NA,NA
"2013",NA,NA,NA
"2014",NA,NA,NA
"2015",NA,NA,NA
"2016",NA,NA,NA
"2017",NA,NA,NA
"2018",NA,NA,NA
"2019",NA,NA,NA
"2020",NA,NA,NA
"2021",NA,NA,NA
