Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(7-8),	Low,	High,	Catch,	Low,	High
1965,	7736451,	3462957,	17283693,	115225,	57979,	228991,	0.325,	0.107,	0.99,	111703,	62083,	200982
1966,	5296315,	2483860,	11293291,	367315,	206112,	654597,	0.505,	0.182,	1.402,	195027,	125811,	302323
1967,	12549523,	6054635,	26011561,	511242,	287116,	910324,	0.474,	0.173,	1.298,	169529,	122259,	235075
1968,	6699163,	3275386,	13701833,	493926,	294825,	827485,	0.264,	0.111,	0.628,	310194,	214289,	449024
1969,	8131514,	3939637,	16783658,	500281,	318614,	785530,	0.364,	0.183,	0.725,	335346,	235879,	476758
1970,	4276639,	2079619,	8794706,	525695,	334710,	825655,	0.543,	0.296,	0.995,	323119,	243882,	428099
1971,	7801447,	3791988,	16050309,	423847,	274061,	655498,	0.747,	0.412,	1.355,	316039,	238120,	419456
1972,	2125792,	1040750,	4342054,	307831,	200320,	473041,	0.824,	0.445,	1.525,	269270,	203265,	356708
1973,	2387324,	1185190,	4808779,	421302,	257057,	690490,	0.787,	0.418,	1.482,	259581,	183668,	366872
1974,	1935828,	965819,	3880054,	320071,	188530,	543390,	0.667,	0.359,	1.237,	219141,	144996,	331201
1975,	1741107,	877582,	3454325,	218179,	131856,	361014,	0.807,	0.44,	1.48,	211871,	143574,	312656
1976,	2402651,	1214286,	4754012,	132239,	84649,	206586,	0.734,	0.4,	1.348,	137804,	98686,	192429
1977,	7010058,	3517192,	13971631,	74099,	47320,	116032,	0.776,	0.437,	1.38,	105684,	77977,	143236
1978,	4646658,	2341168,	9222505,	45247,	29695,	68943,	0.836,	0.476,	1.468,	126531,	85599,	187035
1979,	607946,	294897,	1253312,	62581,	39539,	99053,	0.78,	0.435,	1.396,	114486,	78287,	167423
1980,	4045216,	2007623,	8150822,	56811,	33350,	96775,	0.79,	0.432,	1.447,	102373,	69626,	150522
1981,	2097015,	1051075,	4183783,	52020,	30957,	87412,	0.638,	0.343,	1.185,	96971,	63878,	147208
1982,	2043629,	1005931,	4151794,	56150,	35507,	88794,	0.701,	0.376,	1.306,	64914,	45776,	92054
1983,	1890144,	911148,	3921036,	60180,	36895,	98159,	0.666,	0.35,	1.265,	48917,	35022,	68326
1984,	2557869,	1220562,	5360397,	80188,	48487,	132616,	0.701,	0.37,	1.331,	46697,	33526,	65042
1985,	3057131,	1449192,	6449145,	101005,	61068,	167061,	0.633,	0.33,	1.214,	49283,	35143,	69112
1986,	3273322,	1566433,	6840149,	121746,	72454,	204571,	0.62,	0.324,	1.187,	65100,	46404,	91327
1987,	5988569,	2776233,	12917851,	159298,	92851,	273295,	0.549,	0.289,	1.041,	63342,	45185,	88795
1988,	8074802,	3688719,	17676171,	207021,	120031,	357056,	0.54,	0.293,	0.993,	66945,	49347,	90817
1989,	7609072,	3490064,	16589375,	234323,	136118,	403381,	0.589,	0.327,	1.061,	66540,	49858,	88804
1990,	7605833,	3443109,	16801297,	208677,	119436,	364597,	0.67,	0.367,	1.222,	77230,	58472,	102004
1991,	6044738,	2679773,	13635055,	323565,	179084,	584610,	0.742,	0.406,	1.356,	93119,	70434,	123111
1992,	2794743,	1233305,	6333053,	524808,	287682,	957390,	0.682,	0.355,	1.311,	105553,	79685,	139819
1993,	4113915,	1824106,	9278131,	672544,	354761,	1274987,	0.531,	0.252,	1.118,	95482,	71881,	126833
1994,	4402295,	1948936,	9943988,	550229,	284902,	1062652,	0.389,	0.173,	0.877,	86702,	65306,	115108
1995,	30924600,	13038095,	73348972,	555536,	279248,	1105183,	0.386,	0.161,	0.926,	118545,	89576,	156884
1996,	11620489,	5037889,	26804036,	612601,	301490,	1244748,	0.279,	0.106,	0.729,	152308,	113594,	204216
1997,	12017018,	5099542,	28317981,	1244999,	650695,	2382103,	0.196,	0.073,	0.527,	151236,	110097,	207747
1998,	2286427,	1001278,	5221077,	1058502,	538311,	2081375,	0.138,	0.051,	0.374,	119660,	88315,	162131
1999,	4615171,	2044462,	10418292,	973221,	484190,	1956171,	0.114,	0.042,	0.31,	123591,	91046,	167768
2000,	3100431,	1378723,	6972157,	875932,	439023,	1747645,	0.107,	0.04,	0.283,	121947,	91485,	162553
2001,	3139859,	1417356,	6955706,	943971,	488257,	1825025,	0.11,	0.043,	0.286,	129758,	96034,	175323
2002,	12323842,	5329705,	28496339,	678370,	340874,	1350015,	0.102,	0.04,	0.263,	110993,	82312,	149667
2003,	10191783,	4586764,	22646129,	563244,	279447,	1135255,	0.093,	0.036,	0.242,	109166,	82009,	145316
2004,	4422058,	1994865,	9802467,	507582,	258202,	997821,	0.071,	0.027,	0.188,	109898,	80509,	150015
2005,	1717247,	775945,	3800445,	535124,	277824,	1030719,	0.069,	0.026,	0.182,	101230,	72945,	140482
2006,	16009492,	6650205,	38540744,	546785,	276424,	1081579,	0.077,	0.029,	0.203,	118518,	86338,	162692
2007,	2274169,	1011723,	5111914,	534372,	268170,	1064823,	0.079,	0.029,	0.211,	108120,	80109,	145925
2008,	8153751,	3597854,	18478695,	583420,	294250,	1156768,	0.101,	0.038,	0.273,	100343,	73894,	136258
2009,	13155156,	5785227,	29913802,	472262,	226291,	985592,	0.126,	0.046,	0.347,	95307,	70686,	128503
2010,	5160480,	2001036,	13308380,	401578,	202086,	798000,	0.104,	0.037,	0.291,	80243,	58479,	110107
2011,	5700088,	2395441,	13563683,	660513,	335859,	1298990,	0.065,	0.023,	0.187,	82388,	54375,	124833
2012,	13873147,	5733353,	33569223,	759694,	382843,	1507497,	0.097,	0.036,	0.26,	80705,	53758,	121161
2013,	11212777,	4057197,	30988484,	701095,	352487,	1394474,	0.089,	0.034,	0.238,	92829,	64944,	132687
2014,	12926108,	3320533,	50318509,	1117644,	542262,	2303553,	0.07,	0.025,	0.195,	94165,	64429,	137624
