"log.L.","X.par","AIC","M"
-900.901290614503,23,1847.80258122901,0.35
-903.258213789006,23,1852.51642757801,0.07
-902.039772091928,23,1850.07954418386,0.14
-901.083522959605,23,1848.16704591921,0.21
-900.622654410478,23,1847.24530882096,0.28
-902.10798239226,23,1850.21596478452,0.42
-904.303904388436,23,1854.60780877687,0.49
-907.318304428625,23,1860.63660885725,0.56
-910.617284842928,23,1867.23456968586,0.63
-912.798972568164,23,1871.59794513633,0.7
