"","year","fleet","age","logObs","pred","predSd"
"1",2014,"NEFSC_Spring",1,4.48528018223252,4.09992889242697,1.00024657116352
"2",2014,"NEFSC_Spring",2,8.2890848358325,6.38203917260809,0.957940531844025
"3",2014,"NEFSC_Spring",3,7.74185499722511,7.64103825144381,0.965675726170327
"4",2014,"NEFSC_Spring",4,6.73025766822866,7.15175593992529,0.968294861133582
"5",2014,"NEFSC_Spring",5,5.10848769426376,5.01027047554194,0.971000970506199
"6",2014,"NEFSC_Spring",6,3.14315177833868,3.72712425048922,1.02360269897941
"7",2015,"NEFSC_Spring",1,3.81981999337453,4.03552865057891,0.999558248965902
"8",2015,"NEFSC_Spring",2,7.27969117987892,6.40839156127946,0.959307511530579
"9",2015,"NEFSC_Spring",3,7.99554926021437,7.68463538939858,0.965662073135149
"10",2015,"NEFSC_Spring",4,6.51783226438377,7.27587456163521,0.967319787975344
"11",2015,"NEFSC_Spring",5,5.031189273044,5.16120480316125,0.969517315401282
"12",2015,"NEFSC_Spring",6,3.48909836283662,3.73637025969674,1.02297359998748
"13",2016,"NEFSC_Spring",1,4.39107928550515,4.06147291668633,0.99761274322917
"14",2016,"NEFSC_Spring",2,7.67425050016382,6.37515575765946,0.959103051033752
"15",2016,"NEFSC_Spring",3,8.22669114657721,7.70728073956659,0.965897808520603
"16",2016,"NEFSC_Spring",4,7.06486158663503,7.3404337454666,0.967139684837136
"17",2016,"NEFSC_Spring",5,5.43342501622643,5.29419230210055,0.965581465203834
"18",2016,"NEFSC_Spring",6,4.43162480565121,3.78780974647821,1.02235938861385
"19",2014,"NEFSC_Fall",1,7.37647683672532,6.49731773880518,1.02726915956949
"20",2014,"NEFSC_Fall",2,7.73409066828575,7.42188467258635,0.98340243503623
"21",2014,"NEFSC_Fall",3,6.16901222706298,7.31436326623121,0.999294441057242
"22",2014,"NEFSC_Fall",4,4.78826644262462,5.71051491638015,0.987893057142668
"23",2014,"NEFSC_Fall",5,NA,3.10724058960991,1.03939106598584
"24",2015,"NEFSC_Fall",1,6.51553457525523,6.46621119873461,1.02786279281731
"25",2015,"NEFSC_Fall",2,7.58724461434344,7.44032549401038,0.982892027067934
"26",2015,"NEFSC_Fall",3,5.99784166996719,7.3596499784269,0.995950486858848
"27",2015,"NEFSC_Fall",4,3.61530287920522,5.83503583491093,0.988622849947266
"28",2015,"NEFSC_Fall",5,2.03355465890736,3.25613432536113,1.03461728073226
"29",2016,"NEFSC_Fall",1,6.77379407971826,6.44518394184239,1.02750009884163
"30",2016,"NEFSC_Fall",2,7.6420683949079,7.41697978558399,0.985020759511996
"31",2016,"NEFSC_Fall",3,6.88743317678223,7.38117784304354,0.996969730915551
"32",2016,"NEFSC_Fall",4,4.775554105209,5.90383174842424,0.985128744876814
"33",2016,"NEFSC_Fall",5,2.8205511629883,3.40937140939468,1.03493696693503
"34",2014,"MADMF_Spring",1,3.61971692537887,5.10968082499948,0.972109581630393
"35",2014,"MADMF_Spring",2,7.57758777217656,7.08626969938119,0.962710462729905
"36",2014,"MADMF_Spring",3,7.58834393029469,8.11765031056321,0.96439261149449
"37",2014,"MADMF_Spring",4,6.26015300242659,7.50541261887204,0.969271591870821
"38",2014,"MADMF_Spring",5,4.44195689783207,5.38669437014245,0.98087416630603
"39",2014,"MADMF_Spring",6,3.07421992660273,4.18604978879826,1.0078166456799
"40",2015,"MADMF_Spring",1,3.92487999893065,5.07846680296242,0.972117125017025
"41",2015,"MADMF_Spring",2,7.98499070189066,7.11393223902194,0.963638849814654
"42",2015,"MADMF_Spring",3,8.92619470572898,8.15513450391964,0.964422405658196
"43",2015,"MADMF_Spring",4,7.33717777011605,7.62609340116377,0.968182034900472
"44",2015,"MADMF_Spring",5,5.79622491004576,5.52767705823949,0.978263372459194
"45",2015,"MADMF_Spring",6,4.08844385390113,4.19722756581956,1.00676588778912
"46",2016,"MADMF_Spring",1,5.6073449930192,5.07373705829107,0.973361115631205
"47",2016,"MADMF_Spring",2,8.84483656810063,7.07971928250477,0.964468223229817
"48",2016,"MADMF_Spring",3,9.05077472430426,8.20099797056482,0.965214981585098
"49",2016,"MADMF_Spring",4,7.7584573385029,7.68545205702951,0.967558633781606
"50",2016,"MADMF_Spring",5,6.32834741369488,5.66608755747701,0.977538101711759
"51",2016,"MADMF_Spring",6,4.66117237610338,4.24736753054865,1.00534272162204
"52",2014,"MADMF_Fall",1,7.38800622467942,6.63174747788845,0.958467346827981
"53",2014,"MADMF_Fall",2,7.33836818062295,7.25393962760898,0.951864985358997
"54",2014,"MADMF_Fall",3,6.14181587567507,6.9464498719433,0.956774134780053
"55",2014,"MADMF_Fall",4,4.26380600328645,5.32558445549939,0.959531551814762
"56",2014,"MADMF_Fall",5,3.00280718722595,2.85947041669917,0.987828697792145
"57",2015,"MADMF_Fall",1,8.76059573646386,6.60920432290135,0.960615995725389
"58",2015,"MADMF_Fall",2,7.50145222151129,7.28318725949215,0.953107559338161
"59",2015,"MADMF_Fall",3,5.67730502018278,7.0087243638472,0.95583680667893
"60",2015,"MADMF_Fall",4,3.23380384545244,5.46172725915834,0.960482288688265
"61",2015,"MADMF_Fall",5,NA,3.0175168074801,0.983595462325397
"62",2016,"MADMF_Fall",1,8.3042301424835,6.60123411616324,0.961021807234924
"63",2016,"MADMF_Fall",2,8.02953706967689,7.25272634501654,0.953771914981221
"64",2016,"MADMF_Fall",3,6.43714346482945,7.03226335060103,0.957813130624663
"65",2016,"MADMF_Fall",4,4.0029965227628,5.53043456243529,0.959690828911734
"66",2016,"MADMF_Fall",5,2.14943391349987,3.1594191209211,0.984667122220978
