Year,SSB
1972,36704
1973,20227
1974,15092
1975,7720
1976,8560
1977,20930
1978,28432
1979,24169
1980,11559
1981,13207
1982,13153
1983,12091
1984,19436
1985,20762
1986,15475
1987,12493
1988,19149
1989,33526
1990,25280
1991,17588
1992,20858
1993,10365
1994,21502
1995,19264
1996,3455
1997,3203
1998,3159
1999,2265
2000,2049
2001,1697
2002,1912
2003,2199
2004,3253
2005,3551
2006,3848
2007,5426
2008,9715
2009,18671
2010,31991
2011,31862
2012,28897
2013,34988
2014,31264
2015,42514
