Year,SSB
1994,31039
1995,30516
1996,32991
1997,34996
1998,27228
1999,31793
2000,36171
2001,29525
2002,22652
2003,17532
2004,19561
2005,26609
2006,30122
2007,31163
2008,21256
2009,14109
2010,13216
2011,13068
2012,15373
2013,12331
2014,14962
2015,16362
2016,13019
2017,11533
2018,25317
