Year,F3_5
1994,1.151
1995,1.315
1996,1.172
1997,1.163
1998,1.169
1999,1.339
2000,1.297
2001,1.36
2002,1.306
2003,1.178
2004,1.137
2005,1.049
2006,0.883
2007,0.937
2008,0.997
2009,1.025
2010,1.016
2011,0.959
2012,0.926
2013,1.138
2014,0.959
2015,0.857
2016,0.758
2017,0.601
