Year,Landings
1983,232340
1984,232471
1985,231293
1986,266680
1987,239905
1988,268677
1989,250938
1990,219452
1991,150026
1992,28902
1993,4075
1994,1314
1995,387
1996,1878
1997,881
1998,4222
1999,8527
2000,5539
2001,7089
2002,4244
2003,1097
2004,730
2005,1328
2006,2693
2007,2983
2008,4228
2009,6174
2010,3110
2011,3759
2012,6486
2013,4500
2014,4890
2015,4436
