Year,F7_9
1983,0.280
1984,0.290
1985,0.360
1986,0.363
1987,0.377
1988,0.333
1989,0.313
1990,0.270
1991,0.420
1992,0.460
1993,0.277
1994,0.167
1995,0.087
1996,0.130
1997,0.073
1998,0.187
1999,0.337
2000,0.217
2001,0.280
2002,0.327
2003,0.170
2004,0.087
2005,0.080
2006,0.110
2007,0.087
2008,0.070
2009,0.063
2010,0.053
2011,0.057
2012,0.050
2013,0.037
2014,0.037
2015,0.030
