Year,SSB
1985,903000
1986,836000
1987,941000
1988,886000
1989,922000
1990,862000
1991,735000
1992,382000
1993,101000
1994,31000
1995,10000
1996,16000
1997,21000
1998,28000
1999,35000
2000,34000
2001,30000
2002,24000
2003,22000
2004,20000
2005,25000
2006,41000
2007,81000
2008,107000
2009,105000
2010,97000
2011,91000
2012,112000
2013,169000
2014,250000
2015,299000
