"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1970,0.3174633,NA,NA,86064.69,NA,NA,14640.28,NA,NA,12830.36
1971,0.3426414,NA,NA,90020.83,NA,NA,14895.55,NA,NA,14366.94
1972,0.2428941,NA,NA,89801.31,NA,NA,24586.19,NA,NA,12215.55
1973,0.3140699,NA,NA,79219.66,NA,NA,9967.897,NA,NA,12598.09
1974,0.2124322,NA,NA,75259.69,NA,NA,8456.119,NA,NA,10150.79
1975,0.2114879,NA,NA,86091.06,NA,NA,10181.78,NA,NA,11709.98
1976,0.1395349,NA,NA,91049.58,NA,NA,12376.08,NA,NA,8637.503
1977,0.1746007,NA,NA,89544.36,NA,NA,8266.841,NA,NA,10880.22
1978,0.2511151,NA,NA,85994.74,NA,NA,6742.127,NA,NA,14912.57
1979,0.2624248,NA,NA,83774.1,NA,NA,14550.04,NA,NA,12803.17
1980,0.3633149,NA,NA,76611.99,NA,NA,13912.49,NA,NA,14690.96
1981,0.4435227,NA,NA,72266.3,NA,NA,10413.92,NA,NA,16498.1
1982,0.4020126,NA,NA,65763.84,NA,NA,11112.65,NA,NA,13863.88
1983,0.4267361,NA,NA,62568.5,NA,NA,11055.47,NA,NA,13772.75
1984,0.4419235,NA,NA,52421.74,NA,NA,7167.679,NA,NA,12926.5
1985,0.4723165,NA,NA,50991.75,NA,NA,10421.37,NA,NA,14493.92
1986,0.5950867,NA,NA,45720.06,NA,NA,9574.909,NA,NA,16235.13
1987,0.6505828,NA,NA,39570.61,NA,NA,7827.16,NA,NA,14404.72
1988,0.6509656,NA,NA,31333.55,NA,NA,10079.1,NA,NA,11583.27
1989,0.6683408,NA,NA,28600.3,NA,NA,5033.483,NA,NA,10173.55
1990,0.6114953,NA,NA,23579.24,NA,NA,4478.955,NA,NA,9000.117
1991,0.6411466,NA,NA,22893.7,NA,NA,6438.955,NA,NA,8870.001
1992,0.6484989,NA,NA,20286.05,NA,NA,10686.38,NA,NA,8449.395
1993,0.5742892,NA,NA,17224.07,NA,NA,8687.913,NA,NA,6373.385
1994,0.5752752,NA,NA,14610.77,NA,NA,4845.81,NA,NA,5292.839
1995,0.5010622,NA,NA,15428.95,NA,NA,7010.885,NA,NA,5533.086
1996,0.4062856,NA,NA,18677.96,NA,NA,9443.799,NA,NA,5382.297
1997,0.3057734,NA,NA,20989.91,NA,NA,8846.706,NA,NA,5996.772
1998,0.4741028,NA,NA,22121.28,NA,NA,15156.57,NA,NA,9497.455
1999,0.3136021,NA,NA,20590.94,NA,NA,16069.51,NA,NA,6201.855
2000,0.2905301,NA,NA,23711.42,NA,NA,15082.74,NA,NA,5995.031
2001,0.2560051,NA,NA,29435.72,NA,NA,10868.93,NA,NA,6844.993
2002,0.1487205,NA,NA,36132.07,NA,NA,11521.03,NA,NA,5131.507
2003,0.1226958,NA,NA,44010.34,NA,NA,6973.344,NA,NA,6104.605
2004,0.08598343,NA,NA,51960.63,NA,NA,6425.878,NA,NA,5666.764
2005,0.07720849,NA,NA,57749.96,NA,NA,6718.996,NA,NA,6310.188
2006,0.06004736,NA,NA,59781.64,NA,NA,7733.214,NA,NA,5658.41
2007,0.06768402,NA,NA,60011.54,NA,NA,7779.025,NA,NA,5770.598
2008,0.09486125,NA,NA,59358.4,NA,NA,8348.971,NA,NA,7447.37
2009,0.08062108,NA,NA,55893.8,NA,NA,6146.824,NA,NA,5599.718
2010,0.07730021,NA,NA,51445.06,NA,NA,10371.55,NA,NA,4733.453
2011,0.1166335,NA,NA,51776.39,NA,NA,13529.43,NA,NA,6943.046
2012,0.103392,NA,NA,48193.46,NA,NA,19203.72,NA,NA,5836.692
2013,0.1226839,NA,NA,47977.08,NA,NA,16097.99,NA,NA,6728.333
2014,0.09096709,NA,NA,47732.68,NA,NA,34441.23,NA,NA,5014.97
2015,0.06205323,NA,NA,56849.49,NA,NA,17543.91,NA,NA,3896.457
2016,0.04992637,NA,NA,64752.95,NA,NA,10676.69,NA,NA,3440.509
