Year,SSB
1982,22036
1983,16343
1984,13454
1985,12380
1986,11537
1987,11211
1988,11621
1989,15516
1990,19988
1991,17253
1992,10842
1993,7575
1994,6988
1995,7975
1996,8371
1997,7091
1998,6268
1999,6812
2000,9070
2001,11885
2002,11951
2003,10005
2004,8594
2005,7213
2006,6752
2007,8725
2008,10282
2009,11457
2010,11141
2011,9903
