Year,F7_9
1982,0.73
1983,0.87
1984,0.78
1985,0.91
1986,0.83
1987,0.82
1988,0.62
1989,0.92
1990,1.13
1991,1.26
1992,1.35
1993,1.53
1994,1.45
1995,0.99
1996,1.03
1997,0.92
1998,0.82
1999,0.48
2000,0.62
2001,0.72
2002,0.57
2003,0.67
2004,0.68
2005,0.92
2006,0.78
2007,0.75
2008,0.94
2009,0.98
2010,0.87
2011,0.86
