Year,1,2,3,4,5,6,7,8,9+
1982,10579,12112,5124,2988,1708,157,222,148,232
1983,11545,8337,7799,2313,1198,673,62,87,149
1984,11450,9033,5128,3143,809,411,231,21,81
1985,8912,9002,5727,2228,1203,305,154,87,38
1986,14069,6958,5466,2236,750,397,100,51,41
1987,15005,11031,4337,2277,814,268,142,36,33
1988,27950,11771,6901,1823,838,294,97,51,25
1989,4279,22155,7860,3409,814,369,129,42,33
1990,4224,3453,16754,4623,1377,278,122,42,25
1991,7479,3398,2564,9128,1585,384,74,32,18
1992,7445,6004,2494,1332,2826,390,90,17,12
1993,9665,5968,4374,1255,386,640,84,19,6
1994,3254,7726,4280,2063,316,74,115,15,4
1995,3451,2604,5579,2077,552,65,14,22,4
1996,2741,2782,1957,3193,791,176,20,4,8
1997,4503,2208,2084,1105,1183,243,52,6,4
1998,3939,3634,1669,1223,445,402,80,17,3
1999,7865,3184,2770,1015,531,166,145,29,7
2000,4693,6391,2500,1905,572,274,84,73,18
2001,1170,3805,4959,1636,967,260,121,37,40
2002,5171,947,2927,3134,770,399,104,48,31
2003,1904,4196,738,1952,1654,367,186,48,37
2004,6304,1542,3241,474,951,713,154,78,36
2005,3922,5106,1190,2077,230,408,298,64,47
2006,6590,3195,4050,819,976,82,135,98,36
2007,5296,5373,2546,2859,418,393,31,51,50
2008,4513,4319,4286,1808,1487,173,154,12,39
2009,3532,3676,3423,2938,840,520,56,49,16
2010,2177,2876,2910,2329,1333,283,163,17,20
2011,1175,1774,2285,2020,1127,495,99,56,13
