Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(5-7),	Low,	High,	Catch,	Low,	High
1977,	8708,	4710,	16101,	9707,	6963,	13531,	0.436,	0.293,	0.649,	2354,	1507,	3677
1978,	1780,	876,	3615,	13897,	9713,	19884,	0.425,	0.3,	0.601,	3482,	2360,	5138
1979,	5316,	2664,	10609,	15664,	11237,	21835,	0.391,	0.277,	0.552,	4010,	2671,	6021
1980,	9454,	4804,	18603,	14114,	10464,	19037,	0.478,	0.35,	0.653,	5247,	3617,	7611
1981,	3404,	1854,	6248,	14317,	11048,	18555,	0.538,	0.4,	0.723,	5830,	4138,	8215
1982,	1278,	667,	2450,	13510,	10454,	17459,	0.707,	0.535,	0.934,	6723,	4808,	9402
1983,	2701,	1500,	4863,	10149,	7843,	13135,	0.738,	0.561,	0.972,	5503,	3969,	7630
1984,	648,	360,	1169,	6947,	5347,	9025,	0.712,	0.536,	0.946,	4042,	2889,	5657
1985,	267,	142,	501,	4866,	3789,	6249,	0.839,	0.636,	1.106,	2983,	2140,	4158
1986,	298,	165,	538,	2701,	2099,	3474,	0.97,	0.729,	1.289,	1852,	1329,	2581
1987,	73,	35,	152,	1515,	1159,	1982,	0.845,	0.623,	1.148,	1057,	751,	1487
1988,	267,	143,	500,	972,	738,	1279,	0.625,	0.439,	0.888,	479,	329,	697
1989,	234,	124,	444,	630,	484,	820,	0.603,	0.429,	0.846,	324,	229,	459
1990,	341,	185,	629,	661,	496,	880,	0.631,	0.458,	0.869,	298,	215,	414
1991,	361,	194,	669,	682,	508,	915,	0.677,	0.477,	0.961,	328,	227,	473
1992,	708,	391,	1281,	758,	564,	1018,	0.47,	0.333,	0.664,	202,	143,	286
1993,	1454,	796,	2655,	822,	622,	1086,	0.377,	0.265,	0.536,	190,	137,	264
1994,	1914,	1050,	3490,	1158,	869,	1543,	0.286,	0.198,	0.414,	210,	151,	292
1995,	1497,	825,	2717,	1804,	1354,	2403,	0.279,	0.194,	0.402,	303,	220,	417
1996,	987,	525,	1855,	2614,	1918,	3562,	0.234,	0.16,	0.341,	367,	259,	522
1997,	1830,	1009,	3321,	3699,	2729,	5012,	0.231,	0.159,	0.337,	619,	434,	882
1998,	1817,	1001,	3295,	4344,	3249,	5808,	0.236,	0.163,	0.342,	742,	524,	1051
1999,	8448,	4622,	15441,	4413,	3350,	5814,	0.184,	0.125,	0.271,	562,	403,	783
2000,	2387,	1312,	4341,	5378,	4121,	7019,	0.206,	0.142,	0.299,	808,	590,	1106
2001,	473,	259,	863,	8241,	6004,	11310,	0.204,	0.139,	0.298,	1185,	844,	1662
2002,	947,	518,	1731,	9366,	6657,	13178,	0.186,	0.126,	0.276,	1225,	843,	1781
2003,	300,	157,	577,	7903,	5559,	11234,	0.184,	0.124,	0.272,	1213,	813,	1812
2004,	2230,	1186,	4193,	6425,	4530,	9113,	0.206,	0.142,	0.3,	1277,	840,	1942
2005,	302,	164,	556,	5137,	3672,	7187,	0.24,	0.167,	0.346,	1217,	813,	1823
2006,	1118,	618,	2024,	4604,	3353,	6323,	0.245,	0.171,	0.352,	1038,	709,	1520
2007,	1770,	968,	3237,	4123,	2959,	5743,	0.282,	0.196,	0.406,	1028,	701,	1508
2008,	232,	124,	435,	3957,	2842,	5510,	0.234,	0.162,	0.338,	821,	562,	1200
2009,	267,	145,	491,	3722,	2687,	5155,	0.218,	0.15,	0.316,	766,	519,	1132
2010,	1197,	654,	2188,	3273,	2352,	4553,	0.225,	0.155,	0.328,	731,	495,	1078
2011,	8797,	4662,	16599,	2825,	2043,	3907,	0.191,	0.13,	0.278,	548,	380,	790
2012,	5368,	2898,	9944,	3710,	2696,	5105,	0.187,	0.127,	0.275,	493,	349,	696
2013,	28209,	15133,	52586,	7798,	5308,	11458,	0.156,	0.106,	0.231,	712,	490,	1035
2014,	83048,	42992,	160424,	15415,	10653,	22307,	0.107,	0.071,	0.162,	986,	664,	1466
2015,	12510,	6108,	25624,	33126,	22609,	48536,	0.076,	0.048,	0.121,	1362,	926,	2003
2016,	14872,	5885,	37582,	56787,	35205,	91600,	0.069,	0.041,	0.114,	2310,	1481,	3601
