"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",6312.9,4840.5,0.8207,0.1905,-0.2247
"m2",306,-1166.4,5.119,-0.0174,-0.0157
"m3",5573.6,4101.2,0.1271,0.0291,-0.0017
"m4",0,-1472.4,0.3474,0.0569,-0.0461
