"","R(age 1)","Low","High","SSB","Low","High","Fbar","Low","High","Catch","Low","High"
"1973",35751.8342062736,18135.4965051483,70480.2125902659,26634.7890093584,18228.46227831,38917.8184501698,0.614443529667332,0.404452126884851,0.933462395309733,14593.1019683616,12006.5868223742,17736.8163167031
"1974",19503.8830819832,10364.1857969868,36703.457727115,12847.5414837559,9547.37067886549,17288.4585430639,1.47703496157862,1.10424367280097,1.97568012519532,16460.4033821974,13615.4012749318,19899.882055148
"1975",108576.932145449,68962.7318251293,170946.682100864,4161.17165693093,3007.04895479502,5758.25329708529,1.35433132868776,0.976750059322498,1.87787380237009,5529.58691158444,4575.12564404265,6683.16758744755
"1976",20409.4016960688,11323.4395115253,36785.9674763596,5803.72249667708,3981.2181000242,8460.52488765458,0.775492370138357,0.516180505980114,1.16507386306831,3422.7302895769,2819.288141094,4155.33356255001
"1977",101209.648539217,63154.3384513755,162196.188078489,4507.67199164592,3167.45529722793,6414.96244700023,1.25182426669072,0.865734347109893,1.8100979820278,5094.70556938442,4208.86979860292,6166.9821307688
"1978",134938.657892845,82973.7380946987,219448.247265188,8208.8914536283,5732.11363123692,11755.8553846935,1.19338828312777,0.819804079309788,1.73721457388417,7844.25086501159,6477.65720329499,9499.15528131612
"1979",43446.967757886,24737.7510196047,76306.0071976162,9717.60066046631,6809.85527434528,13866.926504598,1.27999578994903,0.890697311206633,1.83944556885178,9443.32920167037,7803.08994085561,11428.3530097748
"1980",36536.195387589,20438.1834404951,65313.7093757165,9470.92020064503,6529.74132509279,13736.8886424779,1.04464794703668,0.69840066216658,1.56255483759502,7971.47957562077,6572.66587249196,9667.99284449963
"1981",75256.389692047,42701.840343983,132629.510668836,10966.0558097066,7240.51005190064,16608.5509390368,0.762921397170124,0.480073021909444,1.21241776083349,6709.4187940023,5515.70482812423,8161.4774459605
"1982",36087.8301018786,18097.5175509038,71961.8852585126,22302.07114966,15099.5851887215,32940.1351989467,0.961679724099073,0.629084502097387,1.47011711250216,15874.2332557754,13069.3412682742,19281.1004232074
"1983",24780.8869158058,12494.4505158347,49149.208727162,19835.3442026296,14168.6640434198,27768.3822858031,1.38364632699402,0.974788792990528,1.96399176105696,22140.5910233678,18263.685262284,26840.4631280167
"1984",19879.8234195149,11305.8678506023,34955.9524676419,6442.8640151725,4769.44750394839,8703.41830655233,1.91608967699417,1.44283201604019,2.54457872397348,11177.9165576283,9234.92884493557,13529.7001923107
"1985",38798.9057246125,24111.8371440552,62432.2019277787,2932.70450021057,2134.65467621036,4029.10868039051,1.87832148687766,1.37956003099087,2.55740346835958,4735.55594881173,3915.03766803584,5728.03943303486
"1986",9714.77170068308,5279.22116457195,17877.0288749676,3824.63329211251,2748.81915992678,5321.49223651547,1.57436406746339,1.13158095709636,2.19040644098504,4459.67529284386,3684.94383514952,5397.28815616941
"1987",19693.8232165241,11932.0212022121,32504.691896776,1925.21635364168,1375.6778387672,2694.2776163719,1.52230223581587,1.09201568764253,2.1221344376223,2563.19407919532,2119.90225439116,3099.18246183897
"1988",121478.77746716,74789.9913036826,197313.746367411,1802.86359953112,1175.67478864575,2764.6396689839,1.26516769091795,0.816384433838228,1.96065630332663,2750.64252943582,2270.34923771275,3332.54205963635
"1989",10004.3512907117,4374.10106456359,22881.7403326163,11240.1814842331,7572.01996271823,16685.3336917435,1.04941344606497,0.695670125703947,1.58303273360716,7994.41221146613,6599.26634589324,9684.50480053906
"1990",3796.93043825302,1603.29457090057,8991.91016709703,11716.8725463511,8312.43439285739,16515.6313757375,1.78900670554699,1.27434808994093,2.51151550958139,17871.5743329673,14753.7990926305,21648.198347659
"1991",6364.48120013434,3387.68466567664,11957.0222569027,3709.71083105214,2659.44921199273,5174.73858420244,1.86215831410553,1.36060459814512,2.54859758045777,6431.46707455382,5307.01889405446,7794.16270354914
"1992",5546.34411127695,3110.45267034712,9889.85728474805,2015.08402062882,1434.66607914276,2830.31966059998,1.4574845838067,1.03978207119801,2.04298705553432,2682.8192301956,2214.24989802655,3250.54503934813
"1993",6229.43569721877,3601.52949222911,10774.8303018241,1231.38353889681,847.530325082095,1789.08692113071,0.714574163681089,0.471440781439992,1.08309729557311,777.700992597542,640.029698397376,944.985577078155
"1994",7280.101325363,4247.51057495944,12477.8677703606,824.064300426077,566.018001834517,1199.75331002857,1.04133996879739,0.697738195396935,1.55414873052499,719.125041018471,593.206496897865,871.772017542243
"1995",2414.58909930165,1213.86595728827,4803.03486843878,1139.89464963081,739.194455450818,1757.80513865528,0.369328915618696,0.227670928500031,0.599127208777836,342.110968303128,281.46869053203,415.818592157002
"1996",7587.32340123709,4074.43234485859,14128.9562624847,1833.93661361313,1153.57360379567,2915.56905574492,0.507806656202714,0.301235947567662,0.856031964863227,778.134520093158,638.854051865686,947.780372672519
"1997",6812.90963900298,3565.2472800402,13018.9392497612,2283.56762786152,1402.26275817771,3718.7617517517,0.629994004539454,0.368161742584893,1.07803826375072,1242.49818313142,1021.08758757935,1511.91901053729
"1998",7709.64441149198,3905.01915005825,15221.0820658236,2159.49317126483,1290.45159587987,3613.78200594946,0.67166315398064,0.378418955405209,1.19214797771468,1125.20313670477,922.926980087095,1371.81177511007
