Year,1,2,3,4,5,6,7,8,9,10
1959,,0.85,2.03,3.45,4.58,5.5,7,7.93,10.34,10.69
1960,,1,2.22,3.35,4.6,6.08,7.31,7.51,11.01,9.28
1961,,1.08,2.27,3.51,4.33,5.69,6.32,7,10.95,14.39
1962,,1,1.94,3.15,3.78,4.8,6.25,7.67,8.66,9.34
1963,,1.04,1.83,2.57,3.51,4.78,5.5,7.41,7.39,10.22
1964,,0.97,1.45,2.75,4.04,4.65,5.05,10.31,6.37,11.55
1965,,0.92,1.77,3.13,4.12,4.89,6.46,6.48,6.9,7.57
1966,,0.98,1.93,3.07,3.67,5.14,4.87,6.48,8.66,7.62
1967,,0.96,1.72,2.85,3.94,3.94,4.95,6.12,8.63,8.17
1968,,0.88,1.8,2.69,3.58,4.29,5.1,6.14,7.39,13.62
1969,,1.09,2.23,2.98,3.26,5.1,5.88,7.51,8.55,10.72
1970,,0.96,1.8,2.58,3.89,5.18,6.25,6.39,8.38,12.229
1971,,0.81,1.61,3.41,4.8,5.46,6.43,6.23,8.715,13.042
1972,,0.66,2,3.44,4.26,5.26,5.34,6.348,8.368,9.668
1973,,1.11,2.22,2.98,3.7,4.65,5.927,7.272,7.603,10
1974,,1.08,1.79,2.84,3.68,4.363,4.719,6.1,6.69,6.707
1975,,0.79,1.72,2.53,3.125,3.642,4.392,4.43,5.216,8.031
1976,,0.94,1.79,2.14,3.052,3.539,4.24,5.563,8.013,10.981
1977,,0.87,1.385,2.211,3.105,3.7,5.442,5.601,6.628,10.981
1978,,1.112,1.682,2.22,3.21,4.012,5.02,6.466,6.511,8.815
1979,,0.897,1.432,2.18,3.107,4.11,5.488,4.739,9.7,9.811
1980,,0.927,1.47,2.138,3.107,4.47,4.22,5.893,8.509,8.287
1981,,1.08,1.413,2.403,3.679,3.752,4.699,6.341,7.087,9.156
1982,,1.23,1.95,2.98,3.4,3.786,5.461,4.896,6.14,8.689
1983,,1.338,1.888,2.626,2.936,3.908,3.976,4.682,6.704,8.147
1984,,1.195,1.658,2.046,2.766,3.109,3.75,4.758,5.973,9.725
1985,,0.905,1.459,2.16,2.914,3.468,4.652,5.656,7.619,9.587
1986,,1.099,1.517,2.3,2.934,3.273,4.086,6.275,7.614,8.796
1987,,1.093,1.749,2.2,2.531,3.185,4.545,6.159,8.564,8.627
1988,,1.061,1.597,1.959,2.524,3.477,4.971,7.146,7.782,7.482
1989,,1.01,1.3,1.57,2.312,3.723,4.976,6.241,5.593,7.056
1990,,0.945,1.271,1.779,3.132,4.584,6.079,5.27,6.172,8.802
1991,,0.779,1.364,2.421,3.654,5.18,4.978,5.312,7.97,10.652
1992,,0.989,1.704,2.613,3.925,4.455,4.491,5.851,9.129,13.009
1993,,1.155,1.843,2.622,3.8,4.158,5.433,8.276,11.895,12.394
1994,,1.194,1.986,2.745,3.012,3.478,5.496,8.182,7.277,7.457
1995,,1.218,1.737,1.958,2.28,3.214,4.577,5.563,6.244,6.81
1996,,1.016,1.341,1.802,2.774,4.048,4.871,4.65,6.727,9.573
1997,,0.901,1.417,2.35,3.795,4.394,4.475,6,7.656,9.517
1998,,1.004,1.586,3.187,3.976,4.095,4.67,6.326,8.703,11.99
1999,,1.05,2.17,3.053,3.529,4.092,5.191,8.285,9.524,9.509
2000,,1.416,2.076,2.805,3.329,3.83,5.287,7.635,9.461,9.559
2001,,1.164,1.768,2.127,2.363,3.138,4.691,6.464,7.233,9.959
2002,,1.017,1.362,1.693,2.293,3.33,4.71,5.915,8.312,9.8
2003,,0.82,1.154,1.76,2.386,3.529,4.669,6.281,7.094,10.089
2004,,1.037,1.373,1.988,3.076,3.804,5.081,5.973,6.863,9.206
2005,,0.986,1.304,1.97,2.714,3.435,4.774,6.631,7.482,10.324
2006,,0.839,1.324,2.104,2.723,3.678,5.076,5.871,9.028,12.12
2007,,0.937,1.478,2.287,3.212,4.525,5.573,6.966,9.236,11.127
2008,,1.209,1.431,2.4,3.493,4.279,6.776,9.394,10.334,10.975
2009,,0.805,1.642,2.413,3.102,4.672,6.489,8.035,10.227,9.386
2010,,1.049,1.367,1.893,3.18,4.148,5.768,7.059,7.782,0
2011,,0.815,1.315,2.528,3,4.403,5.399,6.256,0,0
2012,,1.007,1.527,2.466,3.65,4.419,5.357,0,0,0
2013,,1.011,1.653,2.769,3.937,4.531,0,0,0,0
2014,,1.099,1.733,2.752,3.675,0,0,0,0,0
2015,,1.198,1.993,2.935,0,0,0,0,0,0
2016,,1.358,2.067,0,0,0,0,0,0,0
2017,,1.271,0,0,0,0,0,0,0,0
