"index","name","value","stdev","CV"
91,"Freport",1.0381,0.083382,0.080321741643387
92,"Freport",0.75127,0.076213,0.101445552198278
93,"Freport",0.58027,0.059845,0.1031330242818
94,"Freport",0.80651,0.076657,0.0950477985393858
95,"Freport",1.1406,0.096841,0.0849035595300719
96,"Freport",0.72875,0.069844,0.0958408233276158
97,"Freport",0.84068,0.077383,0.0920481039158776
98,"Freport",0.89222,0.076072,0.0852614825939791
99,"Freport",0.86955,0.074809,0.0860318555574723
100,"Freport",0.93841,0.083063,0.0885146151468974
101,"Freport",0.72865,0.078132,0.107228436149043
102,"Freport",0.4201,0.050497,0.12020233277791
103,"Freport",0.4354,0.04928,0.113183279742765
104,"Freport",0.17056,0.019864,0.116463414634146
105,"Freport",0.28558,0.029816,0.10440507038308
106,"Freport",0.17473,0.018576,0.106312596577577
107,"Freport",0.26457,0.026069,0.0985334694031825
108,"Freport",0.30739,0.028988,0.094303653339406
109,"Freport",0.3725,0.035958,0.0965315436241611
110,"Freport",0.56729,0.047879,0.0843995134763525
111,"Freport",0.35894,0.034762,0.0968462695715161
112,"Freport",0.37854,0.038672,0.102160934115285
113,"Freport",0.19478,0.022286,0.114416264503542
114,"Freport",0.17399,0.019997,0.114931892637508
115,"Freport",0.22479,0.025752,0.114560256239157
116,"Freport",0.3087,0.0336,0.108843537414966
117,"Freport",0.21206,0.023783,0.112152221069509
118,"Freport",0.25289,0.026349,0.104191545731346
119,"Freport",0.33195,0.034794,0.104816990510619
120,"Freport",0.30293,0.034753,0.114722873271053
121,"Freport",0.2662,0.034078,0.12801652892562
122,"Freport",0.14886,0.019814,0.13310493080747
123,"Freport",0.088734,0.012363,0.139326526472378
124,"TotJan1B",29160,1372.9,0.0470816186556927
125,"TotJan1B",23890,1161.6,0.0486228547509418
126,"TotJan1B",17415,913.5,0.0524547803617571
127,"TotJan1B",15096,703.71,0.0466156597774245
128,"TotJan1B",16876,748.39,0.0443464091016829
129,"TotJan1B",15956,762.58,0.0477926798696415
130,"TotJan1B",15332,701.81,0.0457741977563266
131,"TotJan1B",12962,582.79,0.0449614257059096
132,"TotJan1B",12362,588.2,0.0475812975246724
133,"TotJan1B",10181,478.83,0.0470317257636774
134,"TotJan1B",8003.7,374.37,0.0467746167397579
135,"TotJan1B",9152.9,394.66,0.0431185744408876
136,"TotJan1B",10019,418.51,0.0417716338955984
137,"TotJan1B",15552,609.2,0.0391718106995885
138,"TotJan1B",17581,723.12,0.0411307661680223
139,"TotJan1B",17439,731.05,0.0419204082802913
140,"TotJan1B",17789,734.74,0.0413030524481421
141,"TotJan1B",20120,833.43,0.0414229622266402
142,"TotJan1B",20619,854.85,0.0414593336243271
143,"TotJan1B",20123,858.82,0.0426785270585897
144,"TotJan1B",18807,834.46,0.0443696495985537
145,"TotJan1B",16154,776.47,0.0480667326977838
146,"TotJan1B",11866,569.21,0.0479698297657172
147,"TotJan1B",9549.8,483.67,0.0506471339713921
148,"TotJan1B",8521.8,456.83,0.0536072191321082
149,"TotJan1B",9548.5,482.05,0.0504843692726606
150,"TotJan1B",11597,500.06,0.0431197723549194
151,"TotJan1B",13150,551.68,0.0419528517110266
152,"TotJan1B",14081,609.69,0.0432987713940771
153,"TotJan1B",12805,581.34,0.0453994533385396
154,"TotJan1B",12766,628.17,0.0492064859783801
155,"TotJan1B",10298,579.05,0.0562293649252282
156,"TotJan1B",8103.8,536.85,0.0662466990794442
157,"TotJan1B",8682.5,683.41,0.0787112006910452
158,"TotJan1B",8541.7,766.17,0.0896976011800929
159,"SSB",16335,1003.5,0.0614325068870523
160,"SSB",14604,813.91,0.055731991235278
161,"SSB",9641.3,554.79,0.0575430699179571
162,"SSB",7235.4,459.42,0.0634961439588689
163,"SSB",8082.2,465.31,0.0575721956892925
164,"SSB",8616,480.22,0.0557358402971216
165,"SSB",7262.5,407.03,0.0560454388984509
166,"SSB",5511,333.87,0.0605824714207948
167,"SSB",7265.7,381.32,0.0524822109363172
168,"SSB",5098.3,295.83,0.0580252240943059
169,"SSB",3646.5,218.86,0.0600191964897847
170,"SSB",3467.4,206,0.0594105093153371
171,"SSB",3006.1,205.22,0.0682678553607664
172,"SSB",4507.4,280.91,0.0623219594444691
173,"SSB",7689.8,427.97,0.0556542432833104
174,"SSB",11046,557.85,0.0505024443237371
175,"SSB",11621,577.99,0.0497366835900525
176,"SSB",13121,656.14,0.0500068592332901
177,"SSB",14299,674.15,0.0471466536121407
178,"SSB",14521,694.81,0.0478486330142552
179,"SSB",13113,653.27,0.0498185007244719
180,"SSB",11213,583.5,0.0520378132524748
181,"SSB",7215.9,420.35,0.0582533017364431
182,"SSB",6683.6,388.33,0.0581019211203543
183,"SSB",6181.9,382.85,0.0619307979747327
184,"SSB",5912.3,379.59,0.0642034402855065
185,"SSB",5215.1,321.45,0.0616383194953117
186,"SSB",6061.2,345.35,0.0569771662377087
187,"SSB",7485,395.08,0.0527828991315965
188,"SSB",7609.7,405.47,0.0532833094602941
189,"SSB",6854.2,384.86,0.0561495141664965
190,"SSB",6619.6,412.02,0.062242431566862
191,"SSB",5752.1,413.74,0.0719285130647937
192,"SSB",6429.1,533.44,0.0829727333530354
193,"SSB",5913.5,536.38,0.0907043206223049
194,"ExploitableB",20811,1237.6,0.0594685502859065
195,"ExploitableB",19938,1131.8,0.0567659745210151
196,"ExploitableB",14694,895.5,0.0609432421396488
197,"ExploitableB",10427,661.86,0.0634755922125252
198,"ExploitableB",9803,605.65,0.0617821075181067
199,"ExploitableB",10939,658.21,0.0601709479842764
200,"ExploitableB",10223,633.66,0.0619837621050572
201,"ExploitableB",8069.4,488.16,0.0604952041043944
202,"ExploitableB",9808.7,570.79,0.0581922171133789
203,"ExploitableB",7240.1,436.49,0.0602878413281584
204,"ExploitableB",5165.9,315.99,0.061168431444666
205,"ExploitableB",5056.7,310.67,0.0614373010065853
206,"ExploitableB",4754.2,292.88,0.0616044760422363
207,"ExploitableB",6001.1,365.86,0.060965489660229
208,"ExploitableB",10529,611.28,0.0580567955171431
209,"ExploitableB",12418,685.9,0.0552343372523756
210,"ExploitableB",13493,690.77,0.051194693544801
211,"ExploitableB",15421,811.05,0.0525938655080734
212,"ExploitableB",16288,819.86,0.0503352161100196
213,"ExploitableB",16940,843.98,0.0498217237308146
214,"ExploitableB",17035,845.15,0.0496125623715879
215,"ExploitableB",15092,800.27,0.0530261065465147
216,"ExploitableB",10390,569.04,0.0547680461982676
217,"ExploitableB",8263.9,475.01,0.0574801243964714
218,"ExploitableB",7251.4,450.94,0.062186612240395
219,"ExploitableB",7130.4,447.37,0.0627412206888814
220,"ExploitableB",6708.6,400.04,0.0596309215037415
221,"ExploitableB",8505.5,479.72,0.0564011521956381
222,"ExploitableB",9910.2,533.35,0.05381828822829
223,"ExploitableB",10424,541.82,0.0519781273983116
224,"ExploitableB",8848,484.12,0.0547151898734177
225,"ExploitableB",8146.5,503.17,0.0617651752286258
226,"ExploitableB",6472.3,457.35,0.0706626701481699
227,"ExploitableB",7642,628.31,0.0822180057576551
228,"ExploitableB",6575.1,587.73,0.089387233654241
229,"recruits",20385,1810.4,0.0888103998037773
230,"recruits",11712,1142.5,0.0975495218579235
231,"recruits",17758,1287.4,0.0724969028043699
232,"recruits",17914,1331.6,0.0743329239700793
233,"recruits",23584,1610.2,0.0682751017639077
234,"recruits",15839,1187.4,0.0749668539680535
235,"recruits",26984,1573.5,0.0583123332345093
236,"recruits",10982,854.3,0.0777909306137316
237,"recruits",7550.6,643.53,0.0852289884247609
238,"recruits",11467,792.68,0.0691270602598762
239,"recruits",8341.7,648.5,0.0777419470851265
240,"recruits",12907,842.56,0.0652793058030526
241,"recruits",16284,1026.9,0.0630619012527635
242,"recruits",25870,1377.3,0.0532392732895245
243,"recruits",18439,1151.7,0.0624600032539726
244,"recruits",11431,901.4,0.0788557431545796
245,"recruits",17228,1132.8,0.0657534246575342
246,"recruits",17717,1150.3,0.0649263419314782
247,"recruits",12539,918.74,0.0732705957412872
248,"recruits",8621.3,688.83,0.079898623177479
249,"recruits",7376.5,541.15,0.0733613502338507
250,"recruits",5971.2,444.11,0.0743753349410504
251,"recruits",5087.1,390.05,0.0766743331171001
252,"recruits",3487.9,324.1,0.0929212420080851
253,"recruits",6255.6,488.12,0.0780292857599591
254,"recruits",12220,769.62,0.0629803600654665
255,"recruits",17782,991.82,0.0557766280508379
256,"recruits",11630,773.34,0.0664952708512468
257,"recruits",5818.4,514.41,0.0884109033411247
258,"recruits",8133.1,608.32,0.0747955883980278
259,"recruits",5817.6,514.9,0.0885072882288229
260,"recruits",4850.4,508.12,0.104758370443675
261,"recruits",5052.2,629.68,0.124634812556906
262,"recruits",2284.9,520.73,0.22790056457613
263,"recruits",8576.7,2024.8,0.236081476558583
