Year,SSB
1984,159502
1985,132869
1986,138830
1987,131628
1988,138022
1989,117342
1990,130943
1991,158227
1992,194887
1993,211040
1994,221193
1995,210205
1996,229326
1997,174616
1998,132884
1999,118398
2000,96953
2001,94190
2002,124225
2003,94890
2004,99187
2005,89003
2006,109144
2007,114349
2008,105673
2009,104231
2010,106985
2011,118173
2012,116990
2013,111709
2014,132001
2015,153363
2016,152902
2017,142351
