Year,2,3,4,5,6,7,8,9
2008,0.005,0.039,0.156,0.241,0.275,0.249,0.257,0.140
2009,0.000,0.015,0.080,0.204,0.332,0.407,0.246,0.151
2010,0.001,0.045,0.131,0.203,0.254,0.280,0.277,0.132
2011,0.001,0.039,0.165,0.208,0.251,0.485,0.319,0.240
2012,0.001,0.023,0.086,0.186,0.322,0.341,0.502,0.383
2013,0.004,0.037,0.111,0.135,0.216,0.198,0.220,0.404
2014,0.001,0.049,0.111,0.158,0.155,0.187,0.186,0.246
2015,0.010,0.055,0.141,0.243,0.311,0.345,0.333,0.333
2016,0.014,0.090,0.140,0.247,0.396,0.497,0.397,0.416
2017,0.013,0.106,0.197,0.307,0.495,0.829,0.777,0.559
