"Year","Index","Age","logObs","Pred"
2014,1,"1",5.79524023857782,5.2418671105858
2014,1,"2",5.1753321068836,5.25887092909181
2014,1,"3",5.62680386112568,5.56559793744287
2014,1,"4",5.11717715569011,5.32246724309086
2014,1,"5",4.88198424974667,5.01013080862042
2014,1,"6",4.42999960288678,4.33692925886732
2014,1,"7",4.04223399518629,4.4873017708865
2014,2,"2",4.32994673915466,5.10966009254943
2014,2,"3",5.74860632721036,6.5660468437387
2014,2,"4",5.90729654806701,6.57874348618615
2014,2,"5",5.70964061353843,6.28072237705195
2014,2,"6",4.6626529414014,5.6074989833551
2014,2,"7",4.6626529414014,5.75774232860609
2014,3,"1",0.886503331666086,1.06912979440214
2014,3,"2",0.800613501452772,0.3771152594951
2014,3,"3",0.327915849205882,0.392636818183406
2014,3,"4",-0.599224930757741,0.109627293249707
2014,3,"5",-1.31072121599935,-0.202914546472754
2014,3,"6",-1.89850782749407,-0.874933173795769
2014,3,"7",-1.66211907472808,-0.724145998296678
2015,1,"1",5.48188334419608,5.53958679157294
2015,1,"2",5.26910249713391,6.32553198304331
2015,1,"3",4.92849787325764,5.37743133065062
2015,1,"4",4.34504984270777,5.09857509248851
2015,1,"5",4.02659625498208,4.70925079136991
2015,1,"6",3.36854025084056,4.37759248940882
2015,1,"7",4.23535104182815,4.47312358563419
2015,2,"2",6.57713440718656,6.18446654650093
2015,2,"3",5.56379322728255,6.40793708694646
2015,2,"4",5.42422282582886,6.3944703355838
2015,2,"5",4.40599218423749,6.02062545980144
2015,2,"6",3.87047397584861,5.6890531138966
2015,2,"7",3.66283452286523,5.78446474335378
2015,3,"1",0.886803577977807,1.36699824205595
2015,3,"2",1.15579372457638,1.44513388011327
2015,3,"3",0.818692160457887,0.209479686391161
2015,3,"4",0.0187153933342216,-0.107661690685976
2015,3,"5",-2.30367220068154,-0.496997380389934
2015,3,"6",-2.30367220068154,-0.827454793254267
2015,3,"7",-2.30367220068154,-0.731507416882326
2016,1,"1",6.55792145229055,6.20602665980701
2016,1,"2",7.4345717363808,6.62874865876783
2016,1,"3",6.67175663070738,6.47165471968142
2016,1,"4",4.6148445198467,4.97571901765564
2016,1,"5",5.02360427848434,4.56560679879404
2016,1,"6",4.18937878850021,4.15876225603848
2016,1,"7",4.73592220603256,4.56691073613223
2016,2,"2",3.61091781318476,6.49599982222545
2016,2,"3",6.99850961521864,7.53284902597726
2016,2,"4",6.09807411587409,6.31206591075092
2016,2,"5",5.11799384355448,5.91862166722557
2016,2,"6",3.21887606246817,5.51197318052626
2016,2,"7",4.17438733820333,5.92001204385182
2016,3,"1",1.94448058857762,2.03359001029002
2016,3,"2",1.49962308794475,1.74973665583779
2016,3,"3",0.936093327797785,1.3088178337553
2016,3,"4",-0.261364814783759,-0.223775823852186
2016,3,"5",-1.66073101945325,-0.633701339632464
2016,3,"6",-2.99573224555399,-1.03932664329128
2016,3,"7",-2.20727488518972,-0.630760241384285
