"stock","model","file","metric","rho"
"GOMcod","a4asca","te-mohn.txt","Fbar",-0.0911480072734821
"GOMcod","a4asca","te-mohn.txt","SSB",0.191328647954423
"GOMcod","a4asca","te-mohn.txt","R",0.412567202629654
"GOMcod","ASAP","Mohn.txt","R",0.0472610031396404
"GOMcod","ASAP","Mohn.txt","SSB",0.274914423296295
"GOMcod","ASAP","Mohn.txt","Fbar",-0.293639056777848
"GOMcod","SAM","Mohn.txt","R",0.3106838
"GOMcod","SAM","Mohn.txt","SSB",0.1988448
"GOMcod","SAM","Mohn.txt","Fbar",-0.1283414
"GOMcod","SAM_constantFSelectivity","Mohn.txt","R",0.2756866
"GOMcod","SAM_constantFSelectivity","Mohn.txt","SSB",0.6918091
"GOMcod","SAM_constantFSelectivity","Mohn.txt","Fbar",-0.486679
"GOMcod","SAM_useCVs","Mohn.txt","R",0.29921909
"GOMcod","SAM_useCVs","Mohn.txt","SSB",0.18470369
"GOMcod","SAM_useCVs","Mohn.txt","Fbar",-0.05454466
"GOMcod","SAM_usesCorObsAndCoupleMarginalVariances","Mohn.txt","R",0.4957942
"GOMcod","SAM_usesCorObsAndCoupleMarginalVariances","Mohn.txt","SSB",0.3010969
"GOMcod","SAM_usesCorObsAndCoupleMarginalVariances","Mohn.txt","Fbar",-0.1663838
"GOMcod","WHAM","Mohn.txt","R",0.099904325449276
"GOMcod","WHAM","Mohn.txt","SSB",0.263911946301543
"GOMcod","WHAM","Mohn.txt","Fbar",-0.28254098715467
"GOMhaddock","a4asca","sep-mohn.txt","Fbar",0.219868225295523
"GOMhaddock","a4asca","sep-mohn.txt","SSB",-0.164007660524725
"GOMhaddock","a4asca","sep-mohn.txt","R",-0.282231854818976
"GOMhaddock","a4asca","te-mohn.txt","Fbar",0.128858908855018
"GOMhaddock","a4asca","te-mohn.txt","SSB",-0.0878482586066646
"GOMhaddock","a4asca","te-mohn.txt","R",-0.258936813026779
"GOMhaddock","ASAP","Mohn.txt","R",-0.511134627826772
"GOMhaddock","ASAP","Mohn.txt","SSB",-0.233373618777325
"GOMhaddock","ASAP","Mohn.txt","Fbar",0.291044905363354
"GOMhaddock","SAM","Mohn.txt","R",-0.2746914
"GOMhaddock","SAM","Mohn.txt","SSB",-0.1861097
"GOMhaddock","SAM","Mohn.txt","Fbar",0.212287
"GOMhaddock","SAM_constantFSelectivity","Mohn.txt","R",-0.3649545
"GOMhaddock","SAM_constantFSelectivity","Mohn.txt","SSB",-0.2451727
"GOMhaddock","SAM_constantFSelectivity","Mohn.txt","Fbar",0.3929394
"GOMhaddock","SAM_useCVs","Mohn.txt","R",-0.2755163
"GOMhaddock","SAM_useCVs","Mohn.txt","SSB",-0.1454344
"GOMhaddock","SAM_useCVs","Mohn.txt","Fbar",0.1130505
"GOMhaddock","WHAM","Mohn.txt","R",-0.029667840689929
"GOMhaddock","WHAM","Mohn.txt","SSB",-0.114186722767675
"GOMhaddock","WHAM","Mohn.txt","Fbar",0.165847386828653
"ICEherring","a4asca","sep-mohn.txt","Fbar",-0.116108808653369
"ICEherring","a4asca","sep-mohn.txt","SSB",0.0984927189504908
"ICEherring","a4asca","sep-mohn.txt","R",-0.0142679250141998
"ICEherring","a4asca","te-mohn.txt","Fbar",0.0506177131799731
"ICEherring","a4asca","te-mohn.txt","SSB",0.0354097983062044
"ICEherring","a4asca","te-mohn.txt","R",0.0988353146501371
"ICEherring","ASAP","Mohn.txt","R",0.0143937503083196
"ICEherring","ASAP","Mohn.txt","SSB",0.0650548978429891
"ICEherring","ASAP","Mohn.txt","Fbar",-0.0826477518435058
"ICEherring","SAM","Mohn.txt","R",-0.0865163
"ICEherring","SAM","Mohn.txt","SSB",0.07582198
"ICEherring","SAM","Mohn.txt","Fbar",-0.08335073
"ICEherring","SAM_constantFSelectivity","Mohn.txt","R",-0.001608022
"ICEherring","SAM_constantFSelectivity","Mohn.txt","SSB",0.047874211
"ICEherring","SAM_constantFSelectivity","Mohn.txt","Fbar",-0.059252595
"ICEherring","WHAM","Mohn.txt","R",-0.0623578856070619
"ICEherring","WHAM","Mohn.txt","SSB",-0.0227425838697299
"ICEherring","WHAM","Mohn.txt","Fbar",0.0307190265834961
"NScod","a4asca","sep-mohn.txt","Fbar",-0.00366195890804522
"NScod","a4asca","sep-mohn.txt","SSB",-0.0384752782905321
"NScod","a4asca","sep-mohn.txt","R",-0.168935726366734
"NScod","a4asca","te-mohn.txt","Fbar",0.00922215421185938
"NScod","a4asca","te-mohn.txt","SSB",0.0458742365973947
"NScod","a4asca","te-mohn.txt","R",-0.0704544982114297
"NScod","ASAP","Mohn.txt","R",-0.0703063662202099
"NScod","ASAP","Mohn.txt","SSB",0.193811471356462
"NScod","ASAP","Mohn.txt","Fbar",-0.162124495352509
"NScod","SAM","Mohn.txt","R",0.04888796
"NScod","SAM","Mohn.txt","SSB",0.01549399
"NScod","SAM","Mohn.txt","Fbar",0.09551284
"NScod","SAM_constantFSelectivity","Mohn.txt","R",0.06795284
"NScod","SAM_constantFSelectivity","Mohn.txt","SSB",-0.01698701
"NScod","SAM_constantFSelectivity","Mohn.txt","Fbar",0.11085986
"NScod","WHAM","Mohn.txt","R",0.0350672882061821
"NScod","WHAM","Mohn.txt","SSB",0.11993214863022
"NScod","WHAM","Mohn.txt","Fbar",-0.131906903193835
"Plaice","a4asca","sep-mohn.txt","Fbar",-0.0164528250041091
"Plaice","a4asca","sep-mohn.txt","SSB",0.0233261563244106
"Plaice","a4asca","sep-mohn.txt","R",0.159708159334847
"Plaice","a4asca","te-mohn.txt","Fbar",0.0458841501938082
"Plaice","a4asca","te-mohn.txt","SSB",0.00423643053009992
"Plaice","a4asca","te-mohn.txt","R",0.218676909889042
"Plaice","ASAP","Mohn.txt","R",-0.155758190769007
"Plaice","ASAP","Mohn.txt","SSB",0.118049089508448
"Plaice","ASAP","Mohn.txt","Fbar",-0.143582989802067
"Plaice","SAM","Mohn.txt","R",-0.2011232
"Plaice","SAM","Mohn.txt","SSB",0.09855991
"Plaice","SAM","Mohn.txt","Fbar",-0.01954383
"Plaice","SAM_constantFSelectivity","Mohn.txt","R",-0.103328098
"Plaice","SAM_constantFSelectivity","Mohn.txt","SSB",0.003662099
"Plaice","SAM_constantFSelectivity","Mohn.txt","Fbar",0.02075052
"Plaice","WHAM","Mohn.txt","R",-0.271178639609554
"Plaice","WHAM","Mohn.txt","SSB",0.0544192240202475
"Plaice","WHAM","Mohn.txt","Fbar",-0.0383017541958499
"Pollock","a4asca","sep-mohn.txt","Fbar",0.428815011243073
"Pollock","a4asca","sep-mohn.txt","SSB",-0.000818687430298401
"Pollock","a4asca","sep-mohn.txt","R",-0.200099073959336
"Pollock","a4asca","te-mohn.txt","Fbar",0.428815011243073
"Pollock","a4asca","te-mohn.txt","SSB",-0.000818687430298401
"Pollock","a4asca","te-mohn.txt","R",-0.200099073959336
"Pollock","ASAP","Mohn.txt","R",-0.16206337505508
"Pollock","ASAP","Mohn.txt","SSB",0.00690786330754041
"Pollock","ASAP","Mohn.txt","Fbar",-0.00693600249114179
"Pollock","SAM","Mohn.txt","R",0.21436114
"Pollock","SAM","Mohn.txt","SSB",0.06207232
"Pollock","SAM","Mohn.txt","Fbar",-0.04827521
"Pollock","SAM_constantFSelectivity","Mohn.txt","R",0.0006713682
"Pollock","SAM_constantFSelectivity","Mohn.txt","SSB",0.2260201441
"Pollock","SAM_constantFSelectivity","Mohn.txt","Fbar",-0.1749159374
"Pollock","SAM_useCVs","Mohn.txt","R",0.32312485
"Pollock","SAM_useCVs","Mohn.txt","SSB",0.06456987
"Pollock","SAM_useCVs","Mohn.txt","Fbar",-0.07191495
"Pollock","WHAM","Mohn.txt","R",-0.161849807304927
"Pollock","WHAM","Mohn.txt","SSB",0.016327920763103
"Pollock","WHAM","Mohn.txt","Fbar",0.358471916979469
"SNEMAwinter","a4asca","sep-mohn.txt","Fbar",-0.185454521332397
"SNEMAwinter","a4asca","sep-mohn.txt","SSB",0.339521706872662
"SNEMAwinter","a4asca","sep-mohn.txt","R",1.77369303455439
"SNEMAwinter","a4asca","te-mohn.txt","Fbar",-0.102982380221525
"SNEMAwinter","a4asca","te-mohn.txt","SSB",0.0404925502847606
"SNEMAwinter","a4asca","te-mohn.txt","R",1.51327831135872
"SNEMAwinter","ASAP","Mohn.txt","R",1.80740272754987
"SNEMAwinter","ASAP","Mohn.txt","SSB",0.950368289687601
"SNEMAwinter","ASAP","Mohn.txt","Fbar",-0.565438226923225
"SNEMAwinter","SAM","Mohn.txt","R",0.35515503
"SNEMAwinter","SAM","Mohn.txt","SSB",0.10589056
