"stock","model","file","metric","year","value","low","high"
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1985,9502.34326722129,6726.3457972415,13763.2029753724
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1986,5523.23851916704,3946.01853310878,7898.22629810594
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1987,8482.93712069352,6113.63024145655,11914.9563685118
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1988,25495.5503214874,18360.8371273315,35419.537886287
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1989,11228.2621485626,7861.11068802813,15785.4192576054
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1990,11126.807324669,7894.08557592463,16102.1253907327
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1991,9200.0765283643,6514.77840126498,13589.2167389512
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1992,10619.4596005406,7385.17007252792,15584.8667990702
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1993,11861.2070252231,8371.75590094621,17398.8039735339
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1994,10506.9180746617,7410.51399724881,15079.589666047
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1995,9085.29006034069,6322.37673882004,13077.6804496122
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1996,9164.30466336945,6390.84241391417,13159.4055442632
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1997,9723.35046090478,6892.89980307036,13983.3568150234
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1998,10204.393719493,7303.21726345849,14721.0135218039
"CCGOMyt","a4asca sep","sep-tab1.csv","R",1999,14468.6153205116,10254.4798508353,20265.7551825019
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2000,11391.5356866795,8215.44076341969,16165.8242440023
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2001,6214.06426071506,4409.74077496878,9240.61015486329
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2002,7613.85009203766,5332.40969631081,11011.7117170713
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2003,6615.16365743592,4645.31019069975,9861.06202049416
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2004,8514.54112178852,5740.29912296125,13013.4084000491
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2005,9377.39935605099,6397.67338643614,14458.1151556646
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2006,13043.5094859828,8529.24733295307,20207.161272466
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2007,11347.0692711651,7627.69374858717,17836.6698182244
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2008,14929.7117161089,10065.1755645094,23622.8637471426
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2009,15124.1200256103,10066.679859758,23682.7273375718
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2010,9876.97258791587,6674.26267945443,15182.7723593455
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2011,8830.29591467906,5912.98255689185,13733.476813178
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2012,8978.8853230296,5788.50787543213,13994.6615708154
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2013,11646.9530591389,7506.79625362693,18457.2518720985
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2014,15530.4821555557,9595.43568162573,25138.080087268
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2015,18260.1753936546,9908.74173946782,33003.3084960211
"CCGOMyt","a4asca sep","sep-tab1.csv","R",2016,22127.6770752511,8925.94563100616,55659.7016483972
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1985,9165.89034008422,4463.04833445202,19155.9207016624
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1986,10023.9888145503,4998.13344409422,20401.9084818654
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1987,8336.19199451892,4477.78819612992,16255.2538442836
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1988,6544.79626964047,3545.75565096521,12595.9930059389
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1989,9030.87623674402,5085.9993830178,17017.0957487587
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1990,7938.52910694969,4986.11881054694,13624.2666680239
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1991,7330.43976153257,4389.90123317374,12802.2213799752
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1992,7496.7934309024,4388.63118086756,13203.3044463229
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1993,7391.97701572717,4411.96085206182,12963.7874981694
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1994,7686.62121015089,4668.60510553165,13032.9464755459
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1995,7673.52858572252,4743.44063355063,12788.9417641737
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1996,10562.6669353933,6350.98125663415,17926.3470384499
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1997,8607.43586560072,5152.01600634117,14566.5019182644
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1998,8381.61751002458,5027.1056718511,14146.0402911956
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",1999,9889.91057558968,5990.68020988692,16866.847033775
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2000,9728.29156897954,6101.47621027859,16118.8844140575
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2001,10844.2322647355,6668.70740533609,17737.9805894727
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2002,11478.1005924128,7075.62334581932,19189.2650009292
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2003,9655.03895120115,5866.07379030634,16387.7185558299
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2004,8166.39563430032,4934.84153365096,13942.7323055011
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2005,8576.62420258491,5160.71252719186,14672.4629451207
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2006,8952.96775617892,5419.60587088686,15166.1686687091
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2007,9265.53395708149,5719.14267609263,15230.6192557163
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2008,10849.6838735399,6882.79126309856,17441.2454569621
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2009,12658.3992531599,8145.96581602789,20116.5180431797
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2010,13932.4487695189,9235.39432212806,21631.4851349313
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2011,15454.5201283653,10281.7106483437,24157.5327420261
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2012,13488.4019984537,9047.67993364321,20937.12855807
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2013,14234.0912597166,9479.82546909055,22113.101002718
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2014,14525.9951246575,9612.89893062314,22347.8673558063
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2015,14897.6597686928,10094.8588881798,22656.0390895191
"CCGOMyt","a4asca sep","sep-tab1.csv","SSB",2016,15104.7712586622,10357.5779098439,22607.4720465612
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1985,1081.89962728199,714.898780957625,1630.31926897307
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1986,1242.69108585108,895.960471619142,1744.80942007204
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1987,1693.54477038487,1210.0138773895,2434.93853582007
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1988,1497.23072129824,1144.41743950855,1998.84169736443
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1989,2570.33192710851,1870.63857145532,3524.28640587743
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1990,3534.2100274977,2583.32725054115,4834.91115435899
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1991,2271.48726714249,1745.79830948278,2987.41536449822
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1992,1415.0869981114,1079.32272968639,1893.12246572724
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1993,1190.46402536153,911.041955143741,1597.65333715681
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1994,1331.1055082948,995.568735557955,1774.60949327798
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1995,1523.41023948607,1148.82575933652,2073.32462557755
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1996,1676.88708348098,1255.26138473915,2272.99460983518
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1997,1444.93457073135,1089.20154307816,1902.92146049154
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1998,1400.24352922248,1026.54307678536,1830.96183441313
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",1999,1476.92067296622,1086.61740010188,1935.57038872611
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2000,1802.07522904124,1311.44864489833,2432.76476566584
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2001,2404.32400488256,1787.08077229475,3235.57455624269
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2002,2490.32564856041,1895.26034911827,3227.09725189651
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2003,1593.99373836969,1214.03262750426,2056.2252490834
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2004,1040.72086582184,777.482800512669,1370.25694823318
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2005,848.639248153772,644.828832102237,1119.15776104059
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2006,765.213220474724,575.333068453074,1012.24575114308
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2007,667.810922719458,495.844859004514,900.89735941085
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2008,606.497062240712,447.625797087751,817.174442107776
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2009,561.628996918818,414.953656898257,758.989339955514
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2010,695.045701621408,510.381810517935,938.746149274833
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2011,926.751909937214,695.430579984557,1226.5857733043
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2012,831.892567282737,622.002634428227,1121.62330428748
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2013,674.317151397308,508.539369312946,901.372560651573
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2014,507.123343150751,372.505676286242,692.782069457426
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2015,442.847968673599,327.140173072479,588.668307878513
"CCGOMyt","a4asca sep","sep-tab1.csv","Catch",2016,355.182654302801,233.272142264135,562.435073257004
"CCGOMyt","a4asca sep","sep-tab1.csv","Fbar",1985,0.373023,0.2173111475,0.56861815
"CCGOMyt","a4asca sep","sep-tab1.csv","Fbar",1986,0.398402,0.25499421125,0.5681806125
