"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",4434.3,2186.1,-0.0181,-0.0069,0.0015
"m2",210.5,-2037.7,-0.0058,0.02,-0.0313
"m3",4404.4,2156.2,-0.0374,-0.0218,0.0147
"m4",0,-2248.2,-0.0624,-0.0227,0.0307
