Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(5-7),	Low,	High,	Catch,	Low,	High
1977,	7558,	4025,	14191,	10244,	7343,	14292,	0.268,	0.151,	0.476,	2992,	1955,	4578
1978,	1331,	636,	2786,	14110,	10014,	19881,	0.278,	0.172,	0.449,	4088,	2718,	6148
1979,	4307,	2171,	8546,	14975,	10870,	20632,	0.264,	0.167,	0.416,	4331,	2788,	6728
1980,	9928,	5006,	19691,	12944,	9684,	17302,	0.395,	0.263,	0.594,	5341,	3642,	7834
1981,	2650,	1406,	4995,	13300,	10403,	17003,	0.449,	0.307,	0.658,	5531,	4019,	7612
1982,	1338,	674,	2655,	12796,	9987,	16394,	0.629,	0.44,	0.9,	6863,	4976,	9465
1983,	2792,	1519,	5132,	9805,	7606,	12640,	0.728,	0.523,	1.014,	5734,	4159,	7906
1984,	643,	351,	1176,	6692,	5154,	8689,	0.675,	0.48,	0.949,	3846,	2776,	5329
1985,	280,	144,	546,	4887,	3778,	6323,	0.817,	0.589,	1.134,	2926,	2124,	4030
1986,	375,	198,	711,	2730,	2098,	3554,	0.956,	0.685,	1.333,	1856,	1346,	2559
1987,	78,	36,	172,	1541,	1140,	2084,	0.835,	0.554,	1.257,	994,	719,	1374
1988,	270,	137,	533,	1018,	712,	1456,	0.622,	0.337,	1.146,	435,	297,	638
1989,	220,	112,	433,	705,	483,	1031,	0.503,	0.27,	0.937,	293,	205,	420
1990,	399,	208,	765,	810,	533,	1232,	0.525,	0.288,	0.957,	313,	224,	438
1991,	369,	190,	715,	804,	525,	1232,	0.597,	0.318,	1.12,	366,	254,	526
1992,	589,	309,	1124,	865,	576,	1300,	0.298,	0.153,	0.58,	219,	153,	312
1993,	1170,	614,	2229,	891,	611,	1300,	0.243,	0.131,	0.451,	198,	143,	276
1994,	1632,	875,	3044,	1176,	826,	1674,	0.172,	0.093,	0.316,	208,	148,	292
1995,	1248,	665,	2342,	1809,	1302,	2514,	0.192,	0.111,	0.331,	327,	235,	455
1996,	918,	477,	1767,	2525,	1820,	3504,	0.166,	0.098,	0.281,	386,	266,	560
1997,	1861,	999,	3466,	3659,	2660,	5033,	0.206,	0.128,	0.331,	715,	486,	1050
1998,	2145,	1138,	4041,	4185,	3099,	5652,	0.259,	0.165,	0.406,	829,	578,	1190
1999,	10564,	5640,	19788,	4410,	3317,	5863,	0.206,	0.132,	0.323,	572,	410,	797
2000,	3543,	1846,	6800,	5767,	4324,	7690,	0.272,	0.177,	0.418,	899,	659,	1226
2001,	644,	342,	1213,	9332,	6562,	13271,	0.282,	0.183,	0.435,	1218,	894,	1658
2002,	1290,	684,	2434,	10179,	7059,	14678,	0.27,	0.173,	0.421,	1285,	909,	1817
2003,	458,	235,	892,	8301,	5795,	11893,	0.251,	0.161,	0.392,	1401,	932,	2107
2004,	2812,	1532,	5163,	6496,	4593,	9187,	0.258,	0.168,	0.397,	1541,	983,	2418
2005,	369,	203,	671,	5115,	3716,	7041,	0.307,	0.203,	0.463,	1529,	1001,	2334
2006,	1435,	779,	2643,	4784,	3495,	6549,	0.287,	0.188,	0.438,	1229,	823,	1838
2007,	2476,	1303,	4703,	4388,	3115,	6181,	0.329,	0.215,	0.504,	1167,	802,	1698
2008,	263,	135,	510,	4240,	3009,	5977,	0.26,	0.167,	0.404,	938,	638,	1381
2009,	288,	154,	538,	3840,	2753,	5357,	0.24,	0.153,	0.377,	877,	585,	1316
2010,	1524,	811,	2863,	3326,	2375,	4658,	0.247,	0.157,	0.389,	873,	577,	1319
2011,	9239,	4861,	17560,	2768,	1996,	3839,	0.207,	0.131,	0.329,	691,	463,	1031
2012,	5764,	3055,	10878,	3810,	2748,	5283,	0.229,	0.143,	0.367,	609,	425,	873
2013,	31294,	16895,	57964,	8348,	5595,	12455,	0.198,	0.122,	0.32,	748,	525,	1066
2014,	85949,	45850,	161116,	16418,	11321,	23809,	0.125,	0.074,	0.21,	934,	628,	1389
2015,	12994,	6668,	25323,	34983,	24313,	50337,	0.085,	0.049,	0.149,	1218,	833,	1781
2016,	15296,	6983,	33504,	67599,	42789,	106793,	0.078,	0.043,	0.14,	2310,	1512,	3530
