Year,Landings
1953,66197
1954,134761
1955,114356
1956,64882
1957,90190
1958,48051
1959,64370
1960,79677
1961,72724
1962,34984
1963,69742
1964,64461
1965,99187
1966,108919
1967,226784
1968,165511
1969,117705
1970,111561
1971,126296
1972,103374
1973,80429
1974,73389
1975,44174
1976,24283
1977,17604
1978,14718
1979,27851
1980,19991
1981,24344
1982,31605
1983,28819
1984,27103
1985,36899
1986,50645
1987,41619
1988,43150
1989,33215
1990,28846
1991,29454
1992,12752
1993,10646
1994,2702
1995,172
1996,174
1997,383
1998,547
1999,919
2000,1050
2001,1310
2002,2194
2003,4870
2004,934
2005,724
2006,600
2007,848
2008,923
2009,1083
2010,946
2011,867
2012,734
2013,1113
2014,734
2015,586
2016,666
2017,649
